# File: ../../samples/ephem_short.dat
#
# Ephemeris generated from specified elements
# Propagator: SGP4 (improved,WGS84)
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
55461.67361111,1.43928070,0.50322778,0.36676803
55461.67708333,1.30096519,0.73068366,0.52464366
55461.68055556,1.11716538,0.93264583,0.66419632
55461.68402778,0.89558968,1.10314651,0.78132095
55461.68750000,0.64491168,1.23790569,0.87310538
55461.69097222,0.37418092,1.33432837,0.93782260
55461.69444444,0.09233176,1.39137156,0.97483256
55461.69791667,-0.19218080,1.40933321,0.98443065
55461.70138889,-0.47161922,1.38961019,0.96767567
55461.70486111,-0.73909361,1.33445998,0.92622138
55461.70833333,-0.98861007,1.24678699,0.86216631
55461.71180556,-1.21506316,1.12996375,0.77792836
55461.71527778,-1.41419462,0.98768879,0.67614562
55461.71875000,-1.58253533,0.82387873,0.55960115
55461.72222222,-1.71734294,0.64258968,0.43116852
55461.72569444,-1.81654289,0.44796241,0.29377384
55461.72916667,-1.87867835,0.24418561,0.15037040
55461.73263889,-1.90287180,0.03547226,0.00392244
55461.73611111,-1.88880013,-0.17395535,-0.14260523
55461.73958333,-1.83668390,-0.37987610,-0.28625463
55461.74305556,-1.74729124,-0.57807980,-0.42408156
55461.74652778,-1.62195598,-0.76437990,-0.55316488
55461.75000000,-1.46260948,-0.93463306,-0.67062070
55461.75347222,-1.27182477,-1.08476997,-0.77362462
55461.75694444,-1.05287043,-1.21084203,-0.85944516
55461.76041667,-0.80977002,-1.30908932,-0.92549223
55461.76388889,-0.54736017,-1.37603542,-0.96938430
55461.76736111,-0.27133697,-1.40861425,-0.98903797
55461.77083333,0.01172427,-1.40433268,-0.98278223
55461.77430556,0.29439584,-1.36146903,-0.94949729
55461.77777778,0.56849549,-1.27930121,-0.88877333
55461.78125000,0.82528134,-1.15834834,-0.80107754
55461.78472222,1.05576589,-1.00059726,-0.68790910
55461.78819444,1.25115791,-0.80967167,-0.55191242
55461.79166667,1.40341585,-0.59089291,-0.39691299
55461.79513889,1.50586309,-0.35118295,-0.22784202
55461.79861111,1.55378067,-0.09877972,-0.05052969
55461.80208333,1.54487352,0.15722903,0.12862727
55461.80555556,1.47951432,0.40750179,0.30308625
55461.80902778,1.36071025,0.64308060,0.46660518
55461.81250000,1.19379936,0.85596836,0.61364357
55461.81597222,0.98594263,1.03956295,0.73966071
55461.81944444,0.74551250,1.18890475,0.84128188
55461.82291667,0.48148036,1.30073906,0.91633481
55461.82638889,0.20288102,1.37342873,0.96378205
55461.82986111,-0.08160322,1.40676796,0.98358542
55461.83333333,-0.36392906,1.40174759,0.97653812
55461.83680556,-0.63686214,1.36031191,0.94409218
55461.84027778,-0.89405442,1.28513338,0.88819960
55461.84375000,-1.13005567,1.17941924,0.81117665
55461.84722222,-1.34028294,1.04675481,0.71559430
55461.85069444,-1.52096734,0.89098245,0.60419399
55461.85416667,-1.66909198,0.71611190,0.47982545
55461.85763889,-1.78233073,0.52625669,0.34540279
55461.86111111,-1.85899409,0.32559074,0.20387461
55461.86458333,-1.89798570,0.11832017,0.05820471
55461.86805556,-1.89877194,-0.09133463,-0.08864025
55461.87152778,-1.86136537,-0.29915089,-0.23369896
55461.87500000,-1.78632281,-0.50091294,-0.37402229
55461.87847222,-1.67475775,-0.69242339,-0.50668131
55461.88194444,-1.52836682,-0.86951940,-0.62877927
55461.88541667,-1.34946915,-1.02809855,-0.73747033
55461.88888889,-1.14105665,-1.16415853,-0.82998817
55461.89236111,-0.90685179,-1.27385598,-0.90368814
55461.89583333,-0.65136703,-1.35358992,-0.95610666
55461.89930556,-0.37995722,-1.40011528,-0.98504150
55461.90277778,-0.09885175,-1.41069089,-0.98865614
55461.90625000,0.18485127,-1.38326401,-0.96560894
55461.90972222,0.46325178,-1.31668787,-0.91520477
55461.91319444,0.72780135,-1.21096051,-0.83756028
55461.91666667,0.96956799,-1.06746158,-0.73376611
55461.92013889,1.17962760,-0.88915007,-0.60601999
55461.92361111,1.34957702,-0.68067450,-0.45769677
55461.92708333,1.47213276,-0.44834385,-0.29331956
55461.93055556,1.54174424,-0.19991925,-0.11840510
55461.93402778,1.55512242,0.05578354,0.06082229
55461.93750000,1.51158098,0.30944736,0.23782335
55461.94097222,1.41311532,0.55188667,0.40618867
55461.94444444,1.26420085,0.77466047,0.56006546
55461.94791667,1.07135476,0.97057115,0.69450117
55461.95138889,0.84255239,1.13398865,0.80566247
55461.95486111,0.58660369,1.26098378,0.89092010
55461.95833333,0.31257982,1.34929495,0.94881746
55461.96180556,0.02934698,1.39817476,0.97895666
55461.96527778,-0.25477093,1.40816909,0.98183891
55461.96875000,-0.53220577,1.38087319,0.95869059
55461.97222222,-0.79625590,1.31869693,0.91129714
55461.97569444,-1.04112043,1.22465755,0.84185729
55461.97916667,-1.26188261,1.10220822,0.75286304
55461.98263889,-1.45446339,0.95510306,0.64700574
55461.98611111,-1.61556127,0.78729566,0.52710562
55461.98958333,-1.74258975,0.60286567,0.39606123
55461.99305556,-1.83361959,0.40596810,0.25681458
55461.99652778,-1.88733074,0.20079963,0.11232811
55462.00000000,-1.90297639,-0.00842291,-0.03442995
55462.00347222,-1.88036084,-0.21747627,-0.18049505
55462.00694444,-1.81983162,-0.42214086,-0.32291339
55462.01041667,-1.72228619,-0.61821073,-0.45874911
55462.01388889,-1.58919286,-0.80150739,-0.58509449
55462.01736111,-1.42262508,-0.96790132,-0.69908560
55462.02083333,-1.22530764,-1.11334555,-0.79792673
55462.02430556,-1.00067187,-1.23392625,-0.87892678
55462.02777778,-0.75291511,-1.32593569,-0.93955140
55462.03125000,-0.48705701,-1.38597307,-0.97749469
55462.03472222,-0.20898138,-1.41107840,-0.99077369
55462.03819444,0.07455233,-1.39890245,-0.97784776
55462.04166667,0.35594883,-1.34791191,-0.93776175
55462.04513889,0.62689321,-1.25762180,-0.87030703
55462.04861111,0.87856913,-1.12883665,-0.77618702
55462.05208333,1.10199939,-0.96386899,-0.65716489
55462.05555556,1.28851290,-0.76669064,-0.51616205
55462.05902778,1.43031593,-0.54296489,-0.35727151
55462.06250000,1.52110988,-0.29991291,-0.18565429
55462.06597222,1.55666587,-0.04599009,-0.00730339
55462.06944444,1.53525114,0.20961207,0.17131228
55462.07291667,1.45781737,0.45757850,0.34368016
55462.07638889,1.32790793,0.68910378,0.50368646
55462.07986111,1.15130410,0.89644608,0.64599870
55462.08333333,0.93548619,1.07332538,0.76633628
55462.08680556,0.68901323,1.21513189,0.86160662
55462.09027778,0.42092067,1.31895436,0.92991540
55462.09375000,0.14020704,1.38346807,0.97047992
55462.09722222,-0.14455508,1.40873479,0.98348260
55462.10069444,-0.42547966,1.39596330,0.96989906
55462.10416667,-0.69551548,1.34726796,0.93132643
55462.10763889,-0.94850730,1.26544895,0.86982839
55462.11111111,-1.17919632,1.15380607,0.78780459
