2 38752  10.0398  73.3662 6817482  43.3261 353.3369  2.67315839 11952
1 38752U          13324.44567278 -.00000084  00000-0  10000-3 0  2017
2 38752  10.0390  73.1991 6817158  43.6505 353.2888  2.67316100 11969
1 38752U          13327.43793285 -.00000036  00000-0  10000-3 0  2026
2 38752  10.0411  71.8750 6817196  46.2766 352.8418  2.67316155 12045
1 38752U          13330.43017160 -.00000024  00000-0  10000-3 0  2039
2 38752  10.0458  70.5592 6817708  48.8988 352.3726  2.67316265 12127
1 38752U          13331.92628157 -.00000065  00000-0  00000+0 0  2050
2 38752  10.0398  69.8188 6819910  50.3130 352.1212  2.67315475 12160
1 38752U          13333.42234381 -.00000052  00000-0  10000-3 0  2049
2 38752  10.0456  69.2008 6818014  51.5602 351.8347  2.67316115 12203
1 38752U          13335.29244689 -.00000075  00000-0  10000-3 0  2054
2 38752  10.0470  68.3573 6818149  53.1988 351.4972  2.67316084 12250
1 38752U          13339.40669728 -.00000071  00000-0  10000-3 0  2063
2 38752  10.0565  66.4842 6818604  56.8933 350.7439  2.67315177 12363
1 38752U          13342.39890395 -.00000049  00000-0  10000-3 0  2077
2 38752  10.0577  65.1317 6818859  59.5430 350.2155  2.67314548 12443
1 38752U          13344.26900618 -.00000066  00000-0  10000-3 0  2085
2 38752  10.0578  64.2709 6819134  61.2281 349.8618  2.67314465 12491
1 38752U          13346.51307579 -.00000113  00000-0  10000-3 0  2096
2 38752  10.0588  63.2480 6819423  63.2304 349.3889  2.67314468 12551
1 38752U          13348.38311546 -.00000149  00000-0  10000-3 0  2103
2 38752  10.0511  62.4420 6819243  64.8589 348.9883  2.67315249 12607
1 38752U          13351.37520323 -.00000151  00000-0  10000-3 0  2115
2 38752  10.0578  61.0588 6819669  67.5449 348.3585  2.67315202 12687
1 38752U          13355.48931312 -.00000083  00000-0  10000-3 0  2120
2 38752  10.0599  59.1821 6820124  71.2196 347.4872  2.67315352 12794
1 38752U          13357.35932221 -.00000067  00000-0  10000-3 0  2131
2 38752  10.0654  58.2726 6820287  72.9399 347.0521  2.67315366 12841
1 38752U          13360.35126383 -.00000082  00000-0  10000-3 0  2147
2 38752  10.0794  56.8809 6820692  75.6474 346.2822  2.67315525 12927
1 38752U          13363.34315421 -.00000123  00000-0  10000-3 0  2159
2 38752  10.0658  55.6008 6819848  78.2796 345.4496  2.67315017 13005
1 38752U          13365.21311531 -.00000136  00000-0  10000-3 0  2160
2 38752  10.0700  54.7327 6820586  79.9325 344.9671  2.67314999 13056
1 38752U          14001.33508844 -.00000133  00000-0  10000-3 0  2174
2 38752  10.0687  54.2441 6820574  80.9201 344.6690  2.67314934 13084
1 38752U          14001.33514462 -.00000115  00000-0  00000+0 0  2172
2 38752  10.0653  54.2601 6823336  80.9021 344.7166  2.67314070 13084
1 38752U          14004.32698701 -.00000102  00000-0  10000-3 0  2185
2 38752  10.0649  52.9092 6820615  83.5723 343.8348  2.67314244 13167
1 38752U          14004.70098729 -.00000099  00000-0  10000-3 0  2197
2 38752  10.0662  52.7136 6820670  83.9467 343.7414  2.67314229 13176
1 38752U          14006.19688503 -.00000098  00000-0  10000-3 0  2208
2 38752  10.0736  52.0079 6821382  85.2968 343.2734  2.67313931 13213
1 38752U          14008.44071359 -.00000130  00000-0  10000-3 0  2211
2 38752  10.0710  50.9964 6821789  87.2803 342.5600  2.67313777 13274
1 38752U          14008.44074762  .00000007  00000-0  68673-4 0  2214
2 38752  10.0703  51.0159 6823750  87.2746 342.5962  2.67314897 13275
1 38752U          14011.43239744 -.00000193  00000-0  10000-3 0  2239
2 38752  10.0726  49.6398 6822111  89.9543 341.5342  2.67314226 13358
1 38752U          14011.43241373 -.00000193  00000-0  10000-3 0  2229
2 38752  10.0722  49.6331 6822038  89.9508 341.5494  2.67314149 13352
1 38752U          14014.42406740 -.00000200  00000-0  10000-3 0  2243
2 38752  10.0820  48.2533 6822611  92.6549 340.5015  2.67314882 13434
1 38752U          14015.54595199  .00000011  00000-0  10238-3 0  2268
2 38752  10.0743  47.7773 6824230  93.6194 340.1242  2.67315328 13472
1 38752U          14019.28538478 -.00000116  00000-0  10000-3 0  2275
2 38752  10.0821  46.0653 6822855  96.9529 338.6820  2.67315067 13561
1 38752U          14026.38981611 -.00000165  00000-0  10000-3 0  2280
2 38752  10.0817  42.8074 6823606 103.2941 335.4568  2.67314827 13750
1 38752U          14029.38104419 -.00000176  00000-0  10000-3 0  2299
2 38752  10.0867  41.3840 6823278 106.0746 333.9811  2.67314752 13839
1 38752U          14030.12876918 -.00000170  00000-0  10000-3 0  2309
2 38752  10.0885  41.0680 6824003 106.7032 333.5331  2.67314644 13855
1 38752U          14036.11073161 -.00000150  00000-0  10000-3 0  2312
2 38752  10.0867  38.3322 6823987 112.0847 330.0850  2.67313506 14014
1 38752U          14037.23226903 -.00000173  00000-0  10000-3 0  2326
2 38752  10.0878  37.8733 6824099 113.0438 329.3621  2.67313537 14042
1 38752U          14040.22297625 -.00000230  00000-0  10000-3 0  2333
2 38752  10.1111  36.5509 6824720 115.6765 327.3924  2.67313891 14128
