# Irene Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Intg.CRRESPRO.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Quiet
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.01388889,1.51726880,2.03324350,-0.93229988,1.89612434e+07,2.29756179e+06,8.06710251e+05,2.28113221e+05,5.62839750e+04,5.62839750e+04,5.02787111e+03,4.99507764e+03,1.47477488e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,2.02004714e+07,2.43436093e+06,8.51582192e+05,2.39027512e+05,5.84355464e+04,5.84355464e+04,5.28446778e+03,5.24060363e+03,1.53500687e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,2.16564473e+07,2.59384942e+06,9.04177872e+05,2.51999169e+05,6.10836222e+04,6.10836222e+04,5.59104420e+03,5.52503872e+03,1.60371379e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,2.31124231e+07,2.75333790e+06,9.56773545e+05,2.64970825e+05,6.37316977e+04,6.37316977e+04,5.89762059e+03,5.80947376e+03,1.67242070e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,2.44398919e+07,2.89395243e+06,1.00431176e+06,2.77078454e+05,6.61844178e+04,6.61844178e+04,6.17637847e+03,6.07338291e+03,1.73485930e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,2.56388536e+07,3.01569299e+06,1.04679250e+06,2.88322054e+05,6.84417820e+04,6.84417820e+04,6.42731778e+03,6.31676608e+03,1.79102957e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,2.68378154e+07,3.13743356e+06,1.08927325e+06,2.99565656e+05,7.06991464e+04,7.06991464e+04,6.67825712e+03,6.56014929e+03,1.84719985e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,2.82526822e+07,3.28078991e+06,1.13868275e+06,3.12597491e+05,7.34372000e+04,7.34372000e+04,6.96015918e+03,6.82870999e+03,1.90877516e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,2.98834541e+07,3.44576205e+06,1.19502102e+06,3.27417561e+05,7.66559431e+04,7.66559431e+04,7.27302397e+03,7.12244822e+03,1.97575550e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02013889,1.44645844,2.40271786,-0.86049017,3.15142262e+07,3.61073422e+06,1.25135929e+06,3.42237634e+05,7.98746867e+04,7.98746867e+04,7.58588882e+03,7.41618650e+03,2.04273586e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02083333,1.43685460,2.44106636,-0.85146738,3.29993865e+07,3.75912701e+06,1.30158509e+06,3.55121689e+05,8.27798521e+04,8.27798521e+04,7.84388230e+03,7.65783185e+03,2.09655999e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02152778,1.42694265,2.47889157,-0.84226174,3.43389353e+07,3.89094047e+06,1.34569841e+06,3.66069732e+05,8.53714404e+04,8.53714404e+04,8.04700450e+03,7.84738437e+03,2.13722790e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02222222,1.41673201,2.51619773,-0.83287968,3.60324731e+07,4.05650165e+06,1.40044468e+06,3.79452085e+05,8.84748744e+04,8.84748744e+04,8.30822726e+03,8.08533952e+03,2.18922759e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02291667,1.40623164,2.55298955,-0.82332732,3.80800002e+07,4.25581059e+06,1.46582390e+06,3.95268751e+05,9.20901551e+04,9.20901551e+04,8.62755063e+03,8.37169739e+03,2.25255909e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02361111,1.39545046,2.58927141,-0.81361047,4.01275270e+07,4.45511951e+06,1.53120311e+06,4.11085415e+05,9.57054352e+04,9.57054352e+04,8.94687396e+03,8.65805521e+03,2.31589057e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02430556,1.38439666,2.62504771,-0.80373478,4.21750541e+07,4.65442845e+06,1.59658233e+06,4.26902081e+05,9.93207159e+04,9.93207159e+04,9.26619733e+03,8.94441307e+03,2.37922207e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02500000,1.37307870,2.66032286,-0.79370542,4.40355908e+07,4.83078019e+06,1.65405011e+06,4.40534248e+05,1.02355881e+05,1.02355881e+05,9.56375389e+03,9.21591856e+03,2.44182842e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02569444,1.36150411,2.69510108,-0.78352791,4.57091374e+07,4.98417477e+06,1.70360647e+06,4.51981917e+05,1.04810932e+05,1.04810932e+05,9.83954366e+03,9.47257169e+03,2.50370963e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02638889,1.34968075,2.72938677,-0.77320693,4.75905319e+07,5.15642518e+06,1.75882518e+06,4.64737024e+05,1.07635621e+05,1.07635621e+05,1.01384218e+04,9.74947138e+03,2.57048627e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02708333,1.33761568,2.76318386,-0.76274752,4.96797737e+07,5.34753138e+06,1.81970622e+06,4.78799566e+05,1.10829948e+05,1.10829948e+05,1.04603883e+04,1.00466175e+04,2.64215833e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02777778,1.32531611,2.79649642,-0.75215438,5.17690159e+07,5.53863760e+06,1.88058726e+06,4.92862110e+05,1.14024274e+05,1.14024274e+05,1.07823549e+04,1.03437637e+04,2.71383041e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
