# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpochSa_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.02083333,1.43685460,2.44106636,-0.85146738,9.83961598e+10,1.04348160e+11,2.02060800e+10,4.57691999e+09,1.35954000e+09,3.78719999e+08,1.40857500e+08,3.30778124e+07,6.80062550e+06,1.71316418e+06
53219.02152778,1.42694265,2.47889157,-0.84226174,1.01725440e+11,1.07896320e+11,2.09577600e+10,4.75308000e+09,1.41174000e+09,3.93105000e+08,1.46122500e+08,3.43115625e+07,7.06453180e+06,1.77210951e+06
53219.02222222,1.41673201,2.51619773,-0.83287968,1.05118080e+11,1.11519360e+11,2.17300800e+10,4.93475999e+09,1.46574000e+09,4.08037499e+08,1.51608750e+08,3.56043750e+07,7.34296931e+06,1.83503918e+06
53219.02291667,1.40623164,2.55298955,-0.82332732,1.08574080e+11,1.15217280e+11,2.25230400e+10,5.12196001e+09,1.52154000e+09,4.23517501e+08,1.57316250e+08,3.69562501e+07,7.63593811e+06,1.90195323e+06
53219.02361111,1.39545046,2.58927141,-0.81361047,1.12030080e+11,1.18915200e+11,2.33160000e+10,5.30916000e+09,1.57734000e+09,4.38997500e+08,1.63023750e+08,3.83081250e+07,7.92890687e+06,1.96886727e+06
53219.02430556,1.38439666,2.62504771,-0.80373478,1.15486080e+11,1.22613120e+11,2.41089600e+10,5.49636001e+09,1.63314000e+09,4.54477501e+08,1.68731250e+08,3.96600001e+07,8.22187568e+06,2.03578131e+06
53219.02500000,1.37307870,2.66032286,-0.79370542,1.18897920e+11,1.26257280e+11,2.48947200e+10,5.68260000e+09,1.68792000e+09,4.69605000e+08,1.74360000e+08,4.09940625e+07,8.50125069e+06,2.10046881e+06
53219.02569444,1.36150411,2.69510108,-0.78352791,1.22265600e+11,1.29847680e+11,2.56732799e+10,5.86787999e+09,1.74168000e+09,4.84379999e+08,1.79910000e+08,4.23103124e+07,8.76703195e+06,2.16292976e+06
53219.02638889,1.34968075,2.72938677,-0.77320693,1.25677440e+11,1.33493760e+11,2.64667200e+10,6.05712000e+09,1.79670000e+09,4.99537500e+08,1.85613750e+08,4.36687500e+07,9.04242261e+06,2.22808602e+06
53219.02708333,1.33761568,2.76318386,-0.76274752,1.29133440e+11,1.37195520e+11,2.72750400e+10,6.25031999e+09,1.85298000e+09,5.15077499e+08,1.91471250e+08,4.50693749e+07,9.32742259e+06,2.29593755e+06
53219.02777778,1.32531611,2.79649642,-0.75215438,1.32589440e+11,1.40897280e+11,2.80833600e+10,6.44352001e+09,1.90926000e+09,5.30617501e+08,1.97328750e+08,4.64700001e+07,9.61242262e+06,2.36378910e+06
53219.02847222,1.31278896,2.82932870,-0.74143207,1.36045440e+11,1.44599040e+11,2.88916800e+10,6.63671999e+09,1.96554000e+09,5.46157500e+08,2.03186250e+08,4.78706250e+07,9.89742260e+06,2.43164064e+06
53219.02916667,1.30004065,2.86168446,-0.73058466,1.39440000e+11,1.48252800e+11,2.96928000e+10,6.82860001e+09,2.02047000e+09,5.61232501e+08,2.08942500e+08,4.92459376e+07,1.01681258e+07,2.49714843e+06
53219.02986111,1.28707747,2.89356762,-0.71961671,1.42773120e+11,1.51858560e+11,3.04867200e+10,7.01916000e+09,2.07405000e+09,5.75842500e+08,2.14597500e+08,5.05959375e+07,1.04245320e+07,2.56031247e+06
53219.03055556,1.27390601,2.92498195,-0.70853199,1.46106240e+11,1.55464320e+11,3.12806400e+10,7.20972001e+09,2.12763000e+09,5.90452501e+08,2.20252500e+08,5.19459376e+07,1.06809383e+07,2.62347652e+06
53219.03125000,1.26053177,2.95593122,-0.69733473,1.49439360e+11,1.59070080e+11,3.20745600e+10,7.40028000e+09,2.18121000e+09,6.05062500e+08,2.25907500e+08,5.32959375e+07,1.09373446e+07,2.68664055e+06
53219.03194444,1.24696101,2.98641920,-0.68602853,1.52830080e+11,1.62748800e+11,3.28886400e+10,7.59635999e+09,2.23650000e+09,6.20182499e+08,2.31783750e+08,5.47049999e+07,1.12068758e+07,2.75378898e+06
53219.03263889,1.23319893,3.01644949,-0.67461718,1.56278400e+11,1.66500480e+11,3.37228800e+10,7.79796000e+09,2.29350000e+09,6.35812500e+08,2.37881250e+08,5.61731250e+07,1.14895321e+07,2.82492181e+06
53219.03333333,1.21925132,3.04602571,-0.66310412,1.59726720e+11,1.70252160e+11,3.45571200e+10,7.99955999e+09,2.35050000e+09,6.51442499e+08,2.43978750e+08,5.76412499e+07,1.17721884e+07,2.89605462e+06
53219.03402778,1.20512321,3.07515099,-0.65149297,1.63138560e+11,1.73959680e+11,3.53836800e+10,8.19864001e+09,2.40606000e+09,6.66570001e+08,2.49903750e+08,5.90700001e+07,1.20421885e+07,2.96542963e+06
53219.03472222,1.19081978,3.10382911,-0.63978701,1.66513920e+11,1.77623040e+11,3.62025600e+10,8.39519999e+09,2.46018000e+09,6.81195000e+08,2.55656250e+08,6.04593750e+07,1.22995322e+07,3.03304680e+06
53219.03541667,1.17634606,3.13206335,-0.62798955,1.69889280e+11,1.81286400e+11,3.70214400e+10,8.59176001e+09,2.51430000e+09,6.95820001e+08,2.61408750e+08,6.18487501e+07,1.25568760e+07,3.10066399e+06
53219.03611111,1.16170690,3.15985701,-0.61610356,1.73312640e+11,1.85009280e+11,3.78571200e+10,8.79300000e+09,2.56980000e+09,7.10857500e+08,2.67341250e+08,6.32868750e+07,1.28247666e+07,3.17162100e+06
53219.03680556,1.14690686,3.18721324,-0.60413250,1.76784000e+11,1.88791680e+11,3.87096001e+10,8.99892001e+09,2.62668000e+09,7.26307501e+08,2.73453750e+08,6.47737501e+07,1.31032042e+07,3.24591787e+06
53219.03750000,1.13195050,3.21413533,-0.59207889,1.80255360e+11,1.92574080e+11,3.95620800e+10,9.20484000e+09,2.68356000e+09,7.41757500e+08,2.79566250e+08,6.62606250e+07,1.33816416e+07,3.32021473e+06
53219.03819444,1.11684235,3.24062626,-0.57994601,1.83726720e+11,1.96356480e+11,4.04145599e+10,9.41075999e+09,2.74044000e+09,7.57207499e+08,2.85678750e+08,6.77474999e+07,1.36600791e+07,3.39451158e+06
53219.03888889,1.10158683,3.26668916,-0.56773638,1.87157760e+11,2.00094720e+11,4.12569600e+10,9.61272000e+09,2.79600000e+09,7.72192500e+08,2.91570000e+08,6.91790625e+07,1.39289073e+07,3.46775377e+06
