# Irene Model output file: ../../unitTests/Legacy/CammiceAll_Pa90.CAMMICE.output_mean_Ions_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         Ions
# Flux type:                Differential
# Flux direction:           Bin 80-90
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.01875000,1.46470178,2.32443150,-0.87796145,3.82592781e+06,2.13686731e+06,1.72234423e+06,9.05373574e+05,2.57436321e+05,1.00338991e+05,5.26347087e+04,6.06913004e+04,7.42440099e+04,1.37006160e+05,2.31262779e+05,3.62478291e+05
53219.01944444,1.45574413,2.36384103,-0.86932383,4.05060272e+06,2.26208841e+06,1.82335327e+06,9.61606210e+05,2.70451022e+05,1.06474697e+05,5.58572888e+04,6.44657180e+04,7.93278946e+04,1.46771520e+05,2.47956320e+05,3.88291171e+05
53219.02013889,1.44645844,2.40271786,-0.86049017,4.27934101e+06,2.38957420e+06,1.92618913e+06,1.01885585e+06,2.83701102e+05,1.12721371e+05,5.91381513e+04,6.83083984e+04,8.45037248e+04,1.56713493e+05,2.64951774e+05,4.14570894e+05
53219.02083333,1.43685460,2.44106636,-0.85146738,4.51218580e+06,2.51934873e+06,2.03087118e+06,1.07713328e+06,2.97189059e+05,1.19080191e+05,6.24779145e+04,7.22200658e+04,8.97724756e+04,1.66833952e+05,2.82252344e+05,4.41322412e+05
53219.02152778,1.42694265,2.47889157,-0.84226174,4.74918138e+06,2.65143667e+06,2.13741933e+06,1.13644959e+06,3.10917457e+05,1.25552366e+05,6.58772137e+04,7.62014641e+04,9.51351493e+04,1.77134823e+05,2.99861321e+05,4.68550813e+05
53219.02222222,1.41673201,2.51619773,-0.83287968,4.99037304e+06,2.78586327e+06,2.24585396e+06,1.19681611e+06,3.24888921e+05,1.32139133e+05,6.93366986e+04,8.02533544e+04,1.00592771e+05,1.87618074e+05,3.17782071e+05,4.96261302e+05
53219.02291667,1.40623164,2.55298955,-0.82332732,5.23580739e+06,2.92265450e+06,2.35619600e+06,1.25824452e+06,3.39106150e+05,1.38841764e+05,7.28570376e+04,8.43765195e+04,1.06146395e+05,1.98285730e+05,3.36018056e+05,5.24459232e+05
53219.02361111,1.39545046,2.58927141,-0.81361047,5.48553210e+06,3.06183694e+06,2.46846690e+06,1.32074673e+06,3.53571906e+05,1.45661562e+05,7.64389147e+04,8.85717606e+04,1.11797100e+05,2.09139865e+05,3.54572820e+05,5.53150083e+05
53219.02430556,1.38439666,2.62504771,-0.80373478,5.73959631e+06,3.20343797e+06,2.58268875e+06,1.38433505e+06,3.68289036e+05,1.52599868e+05,8.00830344e+04,9.28399027e+04,1.17545999e+05,2.20182614e+05,3.73450011e+05,5.82339498e+05
53219.02500000,1.37307870,2.66032286,-0.79370542,5.99642980e+06,3.33966196e+06,2.69209335e+06,1.44367420e+06,3.82988156e+05,1.59652030e+05,8.39538957e+04,9.74869117e+04,1.23856170e+05,2.31846514e+05,3.93301448e+05,6.14580060e+05
53219.02569444,1.36150411,2.69510108,-0.78352791,6.25464097e+06,3.46356921e+06,2.79065538e+06,1.49401375e+06,3.97429733e+05,1.66814094e+05,8.81981190e+04,1.02785430e+05,1.31140240e+05,2.44517134e+05,4.14708225e+05,6.52146170e+05
53219.02638889,1.34968075,2.72938677,-0.77320693,6.51585144e+06,3.58276081e+06,2.88497066e+06,1.54054248e+06,4.11880373e+05,1.74093350e+05,9.26579738e+04,1.08441073e+05,1.38952373e+05,2.57780320e+05,4.37047130e+05,6.92579287e+05
53219.02708333,1.33761568,2.76318386,-0.76274752,6.78150650e+06,3.70398051e+06,2.98089075e+06,1.58786291e+06,4.26576895e+05,1.81496465e+05,9.71937147e+04,1.14192949e+05,1.46897431e+05,2.71269184e+05,4.59766138e+05,7.33700388e+05
53219.02777778,1.32531611,2.79649642,-0.75215438,7.05166127e+06,3.82725344e+06,3.07843554e+06,1.63598486e+06,4.41522350e+05,1.89024976e+05,1.01806283e+05,1.20042252e+05,1.54977065e+05,2.84986524e+05,4.82869966e+05,7.75518006e+05
