# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_Ions_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         Ions
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.05000000,0.84054009,3.62776023,-0.36398653,3.59122025e+06,2.00212589e+06,1.20755793e+06,5.41123202e+05,2.71337713e+05,1.73038436e+05,1.09349192e+05,1.00144220e+05,1.08914134e+05,1.51915705e+05,1.67993507e+05,1.52302606e+05
53219.05069444,0.82333736,3.64696086,-0.35083956,3.63081743e+06,2.02346896e+06,1.22121270e+06,5.47268987e+05,2.74517797e+05,1.75022733e+05,1.10556295e+05,1.01461490e+05,1.10412583e+05,1.54165460e+05,1.70556059e+05,1.54844360e+05
53219.05138889,0.80604831,3.66577913,-0.33765586,3.67034852e+06,2.04477640e+06,1.23484467e+06,5.53404515e+05,2.77692574e+05,1.77003717e+05,1.11761384e+05,1.02776561e+05,1.11908530e+05,1.56411459e+05,1.73114333e+05,1.57381872e+05
53219.05208333,0.78867560,3.68421742,-0.32443715,3.70981533e+06,2.06604920e+06,1.24845448e+06,5.59530065e+05,2.80862187e+05,1.78981481e+05,1.12964513e+05,1.04089493e+05,1.13402045e+05,1.58653806e+05,1.75668447e+05,1.59915258e+05
53219.05277778,0.77122206,3.70227775,-0.31118502,3.74921996e+06,2.08728848e+06,1.26204285e+06,5.65645967e+05,2.84026809e+05,1.80956129e+05,1.14165747e+05,1.05400357e+05,1.14893207e+05,1.60892622e+05,1.78218538e+05,1.62444653e+05
53219.05347222,0.75369020,3.71996202,-0.29790134,3.78856328e+06,2.10849472e+06,1.27561008e+06,5.71752350e+05,2.87186505e+05,1.82927704e+05,1.15365111e+05,1.06709182e+05,1.16382048e+05,1.63127953e+05,1.80764660e+05,1.64970111e+05
53219.05416667,0.73608253,3.73727210,-0.28458768,3.82784691e+06,2.12966878e+06,1.28915672e+06,5.77849471e+05,2.90341408e+05,1.84896288e+05,1.16562656e+05,1.08016021e+05,1.17868632e+05,1.65359893e+05,1.83306920e+05,1.67491739e+05
53219.05486111,0.71840156,3.75421020,-0.27124576,3.86358379e+06,2.15005282e+06,1.30280384e+06,5.83169725e+05,2.93374335e+05,1.86854781e+05,1.17853275e+05,1.09322795e+05,1.19443408e+05,1.67637117e+05,1.85900088e+05,1.70254561e+05
53219.05555556,0.70064980,3.77077788,-0.25787701,3.89748670e+06,2.17001946e+06,1.31649242e+06,5.88090067e+05,2.96342899e+05,1.88806726e+05,1.19190427e+05,1.10628601e+05,1.21062025e+05,1.69935799e+05,1.88517356e+05,1.73138383e+05
53219.05625000,0.68282945,3.78697734,-0.24448299,3.93134090e+06,2.18995742e+06,1.33016134e+06,5.93003340e+05,2.99307199e+05,1.90755867e+05,1.20525657e+05,1.11932531e+05,1.22678316e+05,1.72231179e+05,1.91130864e+05,1.76018063e+05
53219.05694444,0.66494302,3.80280999,-0.23106542,3.96514590e+06,2.20986640e+06,1.34381038e+06,5.97909473e+05,3.02267191e+05,1.92702175e+05,1.21858947e+05,1.13234566e+05,1.24292258e+05,1.74523223e+05,1.93740573e+05,1.78893557e+05
53219.05763889,0.64699287,3.81827803,-0.21762557,3.99890307e+06,2.22974720e+06,1.35744012e+06,6.02808664e+05,3.05222994e+05,1.94645729e+05,1.23190350e+05,1.14534759e+05,1.25903917e+05,1.76812024e+05,1.96346590e+05,1.81764983e+05
53219.05833333,0.62898120,3.83338288,-0.20416515,4.03261147e+06,2.24959929e+06,1.37105017e+06,6.07700777e+05,3.08174527e+05,1.96586476e+05,1.24519830e+05,1.15833073e+05,1.27513247e+05,1.79097519e+05,1.98948842e+05,1.84632260e+05
53219.05902778,0.61091019,3.84812641,-0.19068527,4.06627280e+06,2.26942366e+06,1.38464121e+06,6.12586058e+05,3.11121938e+05,1.98524512e+05,1.25847454e+05,1.17129574e+05,1.29120330e+05,1.81379822e+05,2.01547460e+05,1.87495534e+05
53219.05972222,0.59278205,3.86251020,-0.17718781,4.09988582e+06,2.28921957e+06,1.39821274e+06,6.17464329e+05,3.14065120e+05,2.00459767e+05,1.27173172e+05,1.18424215e+05,1.30725107e+05,1.83658850e+05,2.04142350e+05,1.90354698e+05
53219.06041667,0.57459898,3.87653597,-0.16367372,4.13345110e+06,2.30898737e+06,1.41176500e+06,6.22335671e+05,3.17004121e+05,2.02392274e+05,1.28497007e+05,1.19717017e+05,1.32327604e+05,1.85934640e+05,2.06733553e+05,1.93209802e+05
53219.06111111,0.55636317,3.89020514,-0.15014471,4.16696719e+06,2.32872620e+06,1.42529740e+06,6.27199875e+05,3.19938816e+05,2.04321948e+05,1.29818902e+05,1.21007925e+05,1.33927753e+05,1.88207096e+05,2.09320959e+05,1.96060721e+05
53219.06180556,0.53807650,3.90351943,-0.13660190,4.20043489e+06,2.34843653e+06,1.43881026e+06,6.32057055e+05,3.22869273e+05,2.06248836e+05,1.31138889e+05,1.22296968e+05,1.35525592e+05,1.90476270e+05,2.11904629e+05,1.98907524e+05
53219.06250000,0.51974102,3.91648041,-0.12304668,4.23385235e+06,2.36811727e+06,1.45230284e+06,6.36906943e+05,3.25795331e+05,2.08172832e+05,1.32456894e+05,1.23584076e+05,1.37121032e+05,1.92742038e+05,2.14484421e+05,2.01750053e+05
53219.06319444,0.50135893,3.92908934,-0.10948047,4.26721899e+06,2.38776808e+06,1.46577489e+06,6.41749457e+05,3.28716939e+05,2.10093902e+05,1.33772894e+05,1.24869228e+05,1.38714046e+05,1.95004361e+05,2.17060290e+05,2.04588261e+05
53219.06388889,0.48293210,3.94134794,-0.09590454,4.30053319e+06,2.40738801e+06,1.47922578e+06,6.46584360e+05,3.31633956e+05,2.12011953e+05,1.35086827e+05,1.26152359e+05,1.40304556e+05,1.97263128e+05,2.19632110e+05,2.07422007e+05
53219.06458333,0.46446258,3.95325747,-0.08232013,4.33379362e+06,2.42697627e+06,1.49265495e+06,6.51411458e+05,3.34546264e+05,2.13926907e+05,1.36398638e+05,1.27433419e+05,1.41892499e+05,1.99518249e+05,2.22199779e+05,2.10251179e+05
53219.06527778,0.44595210,3.96481934,-0.06872834,4.36699922e+06,2.44653224e+06,1.50606199e+06,6.56230600e+05,3.37453772e+05,2.15838705e+05,1.37708287e+05,1.28712368e+05,1.43477824e+05,2.01769653e+05,2.24763216e+05,2.13075688e+05
