# Irene Model output file: ../../unitTests/Legacy/Ax8min_atEpoch_Diff.AP8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.72777778,1.11047683,-0.23234257,-0.78771519,3.30282063e+13,1.74474412e+13,6.01824495e+12,2.38141670e+12,1.10989617e+12,6.74767960e+11,2.96965084e+10,1.16161039e+09,2.11145284e+08,6.55786560e+07,2.89994518e+07,5.93039551e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.72847222,1.14770922,-0.16942381,-0.80940137,3.30284289e+13,1.74476039e+13,6.01830136e+12,2.38144050e+12,1.10990817e+12,6.74775441e+11,2.96971536e+10,1.16165324e+09,2.11152140e+08,6.55806115e+07,2.90002232e+07,5.93051943e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.72916667,1.18269337,-0.10617136,-0.82949947,3.30288069e+13,1.74478902e+13,6.01839492e+12,2.38148044e+12,1.10992677e+12,6.74787111e+11,2.96980017e+10,1.16170010e+09,2.11158716e+08,6.55823473e+07,2.90008690e+07,5.93061361e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.72986111,1.21551921,-0.04272398,-0.84808121,3.30294504e+13,1.74483434e+13,6.01853844e+12,2.38153766e+12,1.10995322e+12,6.74803134e+11,2.96990562e+10,1.16175116e+09,2.11165249e+08,6.55840015e+07,2.90014434e+07,5.93068942e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.73055556,1.24627715,0.02079749,-0.86521801,3.30304578e+13,1.74489951e+13,6.01874623e+12,2.38161160e+12,1.10998833e+12,6.74823948e+11,2.97003107e+10,1.16180585e+09,2.11171940e+08,6.55856443e+07,2.90019697e+07,5.93072385e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.73125000,1.27505619,0.08428710,-0.88097894,3.30318374e+13,1.74498719e+13,6.01902698e+12,2.38170356e+12,1.11003270e+12,6.74850333e+11,2.97017965e+10,1.16186538e+09,2.11179041e+08,6.55873057e+07,2.90024796e+07,5.93072385e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.73194444,1.30194359,0.14765272,-0.89543116,3.30335686e+13,1.74509760e+13,6.01937395e+12,2.38181724e+12,1.11008707e+12,6.74882556e+11,2.97035570e+10,1.16193169e+09,2.11186748e+08,6.55890153e+07,2.90030012e+07,5.93072385e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.73263889,1.32702427,0.21081429,-0.90863887,3.30356624e+13,1.74523028e+13,6.01977931e+12,2.38195767e+12,1.11015280e+12,6.74921171e+11,2.97056414e+10,1.16200636e+09,2.11195249e+08,6.55908057e+07,2.90035530e+07,5.93072385e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.73333333,1.35037999,0.27370260,-0.92066408,3.30381318e+13,1.74538496e+13,6.02025040e+12,2.38212667e+12,1.11023150e+12,6.74967309e+11,2.97080984e+10,1.16209128e+09,2.11204732e+08,6.55927168e+07,2.90041528e+07,5.93072385e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.73402778,1.37208940,0.33625800,-0.93156564,3.30410039e+13,1.74556138e+13,6.02079687e+12,2.38232621e+12,1.11032396e+12,6.75022260e+11,2.97109846e+10,1.16218816e+09,2.11215375e+08,6.55948179e+07,2.90048169e+07,5.93072385e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.73472222,1.39222799,0.39842918,-0.94139911,3.30442504e+13,1.74576190e+13,6.02141693e+12,2.38256264e+12,1.11043124e+12,6.75086757e+11,2.97143880e+10,1.16229813e+09,2.11227499e+08,6.55971784e+07,2.90055584e+07,5.93076180e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.73541667,1.41086734,0.46017187,-0.95021801,3.30478401e+13,1.74598794e+13,6.02210716e+12,2.38283988e+12,1.11055610e+12,6.75161349e+11,2.97183803e+10,1.16242383e+09,2.11241445e+08,6.55998308e+07,2.90063883e+07,5.93084259e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.73611111,1.42807619,0.52144855,-0.95807226,3.30518023e+13,1.74623691e+13,6.02288319e+12,2.38315768e+12,1.11069970e+12,6.75247953e+11,2.97229998e+10,1.16256854e+09,2.11257344e+08,6.56027907e+07,2.90073109e+07,5.93093437e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.73680556,1.44391951,0.58222721,-0.96500942,3.30562136e+13,1.74650642e+13,6.02376174e+12,2.38351907e+12,1.11086145e+12,6.75348388e+11,2.97283053e+10,1.16273406e+09,2.11275276e+08,6.56060741e+07,2.90083408e+07,5.93103923e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.73750000,1.45845932,0.64248069,-0.97107452,3.30611659e+13,1.74679868e+13,6.02473677e+12,2.38393472e+12,1.11104263e+12,6.75462826e+11,2.97344414e+10,1.16292076e+09,2.11295353e+08,6.56097539e+07,2.90095003e+07,5.93115812e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.73819444,1.47175399,0.70218593,-0.97630980,3.30665618e+13,1.74712190e+13,6.02579713e+12,2.38441074e+12,1.11124739e+12,6.75591322e+11,2.97415590e+10,1.16312805e+09,2.11318225e+08,6.56139718e+07,2.90108063e+07,5.93129184e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.73888889,1.48385924,0.76132424,-0.98075543,3.30722988e+13,1.74748242e+13,6.02694471e+12,2.38494127e+12,1.11147956e+12,6.75736529e+11,2.97496821e+10,1.16336036e+09,2.11344455e+08,6.56187991e+07,2.90122557e+07,5.93144010e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.73958333,1.49482751,0.81987946,-0.98444877,3.30784978e+13,1.74787740e+13,6.02822381e+12,2.38552209e+12,1.11173944e+12,6.75901955e+11,2.97588210e+10,1.16362230e+09,2.11373869e+08,6.56241658e+07,2.90138208e+07,5.93160205e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.74027778,1.50470869,0.87783887,-0.98742560,3.30852322e+13,1.74830005e+13,6.02967328e+12,2.38615736e+12,1.11202582e+12,6.76088476e+11,2.97690725e+10,1.16391524e+09,2.11406446e+08,6.56300672e+07,2.90154981e+07,5.93178015e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.74097222,1.51354988,0.93519196,-0.98971952,3.30927602e+13,1.74874818e+13,6.03127226e+12,2.38686754e+12,1.11233923e+12,6.76295315e+11,2.97806502e+10,1.16423987e+09,2.11442363e+08,6.56365310e+07,2.90173173e+07,5.93197704e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.74166667,1.52139597,0.99193025,-0.99136191,3.31013332e+13,1.74922828e+13,6.03299938e+12,2.38766622e+12,1.11268585e+12,6.76521846e+11,2.97937169e+10,1.16459220e+09,2.11481987e+08,6.56436203e+07,2.90193183e+07,5.93219212e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.74236111,1.52828886,1.04804731,-0.99238291,3.31107140e+13,1.74975758e+13,6.03485304e+12,2.38853859e+12,1.11307432e+12,6.76771131e+11,2.98082631e+10,1.16497190e+09,2.11525745e+08,6.56514204e+07,2.90215197e+07,5.93242371e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.74305556,1.53426874,1.10353874,-0.99281062,3.31207031e+13,1.75034770e+13,6.03684129e+12,2.38947258e+12,1.11350416e+12,6.77048596e+11,2.98242368e+10,1.16538756e+09,2.11573655e+08,6.56599045e+07,2.90239097e+07,5.93267043e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
53219.74375000,1.53937359,1.15840077,-0.99267155,3.31313080e+13,1.75099140e+13,6.03902981e+12,2.39046710e+12,1.11397145e+12,6.77356424e+11,2.98416691e+10,1.16584374e+09,2.11625442e+08,6.56690099e+07,2.90264542e+07,5.93293086e+06,1.97029014e+06,5.35424489e+05,1.75846140e+05,1.50703247e+05,1.00676073e+05,7.58258549e+04,3.55200039e+04,1.58865187e+04,8.36969415e+03
