# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpochSa_Intg.CRRESPRO.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Active
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.01527778,1.50418085,2.11922432,-0.91794984,2.70082144e+07,2.89790805e+06,1.05634603e+06,3.50575862e+05,1.08776656e+05,1.08776656e+05,9.70699604e+03,8.40579121e+03,1.84500578e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,2.86854958e+07,3.06050550e+06,1.11132174e+06,3.67437112e+05,1.14178761e+05,1.14178761e+05,1.01688180e+04,8.85102292e+03,1.92620776e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,3.02212799e+07,3.20697366e+06,1.16078703e+06,3.82300179e+05,1.18602484e+05,1.18602484e+05,1.05912693e+04,9.26517916e+03,2.00547828e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,3.16155663e+07,3.33731247e+06,1.20474186e+06,3.95165060e+05,1.22047825e+05,1.22047825e+05,1.09743500e+04,9.64825981e+03,2.08281732e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,3.30098528e+07,3.46765131e+06,1.24869670e+06,4.08029942e+05,1.25493166e+05,1.25493166e+05,1.13574307e+04,1.00313405e+04,2.16015637e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,3.46028356e+07,3.61423990e+06,1.29773596e+06,4.21913199e+05,1.29170708e+05,1.29170708e+05,1.17594798e+04,1.04333896e+04,2.24527337e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,3.63945147e+07,3.77707826e+06,1.35185965e+06,4.36814833e+05,1.33080453e+05,1.33080453e+05,1.21804973e+04,1.08544071e+04,2.33816834e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02013889,1.44645844,2.40271786,-0.86049017,3.81861940e+07,3.93991665e+06,1.40598334e+06,4.51716469e+05,1.36990198e+05,1.36990198e+05,1.26015149e+04,1.12754247e+04,2.43106332e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02083333,1.43685460,2.44106636,-0.85146738,3.97912831e+07,4.09041779e+06,1.45553710e+06,4.64809071e+05,1.40633344e+05,1.40633344e+05,1.29914520e+04,1.16653619e+04,2.49984521e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02152778,1.42694265,2.47889157,-0.84226174,4.12097823e+07,4.22858173e+06,1.50052094e+06,4.76092644e+05,1.44009891e+05,1.44009891e+05,1.33503089e+04,1.20242187e+04,2.54451401e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
