# Irene Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.02361111,1.39545046,2.58927141,-0.81361047,1.17676800e+11,1.24894080e+11,2.41809600e+10,5.47716000e+09,1.62564000e+09,4.59757500e+08,1.74446250e+08,4.24021875e+07,8.95406289e+06,2.26514692e+06
53219.02430556,1.38439666,2.62504771,-0.80373478,1.21188480e+11,1.28655360e+11,2.49796800e+10,5.66496001e+09,1.68210000e+09,4.75507501e+08,1.80251250e+08,4.37756251e+07,9.25617231e+06,2.33516644e+06
53219.02500000,1.37307870,2.66032286,-0.79370542,1.24690560e+11,1.32408960e+11,2.57880000e+10,5.85612000e+09,1.73919000e+09,4.91377500e+08,1.86116250e+08,4.51696875e+07,9.55968793e+06,2.40495160e+06
53219.02569444,1.36150411,2.69510108,-0.78352791,1.28238720e+11,1.36218240e+11,2.66116799e+10,6.05123999e+09,1.79757000e+09,5.07637499e+08,1.92138750e+08,4.66059374e+07,9.87375041e+06,2.47760787e+06
53219.02638889,1.34968075,2.72938677,-0.77320693,1.31786880e+11,1.40027520e+11,2.74353600e+10,6.24636000e+09,1.85595000e+09,5.23897500e+08,1.98161250e+08,4.80421875e+07,1.01878129e+07,2.55026416e+06
53219.02708333,1.33761568,2.76318386,-0.76274752,1.35335040e+11,1.43836800e+11,2.82590400e+10,6.44147999e+09,1.91433000e+09,5.40157499e+08,2.04183750e+08,4.94784374e+07,1.05018754e+07,2.62292043e+06
53219.02777778,1.32531611,2.79649642,-0.75215438,1.38837120e+11,1.47592320e+11,2.90750400e+10,6.63564001e+09,1.97166000e+09,5.56057501e+08,2.10123750e+08,5.08968750e+07,1.08014067e+07,2.69317435e+06
53219.02847222,1.31278896,2.82932870,-0.74143207,1.42293120e+11,1.51294080e+11,2.98833600e+10,6.82883999e+09,2.02794000e+09,5.71597499e+08,2.15981250e+08,5.22974999e+07,1.10864067e+07,2.76102588e+06
53219.02916667,1.30004065,2.86168446,-0.73058466,1.45749120e+11,1.54995840e+11,3.06916800e+10,7.02204001e+09,2.08422000e+09,5.87137501e+08,2.21838750e+08,5.36981251e+07,1.13714067e+07,2.82887743e+06
53219.02986111,1.28707747,2.89356762,-0.71961671,1.49264640e+11,1.58770560e+11,3.15206400e+10,7.22076000e+09,2.14227000e+09,6.03217500e+08,2.27925000e+08,5.51596875e+07,1.16711723e+07,2.90094772e+06
53219.03055556,1.27390601,2.92498195,-0.70853199,1.52839680e+11,1.62618240e+11,3.23702400e+10,7.42500001e+09,2.20209000e+09,6.19837501e+08,2.34240000e+08,5.66821876e+07,1.19857036e+07,2.97723676e+06
53219.03125000,1.26053177,2.95593122,-0.69733473,1.56414720e+11,1.66465920e+11,3.32198400e+10,7.62924000e+09,2.26191000e+09,6.36457500e+08,2.40555000e+08,5.82046875e+07,1.23002349e+07,3.05352580e+06
53219.03194444,1.24696101,2.98641920,-0.68602853,1.59926400e+11,1.70265600e+11,3.40617599e+10,7.83215999e+09,2.32032000e+09,6.52582499e+08,2.46761250e+08,5.96999999e+07,1.25988286e+07,3.12723673e+06
