# Irene Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_H+_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         H+
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.04513889,0.95830315,3.48246986,-0.45482970,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.44431500e+09,3.87446518e+08,3.89477571e+07,2.70990973e+07,2.75728551e+07,3.54100499e+07,6.07638990e+07,9.19039680e+07,1.25906270e+08
53219.04583333,0.94178538,3.50440812,-0.44199272,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.50152971e+09,3.97026873e+08,4.11968870e+07,2.99129996e+07,3.09152879e+07,3.99422044e+07,6.75001003e+07,9.96175817e+07,1.32742746e+08
53219.04652778,0.92516057,3.52594833,-0.42910551,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.55931690e+09,4.06715731e+08,4.34752436e+07,3.27711425e+07,3.43124600e+07,4.45488139e+07,7.43516327e+07,1.07465815e+08,1.39711153e+08
53219.04722222,0.90843201,3.54709270,-0.41617011,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.61767540e+09,4.16512872e+08,4.57827678e+07,3.56734366e+07,3.77642612e+07,4.92297283e+07,8.13182638e+07,1.15448396e+08,1.46811224e+08
53219.04791667,0.89160268,3.56784389,-0.40318872,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.67660414e+09,4.26418089e+08,4.81194036e+07,3.86197972e+07,4.12705863e+07,5.39848047e+07,8.83997720e+07,1.23565067e+08,1.54042705e+08
53219.04861111,0.87467557,3.58820395,-0.39016292,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.73610201e+09,4.36431176e+08,5.04850958e+07,4.16101406e+07,4.48313321e+07,5.88139026e+07,9.55959398e+07,1.31815573e+08,1.61405350e+08
53219.04930556,0.85765382,3.60817538,-0.37709505,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.79616800e+09,4.46551939e+08,5.28797918e+07,4.46443872e+07,4.84463999e+07,6.37168877e+07,1.02906559e+08,1.40199673e+08,1.68898918e+08
53219.05000000,0.84054009,3.62776023,-0.36398653,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.85680108e+09,4.56780183e+08,5.53034395e+07,4.77224582e+07,5.21156922e+07,6.86936276e+07,1.10331425e+08,1.48717126e+08,1.76523176e+08
53219.05069444,0.82333736,3.64696086,-0.35083956,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.91800028e+09,4.67115726e+08,5.77559893e+07,5.08442787e+07,5.58391163e+07,7.37439960e+07,1.17870342e+08,1.57367704e+08,1.84277900e+08
53219.05138889,0.80604831,3.66577913,-0.33765586,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.97976465e+09,4.77558387e+08,6.02373929e+07,5.40097753e+07,5.96165815e+07,7.88678696e+07,1.25523119e+08,1.66151184e+08,1.92162871e+08
53219.05208333,0.78867560,3.68421742,-0.32443715,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.04209325e+09,4.88107988e+08,6.27476021e+07,5.72188751e+07,6.34479976e+07,8.40651257e+07,1.33289566e+08,1.75067344e+08,2.00177872e+08
53219.05277778,0.77122206,3.70227775,-0.31118502,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.10498520e+09,4.98764360e+08,6.52865714e+07,6.04715093e+07,6.73332793e+07,8.93356484e+07,1.41169503e+08,1.84115975e+08,2.08322698e+08
