# Irene Model output file: ../../unitTests/Legacy/CRRquiet_atEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.02569444,1.36150411,2.69510108,-0.78352791,4.09462344e+07,3.12852750e+07,1.08470019e+07,2.30567389e+06,6.74248074e+05,2.02186041e+05,6.68506014e+04,1.83659988e+04,4.54093956e+03,7.62374232e+02
53219.02638889,1.34968075,2.72938677,-0.77320693,4.29409219e+07,3.26602749e+07,1.12865643e+07,2.40070502e+06,7.01169825e+05,2.09672242e+05,6.91058457e+04,1.89374149e+04,4.66836758e+03,7.90490235e+02
53219.02708333,1.33761568,2.76318386,-0.76274752,4.49356091e+07,3.40352747e+07,1.17261266e+07,2.49573615e+06,7.28091572e+05,2.17158442e+05,7.13610895e+04,1.95088309e+04,4.79579558e+03,8.18606235e+02
53219.02777778,1.32531611,2.79649642,-0.75215438,4.72114065e+07,3.55579314e+07,1.21842051e+07,2.59222081e+06,7.55552792e+05,2.24750515e+05,7.35962248e+04,2.00663539e+04,4.91787159e+03,8.46672738e+02
53219.02847222,1.31278896,2.82932870,-0.74143207,4.97683133e+07,3.72282445e+07,1.26607995e+07,2.69015899e+06,7.83553477e+05,2.32448461e+05,7.58112507e+04,2.06099839e+04,5.03459559e+03,8.74689736e+02
53219.02916667,1.30004065,2.86168446,-0.73058466,5.23252205e+07,3.88985579e+07,1.31373940e+07,2.78809719e+06,8.11554166e+05,2.40146408e+05,7.80262770e+04,2.11536140e+04,5.15131960e+03,9.02706739e+02
53219.02986111,1.28707747,2.89356762,-0.71961671,5.49374758e+07,4.06077664e+07,1.36267510e+07,2.88902452e+06,8.40493218e+05,2.48132332e+05,8.03329980e+04,2.17230229e+04,5.27458284e+03,9.32431487e+02
53219.03055556,1.27390601,2.92498195,-0.70853199,5.76050801e+07,4.23558706e+07,1.41288706e+07,2.99294102e+06,8.70370641e+05,2.56406237e+05,8.27314143e+04,2.23182110e+04,5.40438535e+03,9.63863989e+02
53219.03125000,1.26053177,2.95593122,-0.69733473,6.02726840e+07,4.41039745e+07,1.46309902e+07,3.09685750e+06,9.00248061e+05,2.64680140e+05,8.51298302e+04,2.29133989e+04,5.53418785e+03,9.95296488e+02
53219.03194444,1.24696101,2.98641920,-0.68602853,6.32296328e+07,4.59847202e+07,1.51541657e+07,3.20193146e+06,9.30697021e+05,2.73074409e+05,8.75065186e+04,2.34949234e+04,5.65892034e+03,1.02665473e+03
53219.03263889,1.23319893,3.01644949,-0.67461718,6.64759271e+07,4.79981081e+07,1.56983972e+07,3.30816292e+06,9.61717525e+05,2.81589042e+05,8.98614797e+04,2.40627844e+04,5.77858284e+03,1.05793873e+03
53219.03333333,1.21925132,3.04602571,-0.66310412,6.97222209e+07,5.00114956e+07,1.62426286e+07,3.41439436e+06,9.92738025e+05,2.90103675e+05,9.22164405e+04,2.46306453e+04,5.89824533e+03,1.08922273e+03
53219.03402778,1.20512321,3.07515099,-0.65149297,7.29685152e+07,5.20248835e+07,1.67868601e+07,3.52062582e+06,1.02375853e+06,2.98618309e+05,9.45714017e+04,2.51985063e+04,6.01790783e+03,1.12050673e+03
53219.03472222,1.19081978,3.10382911,-0.63978701,7.62718020e+07,5.40763734e+07,1.73429205e+07,3.62952223e+06,1.05562759e+06,3.07389707e+05,9.70051500e+04,2.57880228e+04,6.14297257e+03,1.15332523e+03
53219.03541667,1.17634606,3.13206335,-0.62798955,7.96320825e+07,5.61659661e+07,1.79108100e+07,3.74108363e+06,1.08834522e+06,3.16417872e+05,9.95176863e+04,2.63991949e+04,6.27343959e+03,1.18767823e+03
53219.03611111,1.16170690,3.15985701,-0.61610356,8.34166933e+07,5.84357644e+07,1.85007725e+07,3.85660084e+06,1.12154993e+06,3.25502460e+05,1.01999490e+05,2.69990449e+04,6.40021208e+03,1.22198172e+03
53219.03680556,1.14690686,3.18721324,-0.60413250,8.76256356e+07,6.08857688e+07,1.91128082e+07,3.97607390e+06,1.15524172e+06,3.34643473e+05,1.04450563e+05,2.75875730e+04,6.52329009e+03,1.25623573e+03
53219.03750000,1.13195050,3.21413533,-0.59207889,9.18345773e+07,6.33357729e+07,1.97248437e+07,4.09554694e+06,1.18893351e+06,3.43784484e+05,1.06901634e+05,2.81761010e+04,6.64636807e+03,1.29048972e+03
