# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_O+_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         O+
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.02500000,1.37307870,2.66032286,-0.79370542,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.17252213e+04,4.48231883e+03,1.73910177e+03,1.07901214e+03,2.03063859e+02,2.77795865e+02
53219.02569444,1.36150411,2.69510108,-0.78352791,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.18892229e+04,4.53242211e+03,1.75882741e+03,1.10058960e+03,2.06376832e+02,2.80771590e+02
53219.02638889,1.34968075,2.72938677,-0.77320693,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.20528827e+04,4.58242099e+03,1.77851195e+03,1.12212210e+03,2.09682903e+02,2.83741115e+02
53219.02708333,1.33761568,2.76318386,-0.76274752,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.22161970e+04,4.63231430e+03,1.79815492e+03,1.14360914e+03,2.12981992e+02,2.86704370e+02
53219.02777778,1.32531611,2.79649642,-0.75215438,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.23791645e+04,4.68210164e+03,1.81775617e+03,1.16505054e+03,2.16274075e+02,2.89661331e+02
53219.02847222,1.31278896,2.82932870,-0.74143207,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.25417853e+04,4.73178307e+03,1.83731573e+03,1.18644633e+03,2.19559154e+02,2.92612002e+02
53219.02916667,1.30004065,2.86168446,-0.73058466,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.27040598e+04,4.78135874e+03,1.85683365e+03,1.20779657e+03,2.22837240e+02,2.95556391e+02
53219.02986111,1.28707747,2.89356762,-0.71961671,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.28659865e+04,4.83082811e+03,1.87630972e+03,1.22910103e+03,2.26108298e+02,2.98494467e+02
53219.03055556,1.27390601,2.92498195,-0.70853199,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.30275661e+04,4.88019145e+03,1.89574404e+03,1.25035983e+03,2.29372344e+02,3.01426246e+02
53219.03125000,1.26053177,2.95593122,-0.69733473,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.31887967e+04,4.92944818e+03,1.91513640e+03,1.27157272e+03,2.32629341e+02,3.04351693e+02
