# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpoch_Diff.AP8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.01458333,1.51093106,2.07651714,-0.92525113,6.05361280e+08,2.23789728e+08,7.07398880e+07,2.23003680e+07,8.76994400e+06,4.86454400e+06,1.15434953e+05,9.01666748e+02,3.93893242e+01,2.98842597e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,6.03861440e+08,2.30366880e+08,7.15432560e+07,2.32221540e+07,8.86670400e+06,4.93740700e+06,1.14550945e+05,8.66409973e+02,3.68587532e+01,2.66915894e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,6.03427584e+08,2.37746000e+08,7.24462880e+07,2.40886360e+07,9.03247800e+06,5.07014700e+06,1.14632445e+05,8.46232666e+02,3.51558647e+01,2.45755792e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,6.02734080e+08,2.44905488e+08,7.32389280e+07,2.47132360e+07,9.30703200e+06,5.22275000e+06,1.14891719e+05,8.27837952e+02,3.36164742e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,6.01199040e+08,2.51642400e+08,7.38563120e+07,2.51637880e+07,9.62279800e+06,5.37272550e+06,1.15958656e+05,8.05251587e+02,3.19491138e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,5.99510976e+08,2.58164528e+08,7.43800560e+07,2.55936200e+07,9.85308800e+06,5.55841300e+06,1.17419992e+05,7.84737732e+02,3.04547539e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,5.97065728e+08,2.61012432e+08,7.66924800e+07,2.59830700e+07,1.00232970e+07,5.74968700e+06,1.19106023e+05,7.60601929e+02,2.88731422e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,5.94586880e+08,2.62930624e+08,7.94294640e+07,2.63593200e+07,1.01949880e+07,5.93230500e+06,1.21385352e+05,7.38978882e+02,2.74729500e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02013889,1.44645844,2.40271786,-0.86049017,5.91697664e+08,2.63760368e+08,8.24339280e+07,2.66967060e+07,1.03491520e+07,6.10410350e+06,1.23327703e+05,7.15944092e+02,2.61858501e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02083333,1.43685460,2.44106636,-0.85146738,5.88154752e+08,2.63418512e+08,8.57648960e+07,2.69945600e+07,1.04824790e+07,6.26625800e+06,1.24846531e+05,6.89041870e+02,2.50112934e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02152778,1.42694265,2.47889157,-0.84226174,5.76029440e+08,2.63324240e+08,8.77233760e+07,2.70502120e+07,1.06144770e+07,6.31082000e+06,1.24660836e+05,6.66439819e+02,2.37109795e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02222222,1.41673201,2.51619773,-0.83287968,5.63806528e+08,2.62718192e+08,8.94379200e+07,2.70498160e+07,1.07156240e+07,6.33307850e+06,1.23740812e+05,6.41492249e+02,2.23085136e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02291667,1.40623164,2.55298955,-0.82332732,5.59970240e+08,2.62010544e+08,9.10079360e+07,2.71305580e+07,1.08106900e+07,6.35516700e+06,1.22753805e+05,6.18880432e+02,2.10753536e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02361111,1.39545046,2.58927141,-0.81361047,5.72312768e+08,2.60814752e+08,9.19084880e+07,2.74154040e+07,1.08740610e+07,6.35477200e+06,1.21075414e+05,5.94216858e+02,1.97595024e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
