# Legacy Model output file: ../../unitTests/Legacy/CRRactive_NatEpochSa_Intg.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.04375000,0.99100483,3.43738935,-0.48034436,3.92492734e+07,2.17532734e+07,4.93647314e+06,1.16607336e+06,3.33873352e+05,1.07123344e+05,4.15983429e+04,1.45483398e+04,3.84052753e+03,1.00385749e+03
53219.04444444,0.97471073,3.46013122,-0.46761426,3.92492734e+07,2.17532734e+07,4.93647314e+06,1.16607336e+06,3.33873352e+05,1.07123344e+05,4.15983429e+04,1.45483398e+04,3.84052753e+03,1.00385749e+03
53219.04513889,0.95830315,3.48246986,-0.45482970,3.92492734e+07,2.17532734e+07,4.93647314e+06,1.16607336e+06,3.33873352e+05,1.07123344e+05,4.15983429e+04,1.45483398e+04,3.84052753e+03,1.00385749e+03
53219.04583333,0.94178538,3.50440812,-0.44199272,3.92492734e+07,2.17532734e+07,4.93647314e+06,1.16607336e+06,3.33873352e+05,1.07123344e+05,4.15983429e+04,1.45483398e+04,3.84052753e+03,1.00385749e+03
53219.04652778,0.92516057,3.52594833,-0.42910551,3.92492734e+07,2.17532734e+07,4.93647314e+06,1.16607336e+06,3.33873352e+05,1.07123344e+05,4.15983429e+04,1.45483398e+04,3.84052753e+03,1.00385749e+03
53219.04722222,0.90843201,3.54709270,-0.41617011,4.04689258e+07,2.24945254e+07,5.13492578e+06,1.21852612e+06,3.50726074e+05,1.13176079e+05,4.42260742e+04,1.55760746e+04,4.15712929e+03,1.09409189e+03
53219.04791667,0.89160268,3.56784389,-0.40318872,4.04689258e+07,2.24945254e+07,5.13492578e+06,1.21852612e+06,3.50726074e+05,1.13176079e+05,4.42260742e+04,1.55760746e+04,4.15712929e+03,1.09409189e+03
53219.04861111,0.87467557,3.58820395,-0.39016292,4.04689258e+07,2.24945254e+07,5.13492578e+06,1.21852612e+06,3.50726074e+05,1.13176079e+05,4.42260742e+04,1.55760746e+04,4.15712929e+03,1.09409189e+03
53219.04930556,0.85765382,3.60817538,-0.37709505,3.91268477e+07,2.16804492e+07,4.86204785e+06,1.14924805e+06,3.31448059e+05,1.05448051e+05,4.10980453e+04,1.45355473e+04,3.86699247e+03,1.00546873e+03
53219.05000000,0.84054009,3.62776023,-0.36398653,3.91268477e+07,2.16804492e+07,4.86204785e+06,1.14924805e+06,3.31448059e+05,1.05448051e+05,4.10980453e+04,1.45355473e+04,3.86699247e+03,1.00546873e+03
53219.05069444,0.82333736,3.64696086,-0.35083956,3.91268477e+07,2.16804492e+07,4.86204785e+06,1.14924805e+06,3.31448059e+05,1.05448051e+05,4.10980453e+04,1.45355473e+04,3.86699247e+03,1.00546873e+03
53219.05138889,0.80604831,3.66577913,-0.33765586,3.91268477e+07,2.16804492e+07,4.86204785e+06,1.14924805e+06,3.31448059e+05,1.05448051e+05,4.10980453e+04,1.45355473e+04,3.86699247e+03,1.00546873e+03
53219.05208333,0.78867560,3.68421742,-0.32443715,3.91268477e+07,2.16804492e+07,4.86204785e+06,1.14924805e+06,3.31448059e+05,1.05448051e+05,4.10980453e+04,1.45355473e+04,3.86699247e+03,1.00546873e+03
53219.05277778,0.77122206,3.70227775,-0.31118502,4.01014023e+07,2.22694043e+07,5.02140381e+06,1.19260376e+06,3.45403717e+05,1.10403717e+05,4.32287140e+04,1.53787117e+04,4.13144588e+03,1.07959008e+03
53219.05347222,0.75369020,3.71996202,-0.29790134,4.01014023e+07,2.22694043e+07,5.02140381e+06,1.19260376e+06,3.45403717e+05,1.10403717e+05,4.32287140e+04,1.53787117e+04,4.13144588e+03,1.07959008e+03
53219.05416667,0.73608253,3.73727210,-0.28458768,4.01014023e+07,2.22694043e+07,5.02140381e+06,1.19260376e+06,3.45403717e+05,1.10403717e+05,4.32287140e+04,1.53787117e+04,4.13144588e+03,1.07959008e+03
53219.05486111,0.71840156,3.75421020,-0.27124576,4.01014023e+07,2.22694043e+07,5.02140381e+06,1.19260376e+06,3.45403717e+05,1.10403717e+05,4.32287140e+04,1.53787117e+04,4.13144588e+03,1.07959008e+03
53219.05555556,0.70064980,3.77077788,-0.25787701,3.90353633e+07,2.15249609e+07,4.75616113e+06,1.10816101e+06,3.19561035e+05,1.02711037e+05,4.04610367e+04,1.44485359e+04,3.77998114e+03,9.61963177e+02
53219.05625000,0.68282945,3.78697734,-0.24448299,3.90353633e+07,2.15249609e+07,4.75616113e+06,1.10816101e+06,3.19561035e+05,1.02711037e+05,4.04610367e+04,1.44485359e+04,3.77998114e+03,9.61963177e+02
53219.05694444,0.66494302,3.80280999,-0.23106542,3.90353633e+07,2.15249609e+07,4.75616113e+06,1.10816101e+06,3.19561035e+05,1.02711037e+05,4.04610367e+04,1.44485359e+04,3.77998114e+03,9.61963177e+02
53219.05763889,0.64699287,3.81827803,-0.21762557,3.90353633e+07,2.15249609e+07,4.75616113e+06,1.10816101e+06,3.19561035e+05,1.02711037e+05,4.04610367e+04,1.44485359e+04,3.77998114e+03,9.61963177e+02
53219.05833333,0.62898120,3.83338288,-0.20416515,3.90353633e+07,2.15249609e+07,4.75616113e+06,1.10816101e+06,3.19561035e+05,1.02711037e+05,4.04610367e+04,1.44485359e+04,3.77998114e+03,9.61963177e+02
53219.05902778,0.61091019,3.84812641,-0.19068527,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.05972222,0.59278205,3.86251020,-0.17718781,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.06041667,0.57459898,3.87653597,-0.16367372,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.06111111,0.55636317,3.89020514,-0.15014471,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.06180556,0.53807650,3.90351943,-0.13660190,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.06250000,0.51974102,3.91648041,-0.12304668,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.06319444,0.50135893,3.92908934,-0.10948047,3.90108984e+07,2.15084980e+07,4.71609766e+06,1.06449780e+06,3.05297760e+05,9.87977524e+04,3.96477547e+04,1.42227545e+04,3.61494112e+03,8.91064346e+02
53219.06388889,0.48293210,3.94134794,-0.09590454,3.90108984e+07,2.15084980e+07,4.71609766e+06,1.06449780e+06,3.05297760e+05,9.87977524e+04,3.96477547e+04,1.42227545e+04,3.61494112e+03,8.91064346e+02
