# Irene Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.03750000,1.13195050,3.21413533,-0.59207889,1.25928263e+11,6.79942303e+10,1.45996895e+10,3.51388600e+09,1.06263393e+09,3.50483415e+08,1.35423163e+08,4.74766619e+07,1.24653366e+07,3.06738088e+06
53219.03819444,1.11684235,3.24062626,-0.57994601,1.28349188e+11,6.93348680e+10,1.49067913e+10,3.58799576e+09,1.08418369e+09,3.57567177e+08,1.38194424e+08,4.84306735e+07,1.27062623e+07,3.12867579e+06
53219.03888889,1.10158683,3.26668916,-0.56773638,1.30770114e+11,7.06755059e+10,1.52138931e+10,3.66210553e+09,1.10573346e+09,3.64650939e+08,1.40965686e+08,4.93846853e+07,1.29471881e+07,3.18997070e+06
53219.03958333,1.08618785,3.29232703,-0.55545298,1.33222243e+11,7.20348667e+10,1.55261340e+10,3.73761046e+09,1.12773639e+09,3.71899870e+08,1.43807618e+08,5.03654919e+07,1.31960475e+07,3.25348924e+06
53219.04027778,1.07064964,3.31754285,-0.54309832,1.35705575e+11,7.34129509e+10,1.58435141e+10,3.81451057e+09,1.15019249e+09,3.79313973e+08,1.46720220e+08,5.13730936e+07,1.34528405e+07,3.31923143e+06
53219.04097222,1.05497614,3.34233943,-0.53067491,1.38159475e+11,7.47741787e+10,1.61561459e+10,3.88972241e+09,1.17202834e+09,3.86481324e+08,1.49530071e+08,5.23473201e+07,1.37034167e+07,3.38400683e+06
53219.04166667,1.03917111,3.36671961,-0.51818543,1.40583943e+11,7.61185504e+10,1.64640296e+10,3.96324601e+09,1.19324395e+09,3.93401926e+08,1.52237173e+08,5.32881718e+07,1.39477762e+07,3.44781545e+06
53219.04236111,1.02323848,3.39068621,-0.50563222,1.43008410e+11,7.74629219e+10,1.67719132e+10,4.03676961e+09,1.21445955e+09,4.00322527e+08,1.54944275e+08,5.42290234e+07,1.41921356e+07,3.51162406e+06
53219.04305556,1.00718185,3.41424190,-0.49301780,1.45432878e+11,7.88072936e+10,1.70797968e+10,4.11029321e+09,1.23567515e+09,4.07243129e+08,1.57651377e+08,5.51698751e+07,1.44364950e+07,3.57543268e+06
53219.04375000,0.99100483,3.43738935,-0.48034436,1.47857345e+11,8.01516651e+10,1.73876804e+10,4.18381681e+09,1.25689075e+09,4.14163731e+08,1.60358478e+08,5.61107267e+07,1.46808544e+07,3.63924129e+06
53219.04444444,0.97471073,3.46013122,-0.46761426,1.50281813e+11,8.14960367e+10,1.76955640e+10,4.25734040e+09,1.27810635e+09,4.21084332e+08,1.63065580e+08,5.70515782e+07,1.49252138e+07,3.70304990e+06
53219.04513889,0.95830315,3.48246986,-0.45482970,1.52706280e+11,8.28404084e+10,1.80034476e+10,4.33086401e+09,1.29932195e+09,4.28004934e+08,1.65772682e+08,5.79924299e+07,1.51695733e+07,3.76685852e+06
53219.04583333,0.94178538,3.50440812,-0.44199272,1.55132582e+11,8.41874299e+10,1.83114372e+10,4.40418158e+09,1.32045153e+09,4.34860517e+08,1.68453015e+08,5.89301379e+07,1.54164669e+07,3.83158558e+06
53219.04652778,0.92516057,3.52594833,-0.42910551,1.57560717e+11,8.55371015e+10,1.86195328e+10,4.47729316e+09,1.34149510e+09,4.41651082e+08,1.71106579e+08,5.98647025e+07,1.56658946e+07,3.89723110e+06
53219.04722222,0.90843201,3.54709270,-0.41617011,1.59988853e+11,8.68867729e+10,1.89276283e+10,4.55040472e+09,1.36253866e+09,4.48441646e+08,1.73760144e+08,6.07992669e+07,1.59153224e+07,3.96287661e+06
53219.04791667,0.89160268,3.56784389,-0.40318872,1.62416989e+11,8.82364446e+10,1.92357239e+10,4.62351629e+09,1.38358223e+09,4.55232212e+08,1.76413708e+08,6.17338314e+07,1.61647502e+07,4.02852213e+06
53219.04861111,0.87467557,3.58820395,-0.39016292,1.64845124e+11,8.95861160e+10,1.95438194e+10,4.69662786e+09,1.40462579e+09,4.62022776e+08,1.79067273e+08,6.26683959e+07,1.64141779e+07,4.09416764e+06
53219.04930556,0.85765382,3.60817538,-0.37709505,1.67273260e+11,9.09357876e+10,1.98519150e+10,4.76973943e+09,1.42566936e+09,4.68813341e+08,1.81720837e+08,6.36029604e+07,1.66636057e+07,4.15981316e+06
53219.05000000,0.84054009,3.62776023,-0.36398653,1.69701395e+11,9.22854591e+10,2.01600105e+10,4.84285099e+09,1.44671292e+09,4.75603905e+08,1.84374402e+08,6.45375248e+07,1.69130334e+07,4.22545867e+06
53219.05069444,0.82333736,3.64696086,-0.35083956,1.72089268e+11,9.36107082e+10,2.04599197e+10,4.91388421e+09,1.46717814e+09,4.82162629e+08,1.86934125e+08,6.54408734e+07,1.71537571e+07,4.28844548e+06
53219.05138889,0.80604831,3.66577913,-0.33765586,1.74466116e+11,9.49292039e+10,2.07564233e+10,4.98413977e+09,1.48748370e+09,4.88638183e+08,1.89463928e+08,6.63383013e+07,1.73937102e+07,4.35099725e+06
53219.05208333,0.78867560,3.68421742,-0.32443715,1.76872200e+11,9.62653681e+10,2.10577075e+10,5.05569599e+09,1.50820792e+09,4.95262405e+08,1.92057651e+08,6.72610239e+07,1.76415970e+07,4.41577265e+06
53219.05277778,0.77122206,3.70227775,-0.31118502,1.79278284e+11,9.76015325e+10,2.13589917e+10,5.12725222e+09,1.52893214e+09,5.01886629e+08,1.94651374e+08,6.81837467e+07,1.78894837e+07,4.48054806e+06
53219.05347222,0.75369020,3.71996202,-0.29790134,1.81684368e+11,9.89376966e+10,2.16602759e+10,5.19880845e+09,1.54965637e+09,5.08510851e+08,1.97245096e+08,6.91064693e+07,1.81373705e+07,4.54532346e+06
53219.05416667,0.73608253,3.73727210,-0.28458768,1.84090453e+11,1.00273861e+11,2.19615602e+10,5.27036468e+09,1.57038059e+09,5.15135075e+08,1.99838819e+08,7.00291921e+07,1.83852572e+07,4.61009887e+06
53219.05486111,0.71840156,3.75421020,-0.27124576,1.86496537e+11,1.01610025e+11,2.22628444e+10,5.34192090e+09,1.59110481e+09,5.21759297e+08,2.02432542e+08,7.09519147e+07,1.86331440e+07,4.67487428e+06
