# Irene Model output file: ../../unitTests/Legacy/CRRquiet_NatEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.03125000,1.26053177,2.95593122,-0.69733473,6.68178044e+07,4.74920065e+07,1.52598298e+07,3.18229879e+06,9.15637578e+05,2.62848913e+05,8.21468269e+04,2.14880677e+04,5.05435203e+03,9.44212486e+02
53219.03194444,1.24696101,2.98641920,-0.68602853,7.00640982e+07,4.95053940e+07,1.58040612e+07,3.28853023e+06,9.46658078e+05,2.71363546e+05,8.45017878e+04,2.20559286e+04,5.17401452e+03,9.75496482e+02
53219.03263889,1.23319893,3.01644949,-0.67461718,7.33103925e+07,5.15187818e+07,1.63482927e+07,3.39476169e+06,9.77678582e+05,2.79878179e+05,8.68567489e+04,2.26237896e+04,5.29367702e+03,1.00678048e+03
53219.03333333,1.21925132,3.04602571,-0.66310412,7.65566863e+07,5.35321694e+07,1.68925241e+07,3.50099313e+06,1.00869908e+06,2.88392812e+05,8.92117097e+04,2.31916505e+04,5.41333951e+03,1.03806448e+03
53219.03402778,1.20512321,3.07515099,-0.65149297,8.02139431e+07,5.57194729e+07,1.74579524e+07,3.61103077e+06,1.04017421e+06,2.96960707e+05,9.15378994e+04,2.37490461e+04,5.52954977e+03,1.06929898e+03
53219.03472222,1.19081978,3.10382911,-0.63978701,8.42821618e+07,5.80806917e+07,1.80445774e+07,3.72487459e+06,1.07210396e+06,3.05581860e+05,9.38353172e+04,2.42959761e+04,5.64230776e+03,1.10048398e+03
53219.03541667,1.17634606,3.13206335,-0.62798955,8.83503812e+07,6.04419108e+07,1.86312025e+07,3.83871842e+06,1.10403372e+06,3.14203016e+05,9.61327354e+04,2.48429062e+04,5.75506577e+03,1.13166898e+03
53219.03611111,1.16170690,3.15985701,-0.61610356,9.24889614e+07,6.28475223e+07,1.92305328e+07,3.95537685e+06,1.13684449e+06,3.23084098e+05,9.85069802e+04,2.54106351e+04,5.87298376e+03,1.16438848e+03
53219.03680556,1.14690686,3.18721324,-0.60413250,9.66979037e+07,6.52975268e+07,1.98425684e+07,4.07484991e+06,1.17053628e+06,3.32225111e+05,1.00958053e+05,2.59991632e+04,5.99606176e+03,1.19864248e+03
53219.03750000,1.13195050,3.21413533,-0.59207889,1.00906845e+08,6.77475309e+07,2.04546040e+07,4.19432295e+06,1.20422807e+06,3.41366123e+05,1.03409124e+05,2.65876912e+04,6.11913975e+03,1.23289647e+03
53219.03819444,1.11684235,3.24062626,-0.57994601,1.05115787e+08,7.01975350e+07,2.10666395e+07,4.31379599e+06,1.23791985e+06,3.50507134e+05,1.05860196e+05,2.71762191e+04,6.24221773e+03,1.26715047e+03
53219.03888889,1.10158683,3.26668916,-0.56773638,1.09856056e+08,7.28761474e+07,2.16977050e+07,4.43561142e+06,1.27175090e+06,3.59544232e+05,1.08266675e+05,2.77501777e+04,6.36235349e+03,1.30135497e+03
