# Irene Model output file: ../../unitTests/Legacy/CammiceAll_Pa70.CAMMICE.output_mean_H+_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         H+
# Flux type:                Differential
# Flux direction:           Bin 60-70
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.02152778,1.42694265,2.47889157,-0.84226174,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.51245405e+07,8.11978636e+06,5.60423755e+05,3.15067406e+05,3.25809212e+05,3.79224986e+05,7.18498943e+05,1.23464568e+06,1.91091921e+06
53219.02222222,1.41673201,2.51619773,-0.83287968,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.72365414e+07,8.35937427e+06,5.87082374e+05,3.31569220e+05,3.43538729e+05,4.02947591e+05,7.66647050e+05,1.31820589e+06,2.03850944e+06
53219.02291667,1.40623164,2.55298955,-0.82332732,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.93821376e+07,8.60277328e+06,6.14165049e+05,3.48333526e+05,3.61550268e+05,4.27047548e+05,8.15561044e+05,1.40309528e+06,2.16812924e+06
53219.02361111,1.39545046,2.58927141,-0.81361047,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.15615371e+07,8.85000697e+06,6.41674403e+05,3.65361949e+05,3.79845573e+05,4.51527192e+05,8.65245663e+05,1.48932207e+06,2.29979116e+06
53219.02430556,1.38439666,2.62504771,-0.80373478,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.37749517e+07,9.10109937e+06,6.69613110e+05,3.82656144e+05,3.98426423e+05,4.76388904e+05,9.15705737e+05,1.57689465e+06,2.43350799e+06
53219.02500000,1.37307870,2.66032286,-0.79370542,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.60225954e+07,9.35607477e+06,6.97983874e+05,4.00217784e+05,4.17294615e+05,5.01635088e+05,9.66946147e+05,1.66582150e+06,2.56929269e+06
53219.02569444,1.36150411,2.69510108,-0.78352791,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.83046862e+07,9.61495788e+06,7.26789443e+05,4.18048570e+05,4.36451978e+05,5.27268191e+05,1.01897186e+06,1.75611122e+06,2.70715839e+06
53219.02638889,1.34968075,2.72938677,-0.77320693,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.06214451e+07,9.87777379e+06,7.56032609e+05,4.36150231e+05,4.55900368e+05,5.53290697e+05,1.07178792e+06,1.84777257e+06,2.84711847e+06
53219.02708333,1.33761568,2.76318386,-0.76274752,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.29730958e+07,1.01445479e+07,7.85716195e+05,4.54524514e+05,4.75641662e+05,5.79705116e+05,1.12539941e+06,1.94081439e+06,2.98918643e+06
53219.02777778,1.32531611,2.79649642,-0.75215438,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.53598661e+07,1.04153059e+07,8.15843076e+05,4.73173199e+05,4.95677774e+05,6.06514011e+05,1.17981154e+06,2.03524570e+06,3.13337604e+06
