# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.02291667,1.40623164,2.55298955,-0.82332732,7.29029959e+10,3.89412684e+10,8.09796813e+09,1.92820427e+09,5.84654252e+08,1.91061732e+08,7.28474836e+07,2.53522316e+07,6.66309262e+06,1.64072679e+06
53219.02361111,1.39545046,2.58927141,-0.81361047,7.52528636e+10,4.02240962e+10,8.38350003e+09,1.99788020e+09,6.05730183e+08,1.97881663e+08,7.54299151e+07,2.62524132e+07,6.89801250e+06,1.69593087e+06
53219.02430556,1.38439666,2.62504771,-0.80373478,7.76027317e+10,4.15069242e+10,8.66903196e+09,2.06755614e+09,6.26806116e+08,2.04701595e+08,7.80123470e+07,2.71525949e+07,7.13293242e+06,1.75113496e+06
53219.02500000,1.37307870,2.66032286,-0.79370542,7.99525995e+10,4.27897520e+10,8.95456386e+09,2.13723206e+09,6.47882047e+08,2.11521526e+08,8.05947784e+07,2.80527765e+07,7.36785230e+06,1.80633903e+06
53219.02569444,1.36150411,2.69510108,-0.78352791,8.22723132e+10,4.40568739e+10,9.23748178e+09,2.20610601e+09,6.68551999e+08,2.18209979e+08,8.31319815e+07,2.89306046e+07,7.59332105e+06,1.85970622e+06
53219.02638889,1.34968075,2.72938677,-0.77320693,8.45982303e+10,4.53299588e+10,9.52348265e+09,2.27573486e+09,6.89328841e+08,2.24951319e+08,8.57010716e+07,2.98155695e+07,7.81786990e+06,1.91346013e+06
53219.02708333,1.33761568,2.76318386,-0.76274752,8.69605039e+10,4.66247125e+10,9.81518033e+09,2.34692056e+09,7.10618545e+08,2.31877024e+08,8.83472764e+07,3.07300245e+07,8.05094993e+06,1.96943764e+06
53219.02777778,1.32531611,2.79649642,-0.75215438,8.93227780e+10,4.79194663e+10,1.01068781e+10,2.41810628e+09,7.31908253e+08,2.38802729e+08,9.09934816e+07,3.16444797e+07,8.28403000e+06,2.02541517e+06
53219.02847222,1.31278896,2.82932870,-0.74143207,9.16850516e+10,4.92142199e+10,1.03985757e+10,2.48929198e+09,7.53197957e+08,2.45728434e+08,9.36396864e+07,3.25589347e+07,8.51711002e+06,2.08139268e+06
53219.02916667,1.30004065,2.86168446,-0.73058466,9.40473257e+10,5.05089737e+10,1.06902735e+10,2.56047769e+09,7.74487665e+08,2.52654139e+08,9.62858916e+07,3.34733899e+07,8.75019009e+06,2.13737021e+06
