# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpoch_Intg.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.53055556,1.16903896,3.14431190,-0.60831382,2.21553230e+04,1.86166496e+04,7.29711866e+03,1.61977506e+03,5.04540622e+02,1.75146207e+02,6.62107989e+01,2.13013999e+01,6.13790005e+00,1.02299999e+00
53219.53125000,1.15431787,3.17190529,-0.59627119,2.47988052e+04,1.98542747e+04,7.28005552e+03,1.73552442e+03,5.40211737e+02,1.77223548e+02,6.46259487e+01,2.01191511e+01,5.79002500e+00,9.91649926e-01
53219.53194444,1.13943778,3.19906187,-0.58414631,2.47988052e+04,1.98542747e+04,7.28005552e+03,1.73552442e+03,5.40211737e+02,1.77223548e+02,6.46259487e+01,2.01191511e+01,5.79002500e+00,9.91649926e-01
53219.53263889,1.12440310,3.22578431,-0.57194233,2.91430798e+04,2.32938614e+04,8.58370495e+03,1.83136141e+03,5.70423841e+02,1.78822249e+02,6.26600534e+01,1.87148508e+01,5.31375036e+00,9.61125013e-01
53219.53333333,1.10921820,3.25207622,-0.55966176,2.91430798e+04,2.32938614e+04,8.58370495e+03,1.83136141e+03,5.70423841e+02,1.78822249e+02,6.26600534e+01,1.87148508e+01,5.31375036e+00,9.61125013e-01
53219.53402778,1.09388749,3.27794026,-0.54730773,2.91430798e+04,2.32938614e+04,8.58370495e+03,1.83136141e+03,5.70423841e+02,1.78822249e+02,6.26600534e+01,1.87148508e+01,5.31375036e+00,9.61125013e-01
53219.53472222,1.07841506,3.30337958,-0.53488260,3.03598614e+04,2.35321274e+04,8.64931488e+03,1.97118938e+03,6.00486219e+02,1.82126805e+02,6.14724010e+01,1.76004004e+01,4.76507470e+00,9.33074974e-01
53219.53541667,1.06280481,3.32839701,-0.52238935,3.03598614e+04,2.35321274e+04,8.64931488e+03,1.97118938e+03,6.00486219e+02,1.82126805e+02,6.14724010e+01,1.76004004e+01,4.76507470e+00,9.33074974e-01
53219.53611111,1.04706084,3.35299567,-0.50983017,3.76185150e+04,2.77622643e+04,9.41460800e+03,2.09663939e+03,6.22811079e+02,1.82772055e+02,5.96276559e+01,1.64148510e+01,4.25982522e+00,9.10800009e-01
53219.53680556,1.03118690,3.37717824,-0.49720775,3.76185150e+04,2.77622643e+04,9.41460800e+03,2.09663939e+03,6.22811079e+02,1.82772055e+02,5.96276559e+01,1.64148510e+01,4.25982522e+00,9.10800009e-01
