# Irene Model output file: ../../unitTests/Legacy/CRRquiet_atEpoch_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.03541667,1.17634606,3.13206335,-0.62798955,6.00362846e+07,1.03678125e+08,5.39062501e+07,1.02041020e+07,3.05958990e+06,8.00046818e+05,2.84454091e+05,4.05691798e+04,9.17195998e+03,1.43960999e+03
53219.03611111,1.16170690,3.15985701,-0.61610356,6.48137843e+07,1.09108125e+08,5.57334375e+07,1.05207427e+07,3.15451178e+06,8.25725526e+05,2.91789300e+05,4.16064598e+04,9.30881997e+03,1.48118999e+03
53219.03680556,1.14690686,3.18721324,-0.60413250,7.04987848e+07,1.15220625e+08,5.76271876e+07,1.08530865e+07,3.25107429e+06,8.51916908e+05,2.99047621e+05,4.26336599e+04,9.43721998e+03,1.52270999e+03
53219.03750000,1.13195050,3.21413533,-0.59207889,7.61837844e+07,1.21333125e+08,5.95209375e+07,1.11854302e+07,3.34763678e+06,8.78108286e+05,3.06305940e+05,4.36608598e+04,9.56561998e+03,1.56422999e+03
53219.03819444,1.11684235,3.24062626,-0.57994601,8.18687840e+07,1.27445625e+08,6.14146874e+07,1.15177740e+07,3.44419928e+06,9.04299663e+05,3.13564260e+05,4.46880597e+04,9.69401997e+03,1.60574998e+03
53219.03888889,1.10158683,3.26668916,-0.56773638,8.75537845e+07,1.33558125e+08,6.33084375e+07,1.18501178e+07,3.54076178e+06,9.30491045e+05,3.20822580e+05,4.57152598e+04,9.82241998e+03,1.64726999e+03
53219.03958333,1.08618785,3.29232703,-0.55545298,9.33025341e+07,1.39745625e+08,6.52321874e+07,1.21883209e+07,3.63919928e+06,9.57239073e+05,3.28253010e+05,4.67699398e+04,9.95459997e+03,1.69028998e+03
53219.04027778,1.07064964,3.31754285,-0.54309832,9.91150346e+07,1.46008125e+08,6.71859376e+07,1.25323834e+07,3.73951179e+06,9.84543756e+05,3.35855550e+05,4.78520999e+04,1.00905600e+04,1.73480999e+03
53219.04097222,1.05497614,3.34233943,-0.53067491,1.06011284e+08,1.53234375e+08,6.92071875e+07,1.28865240e+07,3.84128912e+06,1.01164335e+06,3.43344570e+05,4.89104398e+04,1.02195300e+04,1.77926998e+03
53219.04166667,1.03917111,3.36671961,-0.51818543,1.13991285e+08,1.61424375e+08,7.12959376e+07,1.32507429e+07,3.94453131e+06,1.03853788e+06,3.50720070e+05,4.99449599e+04,1.03415100e+04,1.82366999e+03
53219.04236111,1.02323848,3.39068621,-0.50563222,1.21971284e+08,1.69614375e+08,7.33846875e+07,1.36149616e+07,4.04777348e+06,1.06543240e+06,3.58095570e+05,5.09794798e+04,1.04634900e+04,1.86806998e+03
53219.04305556,1.00718185,3.41424190,-0.49301780,1.29951285e+08,1.77804376e+08,7.54734376e+07,1.39791804e+07,4.15101567e+06,1.09232692e+06,3.65471070e+05,5.20139998e+04,1.05854700e+04,1.91246999e+03
53219.04375000,0.99100483,3.43738935,-0.48034436,1.37931284e+08,1.85994375e+08,7.75621875e+07,1.43433992e+07,4.25425784e+06,1.11922144e+06,3.72846570e+05,5.30485197e+04,1.07074500e+04,1.95686998e+03
53219.04444444,0.97471073,3.46013122,-0.46761426,1.45911284e+08,1.94184374e+08,7.96509374e+07,1.47076179e+07,4.35750002e+06,1.14611596e+06,3.80222069e+05,5.40830396e+04,1.08294300e+04,2.00126998e+03
53219.04513889,0.95830315,3.48246986,-0.45482970,1.53891284e+08,2.02374375e+08,8.17396875e+07,1.50718367e+07,4.46074221e+06,1.17301048e+06,3.87597570e+05,5.51175597e+04,1.09514100e+04,2.04566998e+03
