# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_He+_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         He+
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.03611111,1.16170690,3.15985701,-0.61610356,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.55102117e+04,8.54072686e+03,1.67731703e+03,7.09215621e+02,6.60463114e+02,4.29264252e+02,2.64360791e+02
53219.03680556,1.14690686,3.18721324,-0.60413250,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.58802812e+04,8.63508126e+03,1.69275842e+03,7.15367804e+02,6.67037735e+02,4.33637926e+02,2.66940804e+02
53219.03750000,1.13195050,3.21413533,-0.59207889,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.70133148e+04,9.32715386e+03,1.94617366e+03,1.12761823e+03,1.23418976e+03,9.98298434e+02,4.83816411e+02
53219.03819444,1.11684235,3.24062626,-0.57994601,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.74206760e+04,9.42486142e+03,1.96906877e+03,1.13944396e+03,1.24461869e+03,1.00402137e+03,4.87409336e+02
53219.03888889,1.10158683,3.26668916,-0.56773638,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.78270675e+04,9.52233643e+03,1.99190940e+03,1.15124155e+03,1.25502280e+03,1.00973069e+03,4.90993709e+02
53219.03958333,1.08618785,3.29232703,-0.55545298,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.82210190e+04,9.60810394e+03,2.01558467e+03,1.16231470e+03,1.26376495e+03,1.01490613e+03,4.94604045e+02
53219.04027778,1.07064964,3.31754285,-0.54309832,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.86136440e+04,9.69202233e+03,2.03945457e+03,1.17328559e+03,1.27223738e+03,1.01999991e+03,4.98226493e+02
53219.04097222,1.05497614,3.34233943,-0.53067491,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.89997432e+04,9.77454592e+03,2.06292773e+03,1.18407413e+03,1.28056899e+03,1.02500903e+03,5.01788732e+02
53219.04166667,1.03917111,3.36671961,-0.51818543,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.93848587e+04,9.85685927e+03,2.08634109e+03,1.19483519e+03,1.28887937e+03,1.03000539e+03,5.05341896e+02
53219.04236111,1.02323848,3.39068621,-0.50563222,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.97690309e+04,9.93897098e+03,2.10969709e+03,1.20556988e+03,1.29716939e+03,1.03498951e+03,5.08886356e+02
53219.04305556,1.00718185,3.41424190,-0.49301780,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.01522858e+04,1.00208867e+04,2.13299733e+03,1.21627894e+03,1.30543963e+03,1.03996173e+03,5.12422354e+02
53219.04375000,0.99100483,3.43738935,-0.48034436,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.05346590e+04,1.01026139e+04,2.15624396e+03,1.22696337e+03,1.31369083e+03,1.04492251e+03,5.15950216e+02
53219.04444444,0.97471073,3.46013122,-0.46761426,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.09161768e+04,1.01841582e+04,2.17943860e+03,1.23762389e+03,1.32192358e+03,1.04987220e+03,5.19470187e+02
53219.04513889,0.95830315,3.48246986,-0.45482970,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.20924077e+04,1.01779738e+04,2.55888934e+03,1.33126110e+03,1.11003479e+03,6.86522506e+02,4.66346595e+02
53219.04583333,0.94178538,3.50440812,-0.44199272,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.24882343e+04,1.02835008e+04,2.58408346e+03,1.34424749e+03,1.12021361e+03,6.92866557e+02,4.71577775e+02
53219.04652778,0.92516057,3.52594833,-0.42910551,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.28832580e+04,1.03888138e+04,2.60922648e+03,1.35720755e+03,1.13037178e+03,6.99197740e+02,4.76798344e+02
53219.04722222,0.90843201,3.54709270,-0.41617011,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.32775031e+04,1.04939191e+04,2.63431994e+03,1.37014206e+03,1.14050993e+03,7.05516443e+02,4.82008623e+02
53219.04791667,0.89160268,3.56784389,-0.40318872,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.36709948e+04,1.05988237e+04,2.65936545e+03,1.38305185e+03,1.15062871e+03,7.11823073e+02,4.87208946e+02
53219.04861111,0.87467557,3.58820395,-0.39016292,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.40637615e+04,1.07035349e+04,2.68436480e+03,1.39593785e+03,1.16072884e+03,7.18118080e+02,4.92399686e+02
53219.04930556,0.85765382,3.60817538,-0.37709505,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.44558143e+04,1.08080559e+04,2.70931873e+03,1.40880044e+03,1.17081061e+03,7.24401647e+02,4.97580992e+02
53219.05000000,0.84054009,3.62776023,-0.36398653,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.48471867e+04,1.09123954e+04,2.73422934e+03,1.42164070e+03,1.18087489e+03,7.30674310e+02,5.02753306e+02
53219.05069444,0.82333736,3.64696086,-0.35083956,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.52378924e+04,1.10165572e+04,2.75909753e+03,1.43445909e+03,1.19092202e+03,7.36936287e+02,5.07916810e+02
53219.05138889,0.80604831,3.66577913,-0.33765586,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.56279460e+04,1.11205452e+04,2.78392420e+03,1.44725609e+03,1.20095239e+03,7.43187812e+02,5.13071695e+02
53219.05208333,0.78867560,3.68421742,-0.32443715,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.60173654e+04,1.12243640e+04,2.80871050e+03,1.46003227e+03,1.21096644e+03,7.49429172e+02,5.18218198e+02
53219.05277778,0.77122206,3.70227775,-0.31118502,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.64061713e+04,1.13280194e+04,2.83345776e+03,1.47278833e+03,1.22096472e+03,7.55660701e+02,5.23356594e+02
53219.05347222,0.75369020,3.71996202,-0.29790134,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.67943721e+04,1.14315134e+04,2.85816651e+03,1.48552454e+03,1.23094744e+03,7.61882531e+02,5.28486994e+02
53219.05416667,0.73608253,3.73727210,-0.28458768,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.71819841e+04,1.15348504e+04,2.88283778e+03,1.49824143e+03,1.24091502e+03,7.68094924e+02,5.33609611e+02
53219.05486111,0.71840156,3.75421020,-0.27124576,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.76130856e+04,1.16512808e+04,2.90817531e+03,1.51173643e+03,1.25158587e+03,7.74754237e+02,5.38195781e+02
53219.05555556,0.70064980,3.77077788,-0.25787701,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.80660527e+04,1.17743039e+04,2.93383442e+03,1.52561852e+03,1.26260767e+03,7.81636655e+02,5.42505148e+02
53219.05625000,0.68282945,3.78697734,-0.24448299,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.85183689e+04,1.18971503e+04,2.95945667e+03,1.53948066e+03,1.27361364e+03,7.88509187e+02,5.46808325e+02
53219.05694444,0.66494302,3.80280999,-0.23106542,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.89700279e+04,1.20198181e+04,2.98504168e+03,1.55332266e+03,1.28460361e+03,7.95371730e+02,5.51105247e+02
53219.05763889,0.64699287,3.81827803,-0.21762557,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.94210477e+04,1.21423123e+04,3.01059048e+03,1.56714507e+03,1.29557803e+03,8.02224563e+02,5.55396090e+02
53219.05833333,0.62898120,3.83338288,-0.20416515,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.98714160e+04,1.22646296e+04,3.03610238e+03,1.58094752e+03,1.30653660e+03,8.09067496e+02,5.59680733e+02
53219.05902778,0.61091019,3.84812641,-0.19068527,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.03211553e+04,1.23867761e+04,3.06157865e+03,1.59473068e+03,1.31747986e+03,8.15900873e+02,5.63959394e+02
53219.05972222,0.59278205,3.86251020,-0.17718781,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.07702493e+04,1.25087473e+04,3.08701837e+03,1.60849407e+03,1.32840742e+03,8.22724444e+02,5.68231914e+02
