# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Diff.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.05972222,0.59278205,3.86251020,-0.17718781,3.56000000e+05,2.63000000e+05,4.97500000e+04,8.18750000e+03,2.01171899e+03,5.00976980e+02,1.29639000e+02,1.76700000e+01,2.14800006e+00,8.92999989e-01
53219.06041667,0.57459898,3.87653597,-0.16367372,3.56000000e+05,2.63000000e+05,4.97500000e+04,8.18750000e+03,2.01171899e+03,5.00976980e+02,1.29639000e+02,1.76700000e+01,2.14800006e+00,8.92999989e-01
53219.06111111,0.55636317,3.89020514,-0.15014471,3.56000000e+05,2.63000000e+05,4.97500000e+04,8.18750000e+03,2.01171899e+03,5.00976980e+02,1.29639000e+02,1.76700000e+01,2.14800006e+00,8.92999989e-01
53219.06180556,0.53807650,3.90351943,-0.13660190,3.56000000e+05,2.63000000e+05,4.97500000e+04,8.18750000e+03,2.01171899e+03,5.00976980e+02,1.29639000e+02,1.76700000e+01,2.14800006e+00,8.92999989e-01
53219.06250000,0.51974102,3.91648041,-0.12304668,3.56000000e+05,2.63000000e+05,4.97500000e+04,8.18750000e+03,2.01171899e+03,5.00976980e+02,1.29639000e+02,1.76700000e+01,2.14800006e+00,8.92999989e-01
53219.06319444,0.50135893,3.92908934,-0.10948047,4.58000000e+05,3.27500000e+05,5.56875000e+04,8.50000000e+03,2.02734399e+03,4.99511987e+02,1.26953006e+02,1.63269993e+01,2.09400011e+00,9.07999987e-01
53219.06388889,0.48293210,3.94134794,-0.09590454,4.58000000e+05,3.27500000e+05,5.56875000e+04,8.50000000e+03,2.02734399e+03,4.99511987e+02,1.26953006e+02,1.63269993e+01,2.09400011e+00,9.07999987e-01
53219.06458333,0.46446258,3.95325747,-0.08232013,4.58000000e+05,3.27500000e+05,5.56875000e+04,8.50000000e+03,2.02734399e+03,4.99511987e+02,1.26953006e+02,1.63269993e+01,2.09400011e+00,9.07999987e-01
53219.06527778,0.44595210,3.96481934,-0.06872834,4.58000000e+05,3.27500000e+05,5.56875000e+04,8.50000000e+03,2.02734399e+03,4.99511987e+02,1.26953006e+02,1.63269993e+01,2.09400011e+00,9.07999987e-01
53219.06597222,0.42740284,3.97603497,-0.05513059,4.65000000e+05,3.33000000e+05,5.68125000e+04,8.70312500e+03,2.07812500e+03,5.13671994e+02,1.31104007e+02,1.68760009e+01,2.18200008e+00,9.52999981e-01
53219.06666667,0.40881639,3.98690561,-0.04152813,4.65000000e+05,3.33000000e+05,5.68125000e+04,8.70312500e+03,2.07812500e+03,5.13671994e+02,1.31104007e+02,1.68760009e+01,2.18200008e+00,9.52999981e-01
53219.06736111,0.39019463,3.99743267,-0.02792206,4.65000000e+05,3.33000000e+05,5.68125000e+04,8.70312500e+03,2.07812500e+03,5.13671994e+02,1.31104007e+02,1.68760009e+01,2.18200008e+00,9.52999981e-01
