# Legacy Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Intg.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.03958333,1.08618785,3.29232703,-0.55545298,4.13888672e+07,2.29680684e+07,5.28966846e+06,1.28166833e+06,3.74268372e+05,1.23568359e+05,4.85433617e+04,1.67933598e+04,4.27988338e+03,1.09570312e+03
53219.04027778,1.07064964,3.31754285,-0.54309832,4.13888672e+07,2.29680684e+07,5.28966846e+06,1.28166833e+06,3.74268372e+05,1.23568359e+05,4.85433617e+04,1.67933598e+04,4.27988338e+03,1.09570312e+03
53219.04097222,1.05497614,3.34233943,-0.53067491,4.04077930e+07,2.24061934e+07,5.13139355e+06,1.22539331e+06,3.53593353e+05,1.15343361e+05,4.51183624e+04,1.56808605e+04,4.07265711e+03,1.06347692e+03
53219.04166667,1.03917111,3.36671961,-0.51818543,4.04077930e+07,2.24061934e+07,5.13139355e+06,1.22539331e+06,3.53593353e+05,1.15343361e+05,4.51183624e+04,1.56808605e+04,4.07265711e+03,1.06347692e+03
53219.04236111,1.02323848,3.39068621,-0.50563222,4.04077930e+07,2.24061934e+07,5.13139355e+06,1.22539331e+06,3.53593353e+05,1.15343361e+05,4.51183624e+04,1.56808605e+04,4.07265711e+03,1.06347692e+03
53219.04305556,1.00718185,3.41424190,-0.49301780,4.04077930e+07,2.24061934e+07,5.13139355e+06,1.22539331e+06,3.53593353e+05,1.15343361e+05,4.51183624e+04,1.56808605e+04,4.07265711e+03,1.06347692e+03
53219.04375000,0.99100483,3.43738935,-0.48034436,4.04077930e+07,2.24061934e+07,5.13139355e+06,1.22539331e+06,3.53593353e+05,1.15343361e+05,4.51183624e+04,1.56808605e+04,4.07265711e+03,1.06347692e+03
53219.04444444,0.97471073,3.46013122,-0.46761426,4.04077930e+07,2.24061934e+07,5.13139355e+06,1.22539331e+06,3.53593353e+05,1.15343361e+05,4.51183624e+04,1.56808605e+04,4.07265711e+03,1.06347692e+03
53219.04513889,0.95830315,3.48246986,-0.45482970,4.04077930e+07,2.24061934e+07,5.13139355e+06,1.22539331e+06,3.53593353e+05,1.15343361e+05,4.51183624e+04,1.56808605e+04,4.07265711e+03,1.06347692e+03
53219.04583333,0.94178538,3.50440812,-0.44199272,4.04689258e+07,2.24945254e+07,5.13492578e+06,1.21852612e+06,3.50726074e+05,1.13176079e+05,4.42260742e+04,1.55760746e+04,4.15712929e+03,1.09409189e+03
53219.04652778,0.92516057,3.52594833,-0.42910551,4.04689258e+07,2.24945254e+07,5.13492578e+06,1.21852612e+06,3.50726074e+05,1.13176079e+05,4.42260742e+04,1.55760746e+04,4.15712929e+03,1.09409189e+03
53219.04722222,0.90843201,3.54709270,-0.41617011,4.04689258e+07,2.24945254e+07,5.13492578e+06,1.21852612e+06,3.50726074e+05,1.13176079e+05,4.42260742e+04,1.55760746e+04,4.15712929e+03,1.09409189e+03
