# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpochSa_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.02083333,1.43685460,2.44106636,-0.85146738,6.48633089e+10,3.46004604e+10,7.16385228e+09,1.70210052e+09,5.14808513e+08,1.67156504e+08,6.32410040e+07,2.18383779e+07,5.71698683e+06,1.41336045e+06
53219.02152778,1.42694265,2.47889157,-0.84226174,6.71130217e+10,3.58240291e+10,7.43349286e+09,1.76738110e+09,5.34417094e+08,1.73448085e+08,6.56025846e+07,2.26534581e+07,5.92640681e+06,1.46199034e+06
53219.02222222,1.41673201,2.51619773,-0.83287968,6.94128119e+10,3.70772272e+10,7.71107908e+09,1.83485935e+09,5.54759349e+08,1.80003840e+08,6.80745904e+07,2.35110890e+07,6.14857672e+06,1.51390732e+06
53219.02291667,1.40623164,2.55298955,-0.82332732,7.17626799e+10,3.83600552e+10,7.99661101e+09,1.90453529e+09,5.75835282e+08,1.86823772e+08,7.06570223e+07,2.44112707e+07,6.38349663e+06,1.56911141e+06
53219.02361111,1.39545046,2.58927141,-0.81361047,7.41125477e+10,3.96428830e+10,8.28214291e+09,1.97421121e+09,5.96911213e+08,1.93643704e+08,7.32394538e+07,2.53114522e+07,6.61841652e+06,1.62431549e+06
53219.02430556,1.38439666,2.62504771,-0.80373478,7.64624158e+10,4.09257110e+10,8.56767484e+09,2.04388715e+09,6.17987147e+08,2.00463636e+08,7.58218856e+07,2.62116339e+07,6.85333643e+06,1.67951957e+06
53219.02500000,1.37307870,2.66032286,-0.79370542,7.87821295e+10,4.21928329e+10,8.85059277e+09,2.11276110e+09,6.38657099e+08,2.07152089e+08,7.83590887e+07,2.70894620e+07,7.07880518e+06,1.73288676e+06
53219.02569444,1.36150411,2.69510108,-0.78352791,8.10716893e+10,4.34442488e+10,9.13089673e+09,2.18083307e+09,6.58921072e+08,2.13709063e+08,8.08510633e+07,2.79449367e+07,7.29482280e+06,1.78441704e+06
53219.02638889,1.34968075,2.72938677,-0.77320693,8.33976064e+10,4.47173338e+10,9.41689759e+09,2.25046192e+09,6.79697914e+08,2.20450403e+08,8.34201534e+07,2.88299016e+07,7.51937166e+06,1.83817095e+06
53219.02708333,1.33761568,2.76318386,-0.76274752,8.57598800e+10,4.60120874e+10,9.70859528e+09,2.32164762e+09,7.00987618e+08,2.27376108e+08,8.60663582e+07,2.97443567e+07,7.75245168e+06,1.89414847e+06
53219.02777778,1.32531611,2.79649642,-0.75215438,8.81221541e+10,4.73068412e+10,1.00002930e+10,2.39283334e+09,7.22277326e+08,2.34301813e+08,8.87125634e+07,3.06588118e+07,7.98553175e+06,1.95012599e+06
53219.02847222,1.31278896,2.82932870,-0.74143207,9.04844277e+10,4.86015948e+10,1.02919907e+10,2.46401904e+09,7.43567030e+08,2.41227517e+08,9.13587682e+07,3.15732668e+07,8.21861177e+06,2.00610351e+06
53219.02916667,1.30004065,2.86168446,-0.73058466,9.28150589e+10,4.98814579e+10,1.05807377e+10,2.53413799e+09,7.64323968e+08,2.47983453e+08,9.39484539e+07,3.24615775e+07,8.44174848e+06,2.06014744e+06
53219.02986111,1.28707747,2.89356762,-0.71961671,9.51140469e+10,5.11464299e+10,1.08665338e+10,2.60319015e+09,7.84548132e+08,2.54569619e+08,9.64816197e+07,3.33237434e+07,8.65494180e+06,2.11225777e+06
53219.03055556,1.27390601,2.92498195,-0.70853199,9.74130352e+10,5.24114022e+10,1.11523300e+10,2.67224233e+09,8.04772299e+08,2.61155785e+08,9.90147859e+07,3.41859095e+07,8.86813514e+06,2.16436811e+06
53219.03125000,1.26053177,2.95593122,-0.69733473,9.97120232e+10,5.36763742e+10,1.14381262e+10,2.74129449e+09,8.24996464e+08,2.67741951e+08,1.01547952e+08,3.50480754e+07,9.08132846e+06,2.21647844e+06
53219.03194444,1.24696101,2.98641920,-0.68602853,1.02059141e+11,5.49702758e+10,1.17317078e+10,2.81249214e+09,8.45920109e+08,2.74583597e+08,1.04190348e+08,3.59515969e+07,9.30667415e+06,2.27187589e+06
53219.03263889,1.23319893,3.01644949,-0.67461718,1.04454388e+11,5.62931070e+10,1.20330749e+10,2.88583528e+09,8.67543239e+08,2.81680725e+08,1.06941975e+08,3.68964740e+07,9.54417223e+06,2.33056047e+06
53219.03333333,1.21925132,3.04602571,-0.66310412,1.06849635e+11,5.76159381e+10,1.23344420e+10,2.95917840e+09,8.89166366e+08,2.88777851e+08,1.09693602e+08,3.78413510e+07,9.78167028e+06,2.38924504e+06
53219.03402778,1.20512321,3.07515099,-0.65149297,1.09218023e+11,5.89238141e+10,1.26321820e+10,3.03112638e+09,9.10186337e+08,2.95660321e+08,1.12365571e+08,3.87568198e+07,1.00108891e+07,2.44647942e+06
53219.03472222,1.19081978,3.10382911,-0.63978701,1.11559552e+11,6.02167348e+10,1.29262947e+10,3.10167919e+09,9.30603146e+08,3.02328131e+08,1.14957882e+08,3.96428803e+07,1.02318285e+07,2.50226359e+06
53219.03541667,1.17634606,3.13206335,-0.62798955,1.13901081e+11,6.15096557e+10,1.32204076e+10,3.17223201e+09,9.51019959e+08,3.08995943e+08,1.17550193e+08,4.05289409e+07,1.04527680e+07,2.55804776e+06
53219.03611111,1.16170690,3.15985701,-0.61610356,1.16282308e+11,6.28264349e+10,1.35210148e+10,3.24456329e+09,9.72003244e+08,3.15871729e+08,1.20231979e+08,4.14489770e+07,1.06837006e+07,2.61658730e+06
53219.03680556,1.14690686,3.18721324,-0.60413250,1.18703234e+11,6.41670728e+10,1.38281166e+10,3.31867306e+09,9.93553007e+08,3.22955491e+08,1.23003240e+08,4.24029887e+07,1.09246263e+07,2.67788221e+06
53219.03750000,1.13195050,3.21413533,-0.59207889,1.21124159e+11,6.55077105e+10,1.41352184e+10,3.39278282e+09,1.01510277e+09,3.30039253e+08,1.25774502e+08,4.33570004e+07,1.11655521e+07,2.73917711e+06
53219.03819444,1.11684235,3.24062626,-0.57994601,1.23545085e+11,6.68483482e+10,1.44423201e+10,3.46689258e+09,1.03665253e+09,3.37123014e+08,1.28545763e+08,4.43110120e+07,1.14064779e+07,2.80047201e+06
53219.03888889,1.10158683,3.26668916,-0.56773638,1.25936618e+11,6.81721694e+10,1.47447132e+10,3.53935369e+09,1.05760963e+09,3.43971118e+08,1.31218617e+08,4.52329906e+07,1.16415794e+07,2.86089682e+06
53219.03958333,1.08618785,3.29232703,-0.55545298,1.28298758e+11,6.94791738e+10,1.50423977e+10,3.61016613e+09,1.07797408e+09,3.50583563e+08,1.33793062e+08,4.61229359e+07,1.18708568e+07,2.92045150e+06
53219.04027778,1.07064964,3.31754285,-0.54309832,1.30660899e+11,7.07861784e+10,1.53400821e+10,3.68097858e+09,1.09833853e+09,3.57196009e+08,1.36367508e+08,4.70128813e+07,1.21001342e+07,2.98000619e+06
53219.04097222,1.05497614,3.34233943,-0.53067491,1.33023039e+11,7.20931828e+10,1.56377665e+10,3.75179102e+09,1.11870297e+09,3.63808454e+08,1.38941953e+08,4.79028266e+07,1.23294115e+07,3.03956087e+06
53219.04166667,1.03917111,3.36671961,-0.51818543,1.35416344e+11,7.34188710e+10,1.59405506e+10,3.82395905e+09,1.13949300e+09,3.70574977e+08,1.41582726e+08,4.88182251e+07,1.25662299e+07,3.10124252e+06
53219.04236111,1.02323848,3.39068621,-0.50563222,1.37840811e+11,7.47632425e+10,1.62484342e+10,3.89748264e+09,1.16070860e+09,3.77495579e+08,1.44289828e+08,4.97590767e+07,1.28105893e+07,3.16505113e+06
53219.04305556,1.00718185,3.41424190,-0.49301780,1.40265279e+11,7.61076142e+10,1.65563178e+10,3.97100624e+09,1.18192420e+09,3.84416181e+08,1.46996930e+08,5.06999284e+07,1.30549488e+07,3.22885976e+06
53219.04375000,0.99100483,3.43738935,-0.48034436,1.42654991e+11,7.74323981e+10,1.68583538e+10,4.04275024e+09,1.20254820e+09,3.91090182e+08,1.49598431e+08,5.16068044e+07,1.32923443e+07,3.29087978e+06
