# Legacy Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Diff.CRRESPRO.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Active
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.02361111,1.39545046,2.58927141,-0.81361047,4.68301953e+04,6.28713232e+03,2.25485425e+03,6.01801147e+02,1.38494278e+02,3.17101746e+01,1.87233698e+00,3.49458599e+00,1.08224797e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02430556,1.38439666,2.62504771,-0.80373478,3.74687422e+04,5.22011719e+03,1.85505432e+03,4.66071564e+02,1.17706055e+02,2.76532822e+01,8.24580014e-01,3.23263788e+00,7.08029985e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02500000,1.37307870,2.66032286,-0.79370542,4.51988047e+04,6.17521631e+03,2.17703638e+03,5.65275940e+02,1.33973663e+02,3.25088501e+01,1.41939497e+00,3.47220898e+00,8.76195014e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02569444,1.36150411,2.69510108,-0.78352791,4.51988047e+04,6.17521631e+03,2.17703638e+03,5.65275940e+02,1.33973663e+02,3.25088501e+01,1.41939497e+00,3.47220898e+00,8.76195014e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02638889,1.34968075,2.72938677,-0.77320693,4.51988047e+04,6.17521631e+03,2.17703638e+03,5.65275940e+02,1.33973663e+02,3.25088501e+01,1.41939497e+00,3.47220898e+00,8.76195014e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02708333,1.33761568,2.76318386,-0.76274752,4.51988047e+04,6.17521631e+03,2.17703638e+03,5.65275940e+02,1.33973663e+02,3.25088501e+01,1.41939497e+00,3.47220898e+00,8.76195014e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02777778,1.32531611,2.79649642,-0.75215438,3.59135625e+04,4.63843115e+03,1.58501880e+03,4.37620026e+02,1.06080467e+02,2.45698853e+01,0.00000000e+00,3.13782501e+00,8.27383995e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02847222,1.31278896,2.82932870,-0.74143207,3.59135625e+04,4.63843115e+03,1.58501880e+03,4.37620026e+02,1.06080467e+02,2.45698853e+01,0.00000000e+00,3.13782501e+00,8.27383995e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02916667,1.30004065,2.86168446,-0.73058466,3.59135625e+04,4.63843115e+03,1.58501880e+03,4.37620026e+02,1.06080467e+02,2.45698853e+01,0.00000000e+00,3.13782501e+00,8.27383995e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02986111,1.28707747,2.89356762,-0.71961671,5.16917812e+04,6.90854883e+03,2.30843628e+03,6.32882141e+02,1.42134857e+02,3.20386086e+01,2.12998891e+00,3.50029707e+00,9.97363985e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03055556,1.27390601,2.92498195,-0.70853199,5.16917812e+04,6.90854883e+03,2.30843628e+03,6.32882141e+02,1.42134857e+02,3.20386086e+01,2.12998891e+00,3.50029707e+00,9.97363985e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03125000,1.26053177,2.95593122,-0.69733473,5.16917812e+04,6.90854883e+03,2.30843628e+03,6.32882141e+02,1.42134857e+02,3.20386086e+01,2.12998891e+00,3.50029707e+00,9.97363985e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03194444,1.24696101,2.98641920,-0.68602853,4.07933125e+04,5.58581641e+03,1.90164990e+03,4.73178314e+02,1.02551208e+02,2.57538414e+01,1.44467402e+00,2.89830804e+00,7.77980983e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03263889,1.23319893,3.01644949,-0.67461718,4.07933125e+04,5.58581641e+03,1.90164990e+03,4.73178314e+02,1.02551208e+02,2.57538414e+01,1.44467402e+00,2.89830804e+00,7.77980983e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03333333,1.21925132,3.04602571,-0.66310412,4.07933125e+04,5.58581641e+03,1.90164990e+03,4.73178314e+02,1.02551208e+02,2.57538414e+01,1.44467402e+00,2.89830804e+00,7.77980983e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03402778,1.20512321,3.07515099,-0.65149297,4.07933125e+04,5.58581641e+03,1.90164990e+03,4.73178314e+02,1.02551208e+02,2.57538414e+01,1.44467402e+00,2.89830804e+00,7.77980983e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03472222,1.19081978,3.10382911,-0.63978701,5.60418867e+04,7.50302686e+03,2.53908472e+03,6.23305298e+02,1.32351547e+02,3.24963341e+01,1.84370196e+00,3.28250408e+00,9.06018019e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03541667,1.17634606,3.13206335,-0.62798955,5.60418867e+04,7.50302686e+03,2.53908472e+03,6.23305298e+02,1.32351547e+02,3.24963341e+01,1.84370196e+00,3.28250408e+00,9.06018019e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03611111,1.16170690,3.15985701,-0.61610356,4.58474766e+04,5.67036182e+03,1.93898364e+03,4.96896667e+02,1.09177391e+02,1.97283726e+01,6.92755997e-01,2.64460492e+00,8.62684011e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03680556,1.14690686,3.18721324,-0.60413250,4.58474766e+04,5.67036182e+03,1.93898364e+03,4.96896667e+02,1.09177391e+02,1.97283726e+01,6.92755997e-01,2.64460492e+00,8.62684011e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03750000,1.13195050,3.21413533,-0.59207889,4.58474766e+04,5.67036182e+03,1.93898364e+03,4.96896667e+02,1.09177391e+02,1.97283726e+01,6.92755997e-01,2.64460492e+00,8.62684011e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03819444,1.11684235,3.24062626,-0.57994601,4.58474766e+04,5.67036182e+03,1.93898364e+03,4.96896667e+02,1.09177391e+02,1.97283726e+01,6.92755997e-01,2.64460492e+00,8.62684011e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
