# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpoch_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.02083333,1.43685460,2.44106636,-0.85146738,1.00162560e+11,1.06210560e+11,2.04945600e+10,4.63427999e+09,1.37523000e+09,3.85087499e+08,1.44390000e+08,3.43696874e+07,7.11351600e+06,1.79727540e+06
53219.02152778,1.42694265,2.47889157,-0.84226174,1.03547520e+11,1.09818240e+11,2.12515200e+10,4.81104001e+09,1.42803000e+09,3.99720000e+08,1.49745000e+08,3.56240625e+07,7.38539105e+06,1.85891604e+06
53219.02222222,1.41673201,2.51619773,-0.83287968,1.06940160e+11,1.13441280e+11,2.20238400e+10,4.99271999e+09,1.48203000e+09,4.14652500e+08,1.55231250e+08,3.69168750e+07,7.66382856e+06,1.92184572e+06
53219.02291667,1.40623164,2.55298955,-0.82332732,1.10396160e+11,1.17139200e+11,2.28168000e+10,5.17992001e+09,1.53783000e+09,4.30132501e+08,1.60938750e+08,3.82687501e+07,7.95679736e+06,1.98875976e+06
53219.02361111,1.39545046,2.58927141,-0.81361047,1.13852160e+11,1.20837120e+11,2.36097600e+10,5.36712000e+09,1.59363000e+09,4.45612500e+08,1.66646250e+08,3.96206250e+07,8.24976612e+06,2.05567380e+06
53219.02430556,1.38439666,2.62504771,-0.80373478,1.17308160e+11,1.24535040e+11,2.44027200e+10,5.55432001e+09,1.64943000e+09,4.61092501e+08,1.72353750e+08,4.09725001e+07,8.54273492e+06,2.12258785e+06
53219.02500000,1.37307870,2.66032286,-0.79370542,1.20764160e+11,1.28232960e+11,2.51956800e+10,5.74152000e+09,1.70523000e+09,4.76572500e+08,1.78061250e+08,4.23243750e+07,8.83570368e+06,2.18950188e+06
53219.02569444,1.36150411,2.69510108,-0.78352791,1.24176000e+11,1.31877120e+11,2.59814399e+10,5.92775999e+09,1.76001000e+09,4.91699999e+08,1.83690000e+08,4.36584374e+07,9.11507869e+06,2.25418938e+06
53219.02638889,1.34968075,2.72938677,-0.77320693,1.27587840e+11,1.35523200e+11,2.67748800e+10,6.11700000e+09,1.81503000e+09,5.06857500e+08,1.89393750e+08,4.50168750e+07,9.39046936e+06,2.31934563e+06
53219.02708333,1.33761568,2.76318386,-0.76274752,1.31043840e+11,1.39224960e+11,2.75832000e+10,6.31019999e+09,1.87131000e+09,5.22397499e+08,1.95251250e+08,4.64174999e+07,9.67546934e+06,2.38719717e+06
53219.02777778,1.32531611,2.79649642,-0.75215438,1.34499840e+11,1.42926720e+11,2.83915200e+10,6.50340001e+09,1.92759000e+09,5.37937501e+08,2.01108750e+08,4.78181251e+07,9.96046936e+06,2.45504872e+06
53219.02847222,1.31278896,2.82932870,-0.74143207,1.37955840e+11,1.46628480e+11,2.91998400e+10,6.69659999e+09,1.98387000e+09,5.53477499e+08,2.06966250e+08,4.92187500e+07,1.02454693e+07,2.52290025e+06
53219.02916667,1.30004065,2.86168446,-0.73058466,1.41411840e+11,1.50330240e+11,3.00081600e+10,6.88980001e+09,2.04015000e+09,5.69017501e+08,2.12823750e+08,5.06193751e+07,1.05304694e+07,2.59075180e+06
53219.02986111,1.28707747,2.89356762,-0.71961671,1.44806400e+11,1.53984000e+11,3.08092800e+10,7.08168000e+09,2.09508000e+09,5.84092500e+08,2.18580000e+08,5.19946875e+07,1.08011725e+07,2.65625959e+06
53219.03055556,1.27390601,2.92498195,-0.70853199,1.48139520e+11,1.57589760e+11,3.16032000e+10,7.27224001e+09,2.14866000e+09,5.98702501e+08,2.24235000e+08,5.33446876e+07,1.10575788e+07,2.71942363e+06
53219.03125000,1.26053177,2.95593122,-0.69733473,1.51530240e+11,1.61268480e+11,3.24172800e+10,7.46832000e+09,2.20395000e+09,6.13822500e+08,2.30111250e+08,5.47537500e+07,1.13271100e+07,2.78657206e+06
