# Irene Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Diff.CRRESPRO.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Active
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.01388889,1.51726880,2.03324350,-0.93229988,3.84570875e+07,6.06448933e+06,2.37845884e+06,8.04966071e+05,1.97682937e+05,5.67650748e+04,9.02051414e+03,4.93350849e+03,1.54484876e+03,1.48373988e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,4.07122242e+07,6.40390694e+06,2.50403672e+06,8.41678595e+05,2.06611909e+05,5.89157645e+04,9.35309502e+03,5.14057359e+03,1.60891729e+03,1.48373988e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,4.29673612e+07,6.74332459e+06,2.62961463e+06,8.78391123e+05,2.15540882e+05,6.10664544e+04,9.68567594e+03,5.34763871e+03,1.67298584e+03,1.48373988e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,4.52224978e+07,7.08274220e+06,2.75519251e+06,9.15103647e+05,2.24469854e+05,6.32171441e+04,1.00182568e+04,5.55470380e+03,1.73705437e+03,1.48373988e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,4.75641173e+07,7.42283144e+06,2.87791403e+06,9.51518652e+05,2.32989326e+05,6.54286689e+04,1.02370403e+04,5.76641577e+03,1.79872192e+03,1.48373988e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,4.99922190e+07,7.76359222e+06,2.99777915e+06,9.87636131e+05,2.41099297e+05,6.77010282e+04,1.03420264e+04,5.98277455e+03,1.85798848e+03,1.48373988e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,5.24203209e+07,8.10435305e+06,3.11764429e+06,1.02375361e+06,2.49209268e+05,6.99733878e+04,1.04470125e+04,6.19913336e+03,1.91725504e+03,1.48373988e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,5.48484226e+07,8.44511383e+06,3.23750942e+06,1.05987109e+06,2.57319239e+05,7.22457472e+04,1.05519986e+04,6.41549214e+03,1.97652160e+03,1.48373988e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,5.72765242e+07,8.78587461e+06,3.35737454e+06,1.09598857e+06,2.65429209e+05,7.45181065e+04,1.06569846e+04,6.63185092e+03,2.03578815e+03,1.48373988e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02013889,1.44645844,2.40271786,-0.86049017,5.95086008e+07,9.09214840e+06,3.46633468e+06,1.12778718e+06,2.72757692e+05,7.63811045e+04,1.07094777e+04,6.83117550e+03,2.09445112e+03,1.48373988e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02083333,1.43685460,2.44106636,-0.85146738,6.19315320e+07,9.41665571e+06,3.58300786e+06,1.15958107e+06,2.80186017e+05,7.80592278e+04,1.07656478e+04,7.02715822e+03,2.15594823e+03,1.48373988e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
