# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Intg.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.02361111,1.39545046,2.58927141,-0.81361047,3.21819077e+04,2.21358166e+04,7.04909706e+03,1.51706588e+03,4.27612722e+02,1.18237704e+02,3.54495011e+01,8.92350078e+00,1.97044993e+00,4.32299974e-01
53219.02430556,1.38439666,2.62504771,-0.80373478,3.21819077e+04,2.21358166e+04,7.04909706e+03,1.51706588e+03,4.27612722e+02,1.18237704e+02,3.54495011e+01,8.92350078e+00,1.97044993e+00,4.32299974e-01
53219.02500000,1.37307870,2.66032286,-0.79370542,4.12495384e+04,2.68854752e+04,7.63703632e+03,1.56047404e+03,4.44458455e+02,1.21606849e+02,3.48148495e+01,8.49024951e+00,1.80314993e+00,4.29825013e-01
53219.02569444,1.36150411,2.69510108,-0.78352791,4.12495384e+04,2.68854752e+04,7.63703632e+03,1.56047404e+03,4.44458455e+02,1.21606849e+02,3.48148495e+01,8.49024951e+00,1.80314993e+00,4.29825013e-01
53219.02638889,1.34968075,2.72938677,-0.77320693,4.26151161e+04,2.78385544e+04,7.94324064e+03,1.63230312e+03,4.66678113e+02,1.28299102e+02,3.69171016e+01,9.06050019e+00,1.94540003e+00,4.66950005e-01
53219.02708333,1.33761568,2.76318386,-0.76274752,4.26151161e+04,2.78385544e+04,7.94324064e+03,1.63230312e+03,4.66678113e+02,1.28299102e+02,3.69171016e+01,9.06050019e+00,1.94540003e+00,4.66950005e-01
53219.02777778,1.32531611,2.79649642,-0.75215438,4.26151161e+04,2.78385544e+04,7.94324064e+03,1.63230312e+03,4.66678113e+02,1.28299102e+02,3.69171016e+01,9.06050019e+00,1.94540003e+00,4.66950005e-01
53219.02847222,1.31278896,2.82932870,-0.74143207,4.26151161e+04,2.78385544e+04,7.94324064e+03,1.63230312e+03,4.66678113e+02,1.28299102e+02,3.69171016e+01,9.06050019e+00,1.94540003e+00,4.66950005e-01
53219.02916667,1.30004065,2.86168446,-0.73058466,5.19169846e+04,3.20888596e+04,8.61464214e+03,1.66854858e+03,4.84173566e+02,1.31927550e+02,3.62245515e+01,8.64895061e+00,1.79132505e+00,4.63649980e-01
53219.02986111,1.28707747,2.89356762,-0.71961671,5.19169846e+04,3.20888596e+04,8.61464214e+03,1.66854858e+03,4.84173566e+02,1.31927550e+02,3.62245515e+01,8.64895061e+00,1.79132505e+00,4.63649980e-01
53219.03055556,1.27390601,2.92498195,-0.70853199,5.19169846e+04,3.20888596e+04,8.61464214e+03,1.66854858e+03,4.84173566e+02,1.31927550e+02,3.62245515e+01,8.64895061e+00,1.79132505e+00,4.63649980e-01
53219.03125000,1.26053177,2.95593122,-0.69733473,5.19169846e+04,3.20888596e+04,8.61464214e+03,1.66854858e+03,4.84173566e+02,1.31927550e+02,3.62245515e+01,8.64895061e+00,1.79132505e+00,4.63649980e-01
53219.03194444,1.24696101,2.98641920,-0.68602853,5.41049004e+04,3.35564613e+04,9.07052422e+03,1.77052414e+03,5.17008364e+02,1.41910553e+02,3.92493494e+01,9.46434960e+00,1.99437491e+00,5.21399954e-01
53219.03263889,1.23319893,3.01644949,-0.67461718,5.41049004e+04,3.35564613e+04,9.07052422e+03,1.77052414e+03,5.17008364e+02,1.41910553e+02,3.92493494e+01,9.46434960e+00,1.99437491e+00,5.21399954e-01
53219.03333333,1.21925132,3.04602571,-0.66310412,5.41049004e+04,3.35564613e+04,9.07052422e+03,1.77052414e+03,5.17008364e+02,1.41910553e+02,3.92493494e+01,9.46434960e+00,1.99437491e+00,5.21399954e-01
53219.03402778,1.20512321,3.07515099,-0.65149297,6.78036499e+04,3.93536491e+04,9.77708435e+03,1.89739704e+03,5.32162547e+02,1.43685907e+02,3.82902995e+01,9.11550038e+00,1.87929999e+00,5.19750000e-01
53219.03472222,1.19081978,3.10382911,-0.63978701,6.78036499e+04,3.93536491e+04,9.77708435e+03,1.89739704e+03,5.32162547e+02,1.43685907e+02,3.82902995e+01,9.11550038e+00,1.87929999e+00,5.19750000e-01
53219.03541667,1.17634606,3.13206335,-0.62798955,6.78036499e+04,3.93536491e+04,9.77708435e+03,1.89739704e+03,5.32162547e+02,1.43685907e+02,3.82902995e+01,9.11550038e+00,1.87929999e+00,5.19750000e-01
53219.03611111,1.16170690,3.15985701,-0.61610356,7.01490326e+04,4.08334045e+04,1.02005930e+04,1.99121749e+03,5.61529815e+02,1.52350202e+02,4.08512019e+01,9.80880018e+00,2.05129990e+00,5.70899982e-01
53219.03680556,1.14690686,3.18721324,-0.60413250,7.01490326e+04,4.08334045e+04,1.02005930e+04,1.99121749e+03,5.61529815e+02,1.52350202e+02,4.08512019e+01,9.80880018e+00,2.05129990e+00,5.70899982e-01
53219.03750000,1.13195050,3.21413533,-0.59207889,7.01490326e+04,4.08334045e+04,1.02005930e+04,1.99121749e+03,5.61529815e+02,1.52350202e+02,4.08512019e+01,9.80880018e+00,2.05129990e+00,5.70899982e-01
53219.03819444,1.11684235,3.24062626,-0.57994601,7.01490326e+04,4.08334045e+04,1.02005930e+04,1.99121749e+03,5.61529815e+02,1.52350202e+02,4.08512019e+01,9.80880018e+00,2.05129990e+00,5.70899982e-01
53219.03888889,1.10158683,3.26668916,-0.56773638,8.78599243e+04,4.84536705e+04,1.08349218e+04,2.06929660e+03,5.66171587e+02,1.48886353e+02,3.93647514e+01,9.32315085e+00,1.95322512e+00,5.69250027e-01
53219.03958333,1.08618785,3.29232703,-0.55545298,8.78599243e+04,4.84536705e+04,1.08349218e+04,2.06929660e+03,5.66171587e+02,1.48886353e+02,3.93647514e+01,9.32315085e+00,1.95322512e+00,5.69250027e-01
53219.04027778,1.07064964,3.31754285,-0.54309832,8.78599243e+04,4.84536705e+04,1.08349218e+04,2.06929660e+03,5.66171587e+02,1.48886353e+02,3.93647514e+01,9.32315085e+00,1.95322512e+00,5.69250027e-01
53219.04097222,1.05497614,3.34233943,-0.53067491,8.78599243e+04,4.84536705e+04,1.08349218e+04,2.06929660e+03,5.66171587e+02,1.48886353e+02,3.93647514e+01,9.32315085e+00,1.95322512e+00,5.69250027e-01
53219.04166667,1.03917111,3.36671961,-0.51818543,9.01459961e+04,4.98084908e+04,1.11944284e+04,2.14755321e+03,5.89350045e+02,1.55561045e+02,4.13276479e+01,9.84585006e+00,2.08502496e+00,6.10499992e-01
53219.04236111,1.02323848,3.39068621,-0.50563222,9.01459961e+04,4.98084908e+04,1.11944284e+04,2.14755321e+03,5.89350045e+02,1.55561045e+02,4.13276479e+01,9.84585006e+00,2.08502496e+00,6.10499992e-01
53219.04305556,1.00718185,3.41424190,-0.49301780,9.01459961e+04,4.98084908e+04,1.11944284e+04,2.14755321e+03,5.89350045e+02,1.55561045e+02,4.13276479e+01,9.84585006e+00,2.08502496e+00,6.10499992e-01
53219.04375000,0.99100483,3.43738935,-0.48034436,1.10142342e+05,5.74860916e+04,1.24626532e+04,2.35015345e+03,5.92340767e+02,1.52887553e+02,3.96061502e+01,9.32035036e+00,2.03527510e+00,6.03900000e-01
53219.04444444,0.97471073,3.46013122,-0.46761426,1.10142342e+05,5.74860916e+04,1.24626532e+04,2.35015345e+03,5.92340767e+02,1.52887553e+02,3.96061502e+01,9.32035036e+00,2.03527510e+00,6.03900000e-01
53219.04513889,0.95830315,3.48246986,-0.45482970,1.10142342e+05,5.74860916e+04,1.24626532e+04,2.35015345e+03,5.92340767e+02,1.52887553e+02,3.96061502e+01,9.32035036e+00,2.03527510e+00,6.03900000e-01
53219.04583333,0.94178538,3.50440812,-0.44199272,1.10142342e+05,5.74860916e+04,1.24626532e+04,2.35015345e+03,5.92340767e+02,1.52887553e+02,3.96061502e+01,9.32035036e+00,2.03527510e+00,6.03900000e-01
53219.04652778,0.92516057,3.52594833,-0.42910551,1.10142342e+05,5.74860916e+04,1.24626532e+04,2.35015345e+03,5.92340767e+02,1.52887553e+02,3.96061502e+01,9.32035036e+00,2.03527510e+00,6.03900000e-01
53219.04722222,0.90843201,3.54709270,-0.41617011,1.13469284e+05,5.93880310e+04,1.29474077e+04,2.45365763e+03,6.21626437e+02,1.61177203e+02,4.19878028e+01,9.96900070e+00,2.20665010e+00,6.58350007e-01
53219.04791667,0.89160268,3.56784389,-0.40318872,1.13469284e+05,5.93880310e+04,1.29474077e+04,2.45365763e+03,6.21626437e+02,1.61177203e+02,4.19878028e+01,9.96900070e+00,2.20665010e+00,6.58350007e-01
53219.04861111,0.87467557,3.58820395,-0.39016292,1.13469284e+05,5.93880310e+04,1.29474077e+04,2.45365763e+03,6.21626437e+02,1.61177203e+02,4.19878028e+01,9.96900070e+00,2.20665010e+00,6.58350007e-01
53219.04930556,0.85765382,3.60817538,-0.37709505,1.40489731e+05,6.92272263e+04,1.40053558e+04,2.50848031e+03,6.24105334e+02,1.58773303e+02,4.08288985e+01,9.67629999e+00,2.15812493e+00,6.52574992e-01
53219.05000000,0.84054009,3.62776023,-0.36398653,1.40489731e+05,6.92272263e+04,1.40053558e+04,2.50848031e+03,6.24105334e+02,1.58773303e+02,4.08288985e+01,9.67629999e+00,2.15812493e+00,6.52574992e-01
53219.05069444,0.82333736,3.64696086,-0.35083956,1.40489731e+05,6.92272263e+04,1.40053558e+04,2.50848031e+03,6.24105334e+02,1.58773303e+02,4.08288985e+01,9.67629999e+00,2.15812493e+00,6.52574992e-01
53219.05138889,0.80604831,3.66577913,-0.33765586,1.40489731e+05,6.92272263e+04,1.40053558e+04,2.50848031e+03,6.24105334e+02,1.58773303e+02,4.08288985e+01,9.67629999e+00,2.15812493e+00,6.52574992e-01
