# Irene Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.03958333,1.08618785,3.29232703,-0.55545298,1.16545957e+08,1.60532812e+08,6.86249999e+07,1.26499224e+07,3.74869623e+06,9.70635236e+05,3.19162047e+05,4.43728798e+04,8.60703002e+03,1.59146998e+03
53219.04027778,1.07064964,3.31754285,-0.54309832,1.24345958e+08,1.68527813e+08,7.06500001e+07,1.30014849e+07,3.84807124e+06,9.96445797e+05,3.26207968e+05,4.53561600e+04,8.72205003e+03,1.63286999e+03
53219.04097222,1.05497614,3.34233943,-0.53067491,1.32145957e+08,1.76522812e+08,7.26749999e+07,1.33530474e+07,3.94744623e+06,1.02225636e+06,3.33253887e+05,4.63394399e+04,8.83707003e+03,1.67426999e+03
53219.04166667,1.03917111,3.36671961,-0.51818543,1.40035958e+08,1.84615313e+08,7.47318751e+07,1.37109381e+07,4.04875483e+06,1.04860890e+06,3.40464598e+05,4.73483400e+04,8.95557004e+03,1.71716999e+03
53219.04236111,1.02323848,3.39068621,-0.50563222,1.48015957e+08,1.92805312e+08,7.68206250e+07,1.40751568e+07,4.15199700e+06,1.07550342e+06,3.47840097e+05,4.83828599e+04,9.07755004e+03,1.76156999e+03
53219.04305556,1.00718185,3.41424190,-0.49301780,1.55995958e+08,2.00995313e+08,7.89093751e+07,1.44393756e+07,4.25523919e+06,1.10239794e+06,3.55215598e+05,4.94173800e+04,9.19953006e+03,1.80596999e+03
53219.04375000,0.99100483,3.43738935,-0.48034436,1.65535957e+08,2.09957812e+08,8.11143750e+07,1.48326569e+07,4.35936027e+06,1.12926318e+06,3.62477577e+05,5.04189599e+04,9.31893005e+03,1.85012999e+03
53219.04444444,0.97471073,3.46013122,-0.46761426,1.76635957e+08,2.19692812e+08,8.34356248e+07,1.52550006e+07,4.46436027e+06,1.15609914e+06,3.69626037e+05,5.13875999e+04,9.43575005e+03,1.89404998e+03
53219.04513889,0.95830315,3.48246986,-0.45482970,1.87735957e+08,2.29427813e+08,8.57568750e+07,1.56773444e+07,4.56936028e+06,1.18293510e+06,3.76774497e+05,5.23562399e+04,9.55257006e+03,1.93796998e+03
53219.04583333,0.94178538,3.50440812,-0.44199272,1.98835957e+08,2.39162812e+08,8.80781249e+07,1.60996882e+07,4.67436027e+06,1.20977106e+06,3.83922956e+05,5.33248799e+04,9.66939006e+03,1.98188998e+03
53219.04652778,0.92516057,3.52594833,-0.42910551,2.09935958e+08,2.48897813e+08,9.03993751e+07,1.65220320e+07,4.77936028e+06,1.23660702e+06,3.91071417e+05,5.42935199e+04,9.78621007e+03,2.02580998e+03
53219.04722222,0.90843201,3.54709270,-0.41617011,2.21178457e+08,2.58775312e+08,9.27637499e+07,1.69530476e+07,4.88682120e+06,1.26413145e+06,3.98417606e+05,5.52932699e+04,9.90744006e+03,2.07170998e+03
53219.04791667,0.89160268,3.56784389,-0.40318872,2.32563458e+08,2.68795313e+08,9.51712501e+07,1.73927352e+07,4.99674307e+06,1.29234435e+06,4.05961527e+05,5.63241299e+04,1.00330801e+04,2.11958999e+03
53219.04861111,0.87467557,3.58820395,-0.39016292,2.43948457e+08,2.78815312e+08,9.75787500e+07,1.78324226e+07,5.10666492e+06,1.32055725e+06,4.13505447e+05,5.73549899e+04,1.01587201e+04,2.16746998e+03
53219.04930556,0.85765382,3.60817538,-0.37709505,2.57485958e+08,2.89945313e+08,1.00113750e+08,1.82791414e+07,5.21740711e+06,1.34868225e+06,4.20950518e+05,5.83703099e+04,1.02817501e+04,2.21513999e+03
53219.05000000,0.84054009,3.62776023,-0.36398653,2.73175957e+08,3.02185312e+08,1.02776250e+08,1.87328914e+07,5.32896961e+06,1.37671935e+06,4.28296737e+05,5.93700899e+04,1.04021701e+04,2.26259999e+03
53219.05069444,0.82333736,3.64696086,-0.35083956,2.88865956e+08,3.14425312e+08,1.05438750e+08,1.91866414e+07,5.44053210e+06,1.40475645e+06,4.35642957e+05,6.03698698e+04,1.05225901e+04,2.31005999e+03
53219.05138889,0.80604831,3.66577913,-0.33765586,3.04555957e+08,3.26665313e+08,1.08101250e+08,1.96403914e+07,5.55209461e+06,1.43279355e+06,4.42989178e+05,6.13696499e+04,1.06430101e+04,2.35751999e+03
53219.05208333,0.78867560,3.68421742,-0.32443715,3.20245956e+08,3.38905312e+08,1.10763750e+08,2.00941414e+07,5.66365710e+06,1.46083065e+06,4.50335397e+05,6.23694298e+04,1.07634301e+04,2.40497999e+03
53219.05277778,0.77122206,3.70227775,-0.31118502,3.36100958e+08,3.51295313e+08,1.13467500e+08,2.05558601e+07,5.77738759e+06,1.48946835e+06,4.57853728e+05,6.33957599e+04,1.08875101e+04,2.45421000e+03
53219.05347222,0.75369020,3.71996202,-0.29790134,3.52120957e+08,3.63835312e+08,1.16212500e+08,2.10255476e+07,5.89328604e+06,1.51870665e+06,4.65544168e+05,6.44486399e+04,1.10152500e+04,2.50520999e+03
53219.05416667,0.73608253,3.73727210,-0.28458768,3.68140958e+08,3.76375313e+08,1.18957500e+08,2.14952352e+07,6.00918451e+06,1.54794495e+06,4.73234609e+05,6.55015200e+04,1.11429901e+04,2.55621000e+03
53219.05486111,0.71840156,3.75421020,-0.27124576,3.84160957e+08,3.88915312e+08,1.21702500e+08,2.19649226e+07,6.12508296e+06,1.57718325e+06,4.80925049e+05,6.65543999e+04,1.12707300e+04,2.60721000e+03
53219.05555556,0.70064980,3.77077788,-0.25787701,4.02655958e+08,4.02910313e+08,1.24530000e+08,2.24385946e+07,6.24156736e+06,1.60631901e+06,4.88512950e+05,6.75889501e+04,1.13958300e+04,2.65794000e+03
53219.05625000,0.68282945,3.78697734,-0.24448299,4.23625957e+08,4.18360312e+08,1.27440000e+08,2.29162508e+07,6.35863767e+06,1.63535223e+06,4.95998309e+05,6.86051700e+04,1.15182900e+04,2.70840000e+03
53219.05694444,0.66494302,3.80280999,-0.23106542,4.44595956e+08,4.33810311e+08,1.30350000e+08,2.33939070e+07,6.47570798e+06,1.66438544e+06,5.03483669e+05,6.96213900e+04,1.16407500e+04,2.75885999e+03
53219.05763889,0.64699287,3.81827803,-0.21762557,4.65565957e+08,4.49260313e+08,1.33260000e+08,2.38715634e+07,6.59277831e+06,1.69341867e+06,5.10969029e+05,7.06376101e+04,1.17632100e+04,2.80932000e+03
53219.05833333,0.62898120,3.83338288,-0.20416515,4.86535956e+08,4.64710312e+08,1.36170000e+08,2.43492196e+07,6.70984862e+06,1.72245188e+06,5.18454389e+05,7.16538301e+04,1.18856700e+04,2.85977999e+03
53219.05902778,0.61091019,3.84812641,-0.19068527,5.07700958e+08,4.80325313e+08,1.39117500e+08,2.48336728e+07,6.82873536e+06,1.75199780e+06,5.26086240e+05,7.26920402e+04,1.20113400e+04,2.91180000e+03
53219.05972222,0.59278205,3.86251020,-0.17718781,5.29060956e+08,4.96105312e+08,1.42102500e+08,2.53249228e+07,6.94943849e+06,1.78205642e+06,5.33864579e+05,7.37522401e+04,1.21402200e+04,2.96537999e+03
53219.06041667,0.57459898,3.87653597,-0.16367372,5.50420958e+08,5.11885313e+08,1.45087500e+08,2.58161728e+07,7.07014164e+06,1.81211504e+06,5.41642920e+05,7.48124402e+04,1.22691000e+04,3.01896000e+03
53219.06111111,0.55636317,3.89020514,-0.15014471,5.71780957e+08,5.27665312e+08,1.48072500e+08,2.63074228e+07,7.19084478e+06,1.84217366e+06,5.49421259e+05,7.58726402e+04,1.23979800e+04,3.07253999e+03
53219.06180556,0.53807650,3.90351943,-0.13660190,5.93140958e+08,5.43445313e+08,1.51057500e+08,2.67986728e+07,7.31154792e+06,1.87223228e+06,5.57199600e+05,7.69328402e+04,1.25268600e+04,3.12612000e+03
53219.06250000,0.51974102,3.91648041,-0.12304668,6.14500957e+08,5.59225312e+08,1.54042500e+08,2.72899228e+07,7.43225106e+06,1.90229090e+06,5.64977939e+05,7.79930402e+04,1.26557400e+04,3.17969999e+03
53219.06319444,0.50135893,3.92908934,-0.10948047,6.38920956e+08,5.76940311e+08,1.57205625e+08,2.77905477e+07,7.55342294e+06,1.93230557e+06,5.72675699e+05,7.90129501e+04,1.27830000e+04,3.23372999e+03
53219.06388889,0.48293210,3.94134794,-0.09590454,6.66400958e+08,5.96590313e+08,1.60546875e+08,2.83005478e+07,7.67506359e+06,1.96227629e+06,5.80292880e+05,7.99925701e+04,1.29086401e+04,3.28820999e+03
53219.06458333,0.46446258,3.95325747,-0.08232013,6.93880956e+08,6.16240311e+08,1.63888125e+08,2.88105477e+07,7.79670422e+06,1.99224700e+06,5.87910060e+05,8.09721900e+04,1.30342801e+04,3.34268999e+03
53219.06527778,0.44595210,3.96481934,-0.06872834,7.21360958e+08,6.35890313e+08,1.67229375e+08,2.93205478e+07,7.91834487e+06,2.02221773e+06,5.95527241e+05,8.19518100e+04,1.31599201e+04,3.39716999e+03
53219.06597222,0.42740284,3.97603497,-0.05513059,7.49050956e+08,6.55705312e+08,1.70604375e+08,2.98366415e+07,8.04150893e+06,2.05261324e+06,6.03268951e+05,8.29479000e+04,1.32882001e+04,3.45299999e+03
53219.06666667,0.40881639,3.98690561,-0.04152813,7.76950959e+08,6.75685313e+08,1.74013125e+08,3.03588291e+07,8.16619644e+06,2.08343357e+06,6.11135192e+05,8.39604601e+04,1.34191201e+04,3.51017999e+03
53219.06736111,0.39019463,3.99743267,-0.02792206,8.04850957e+08,6.95665312e+08,1.77421875e+08,3.08810165e+07,8.29088393e+06,2.11425388e+06,6.19001432e+05,8.49730201e+04,1.35500401e+04,3.56735999e+03
53219.06805556,0.37153958,4.00761756,-0.01431347,8.32750959e+08,7.15645314e+08,1.80830625e+08,3.14032041e+07,8.41557144e+06,2.14507420e+06,6.26867673e+05,8.59855803e+04,1.36809601e+04,3.62453999e+03
53219.06875000,0.35285284,4.01746123,-0.00070379,8.60650957e+08,7.35625312e+08,1.84239375e+08,3.19253915e+07,8.54025893e+06,2.17589452e+06,6.34733913e+05,8.69981402e+04,1.38118801e+04,3.68171998e+03
53219.06944444,0.33413627,4.02696494,0.01290589,8.88550955e+08,7.55605311e+08,1.87648125e+08,3.24475790e+07,8.66494643e+06,2.20671484e+06,6.42600153e+05,8.80107002e+04,1.39428001e+04,3.73889998e+03
53219.07013889,0.31539161,4.03613009,0.02651463,9.16450958e+08,7.75585313e+08,1.91056875e+08,3.29697665e+07,8.78963393e+06,2.23753516e+06,6.50466394e+05,8.90232604e+04,1.40737201e+04,3.79607998e+03
53219.07083333,0.29662042,4.04495762,0.04012101,9.44350956e+08,7.95565312e+08,1.94465625e+08,3.34919540e+07,8.91432143e+06,2.26835548e+06,6.58332634e+05,9.00358204e+04,1.42046401e+04,3.85325998e+03
