# Irene Model output file: ../../unitTests/Legacy/CRRquiet_NatEpoch_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.02083333,1.43685460,2.44106636,-0.85146738,1.42015725e+07,3.78703124e+07,2.52285937e+07,4.83380875e+06,1.43266115e+06,3.67317149e+05,1.42087709e+05,1.98690599e+04,5.28635996e+03,6.58199999e+02
53219.02152778,1.42694265,2.47889157,-0.84226174,1.55290726e+07,4.01146876e+07,2.63901563e+07,5.06326191e+06,1.50045414e+06,3.84045661e+05,1.47829890e+05,2.06577899e+04,5.44004996e+03,6.85980001e+02
53219.02222222,1.41673201,2.51619773,-0.83287968,1.71612600e+07,4.25559374e+07,2.76079687e+07,5.30841817e+06,1.57223147e+06,4.02019290e+05,1.53795479e+05,2.14964099e+04,5.58836995e+03,7.15559999e+02
53219.02291667,1.40623164,2.55298955,-0.82332732,1.88243851e+07,4.50496876e+07,2.88585938e+07,5.56107447e+06,1.64641116e+06,4.20652111e+05,1.59999120e+05,2.23734900e+04,5.74448997e+03,7.46999999e+02
53219.02361111,1.39545046,2.58927141,-0.81361047,2.04875100e+07,4.75434375e+07,3.01092187e+07,5.81373073e+06,1.72059084e+06,4.39284930e+05,1.66202760e+05,2.32505699e+04,5.90060996e+03,7.78439996e+02
53219.02430556,1.38439666,2.62504771,-0.80373478,2.21506351e+07,5.00371877e+07,3.13598438e+07,6.06638703e+06,1.79477052e+06,4.57917751e+05,1.72406400e+05,2.41276500e+04,6.05672997e+03,8.09879997e+02
53219.02500000,1.37307870,2.66032286,-0.79370542,2.38137600e+07,5.25309375e+07,3.26104688e+07,6.31904330e+06,1.86895020e+06,4.76550569e+05,1.78610040e+05,2.50047299e+04,6.21284996e+03,8.41319993e+02
53219.02569444,1.36150411,2.69510108,-0.78352791,2.58528224e+07,5.55346873e+07,3.39314062e+07,6.57427767e+06,1.94453612e+06,4.95798627e+05,1.84799009e+05,2.58740399e+04,6.35750995e+03,8.72669991e+02
53219.02638889,1.34968075,2.72938677,-0.77320693,2.82996976e+07,5.91028126e+07,3.53489063e+07,6.83771519e+06,2.02334472e+06,5.16174629e+05,1.91149110e+05,2.67625799e+04,6.49550996e+03,9.05279994e+02
53219.02708333,1.33761568,2.76318386,-0.76274752,3.07784474e+07,6.27253124e+07,3.67926562e+07,7.10677767e+06,2.10396971e+06,5.37063328e+05,1.97675009e+05,2.76781198e+04,6.63830995e+03,9.39239992e+02
53219.02777778,1.32531611,2.79649642,-0.75215438,3.32571976e+07,6.63478127e+07,3.82364063e+07,7.37584019e+06,2.18459472e+06,5.57952030e+05,2.04200910e+05,2.85936599e+04,6.78110996e+03,9.73199995e+02
53219.02847222,1.31278896,2.82932870,-0.74143207,3.57359475e+07,6.99703124e+07,3.96801562e+07,7.64490268e+06,2.26521972e+06,5.78840729e+05,2.10726809e+05,2.95091998e+04,6.92390995e+03,1.00715999e+03
53219.02916667,1.30004065,2.86168446,-0.73058466,3.82146977e+07,7.35928127e+07,4.11239063e+07,7.91396520e+06,2.34584472e+06,5.99729432e+05,2.17252710e+05,3.04247399e+04,7.06670996e+03,1.04112000e+03
53219.02986111,1.28707747,2.89356762,-0.71961671,4.12728225e+07,7.76165625e+07,4.26510937e+07,8.18443393e+06,2.42787597e+06,6.21291930e+05,2.23752959e+05,3.13320298e+04,7.19909995e+03,1.07495999e+03
53219.03055556,1.27390601,2.92498195,-0.70853199,4.49103227e+07,8.20415628e+07,4.42617188e+07,8.45630895e+06,2.51131347e+06,6.43528231e+05,2.30227560e+05,3.22310698e+04,7.32107996e+03,1.10867999e+03
53219.03125000,1.26053177,2.95593122,-0.69733473,4.86096975e+07,8.65528125e+07,4.59126562e+07,8.73591832e+06,2.59738770e+06,6.66555570e+05,2.36954849e+05,3.31694697e+04,7.44923996e+03,1.14449999e+03
53219.03194444,1.24696101,2.98641920,-0.68602853,5.23709473e+07,9.11503122e+07,4.76039061e+07,9.02326209e+06,2.68609865e+06,6.90373950e+05,2.43934829e+05,3.41472296e+04,7.58357996e+03,1.18241999e+03
53219.03263889,1.23319893,3.01644949,-0.67461718,5.61321976e+07,9.57478126e+07,4.92951563e+07,9.31060589e+06,2.77480962e+06,7.14192332e+05,2.50914809e+05,3.51249897e+04,7.71791997e+03,1.22033999e+03
53219.03333333,1.21925132,3.04602571,-0.66310412,5.98934473e+07,1.00345312e+08,5.09864062e+07,9.59794964e+06,2.86352057e+06,7.38010711e+05,2.57894789e+05,3.61027495e+04,7.85225996e+03,1.25825998e+03
53219.03402778,1.20512321,3.07515099,-0.65149297,6.45378227e+07,1.05602813e+08,5.27414063e+07,9.90052781e+06,2.95375497e+06,7.62312484e+05,2.64801540e+05,3.70713596e+04,7.97870997e+03,1.29611999e+03
53219.03472222,1.19081978,3.10382911,-0.63978701,7.00653223e+07,1.11520312e+08,5.45601562e+07,1.02183403e+07,3.04551278e+06,7.87097642e+05,2.71635059e+05,3.80308196e+04,8.09726996e+03,1.33391999e+03
53219.03541667,1.17634606,3.13206335,-0.62798955,7.55928228e+07,1.17437813e+08,5.63789063e+07,1.05361528e+07,3.13727061e+06,8.11882804e+05,2.78468579e+05,3.89902797e+04,8.21582997e+03,1.37171999e+03
53219.03611111,1.16170690,3.15985701,-0.61610356,8.11990724e+07,1.23452812e+08,5.82351562e+07,1.08612309e+07,3.23143076e+06,8.37371072e+05,2.85514499e+05,3.99836096e+04,8.33930995e+03,1.41137999e+03
53219.03680556,1.14690686,3.18721324,-0.60413250,8.68840729e+07,1.29565313e+08,6.01289064e+07,1.11935747e+07,3.32799327e+06,8.63562453e+05,2.92772819e+05,4.10108097e+04,8.46770997e+03,1.45289999e+03
53219.03750000,1.13195050,3.21413533,-0.59207889,9.25690725e+07,1.35677813e+08,6.20226562e+07,1.15259185e+07,3.42455576e+06,8.89753831e+05,3.00031139e+05,4.20380096e+04,8.59610996e+03,1.49441999e+03
53219.03819444,1.11684235,3.24062626,-0.57994601,9.82540722e+07,1.41790312e+08,6.39164061e+07,1.18582623e+07,3.52111826e+06,9.15945209e+05,3.07289458e+05,4.30652096e+04,8.72450995e+03,1.53593998e+03
53219.03888889,1.10158683,3.26668916,-0.56773638,1.04996573e+08,1.48844063e+08,6.58757813e+07,1.22002154e+07,3.61908701e+06,9.41946180e+05,3.14441579e+05,4.40704497e+04,8.84621996e+03,1.57739998e+03
53219.03958333,1.08618785,3.29232703,-0.55545298,1.12796572e+08,1.56839062e+08,6.79007812e+07,1.25517779e+07,3.71846201e+06,9.67756738e+05,3.21487498e+05,4.50537297e+04,8.96123996e+03,1.61879998e+03
53219.04027778,1.07064964,3.31754285,-0.54309832,1.20596573e+08,1.64834063e+08,6.99257813e+07,1.29033404e+07,3.81783702e+06,9.93567300e+05,3.28533419e+05,4.60370098e+04,9.07625997e+03,1.66019999e+03
53219.04097222,1.05497614,3.34233943,-0.53067491,1.28396572e+08,1.72829062e+08,7.19507812e+07,1.32549029e+07,3.91721201e+06,1.01937786e+06,3.35579338e+05,4.70202898e+04,9.19127996e+03,1.70159999e+03
53219.04166667,1.03917111,3.36671961,-0.51818543,1.36286573e+08,1.80921563e+08,7.40076564e+07,1.36127936e+07,4.01852061e+06,1.04573040e+06,3.42790049e+05,4.80291899e+04,9.30977998e+03,1.74449999e+03
53219.04236111,1.02323848,3.39068621,-0.50563222,1.44266572e+08,1.89111562e+08,7.60964062e+07,1.39770123e+07,4.12176278e+06,1.07262492e+06,3.50165548e+05,4.90637098e+04,9.43175997e+03,1.78889999e+03
53219.04305556,1.00718185,3.41424190,-0.49301780,1.52246573e+08,1.97301563e+08,7.81851564e+07,1.43412311e+07,4.22500497e+06,1.09951944e+06,3.57541049e+05,5.00982299e+04,9.55373999e+03,1.83329999e+03
53219.04375000,0.99100483,3.43738935,-0.48034436,1.61786572e+08,2.06264062e+08,8.03901562e+07,1.47345124e+07,4.32912605e+06,1.12638468e+06,3.64803028e+05,5.10998098e+04,9.67313999e+03,1.87745998e+03
53219.04444444,0.97471073,3.46013122,-0.46761426,1.72886572e+08,2.15999062e+08,8.27114061e+07,1.51568561e+07,4.43412605e+06,1.15322064e+06,3.71951487e+05,5.20684497e+04,9.78995998e+03,1.92137998e+03
53219.04513889,0.95830315,3.48246986,-0.45482970,1.83986573e+08,2.25734063e+08,8.50326563e+07,1.55791999e+07,4.53912606e+06,1.18005660e+06,3.79099948e+05,5.30370898e+04,9.90678000e+03,1.96529998e+03
53219.04583333,0.94178538,3.50440812,-0.44199272,1.95086572e+08,2.35469062e+08,8.73539061e+07,1.60015437e+07,4.64412605e+06,1.20689256e+06,3.86248407e+05,5.40057297e+04,1.00236000e+04,2.00921998e+03
53219.04652778,0.92516057,3.52594833,-0.42910551,2.06186573e+08,2.45204063e+08,8.96751563e+07,1.64238875e+07,4.74912606e+06,1.23372852e+06,3.93396868e+05,5.49743698e+04,1.01404200e+04,2.05313998e+03
53219.04722222,0.90843201,3.54709270,-0.41617011,2.17429072e+08,2.55081562e+08,9.20395312e+07,1.68549031e+07,4.85658698e+06,1.26125295e+06,4.00743057e+05,5.59741197e+04,1.02616500e+04,2.09903998e+03
53219.04791667,0.89160268,3.56784389,-0.40318872,2.28814073e+08,2.65101563e+08,9.44470314e+07,1.72945907e+07,4.96650885e+06,1.28946585e+06,4.08286978e+05,5.70049798e+04,1.03872900e+04,2.14691999e+03
53219.04861111,0.87467557,3.58820395,-0.39016292,2.42351572e+08,2.76231562e+08,9.69820312e+07,1.77413094e+07,5.07725102e+06,1.31759085e+06,4.15732048e+05,5.80202997e+04,1.05103200e+04,2.19458998e+03
53219.04930556,0.85765382,3.60817538,-0.37709505,2.58041573e+08,2.88471563e+08,9.96445314e+07,1.81950594e+07,5.18881353e+06,1.34562795e+06,4.23078268e+05,5.90200798e+04,1.06307400e+04,2.24204999e+03
53219.05000000,0.84054009,3.62776023,-0.36398653,2.73731572e+08,3.00711563e+08,1.02307031e+08,1.86488094e+07,5.30037603e+06,1.37366505e+06,4.30424488e+05,6.00198598e+04,1.07511600e+04,2.28950999e+03
53219.05069444,0.82333736,3.64696086,-0.35083956,2.89421571e+08,3.12951562e+08,1.04969531e+08,1.91025594e+07,5.41193852e+06,1.40170215e+06,4.37770707e+05,6.10196397e+04,1.08715800e+04,2.33696999e+03
53219.05138889,0.80604831,3.66577913,-0.33765586,3.05111573e+08,3.25191563e+08,1.07632031e+08,1.95563094e+07,5.52350103e+06,1.42973925e+06,4.45116928e+05,6.20194198e+04,1.09920000e+04,2.38442999e+03
53219.05208333,0.78867560,3.68421742,-0.32443715,3.20801572e+08,3.37431562e+08,1.10294531e+08,2.00100594e+07,5.63506352e+06,1.45777635e+06,4.52463148e+05,6.30191997e+04,1.11124200e+04,2.43188999e+03
53219.05277778,0.77122206,3.70227775,-0.31118502,3.36656573e+08,3.49821563e+08,1.12998281e+08,2.04717782e+07,5.74879401e+06,1.48641406e+06,4.59981478e+05,6.40455298e+04,1.12365000e+04,2.48112000e+03
