# Legacy Model output file: ../../unitTests/Legacy/Ax8max_atEpoch_Intg.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.01597222,1.49703211,2.16136976,-0.91040510,3.61593711e+07,2.83876719e+07,2.22863359e+07,8.90282324e+06,4.00127246e+06,2.26617651e+06,1.47844458e+06,7.76282715e+05,3.57320679e+05,1.79315857e+05,7.40662384e+04,2.90343170e+04,9.62065411e+03,2.70201993e+03,6.55018330e+02,1.32576793e+02,2.10555289e+01,3.51910084e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,3.70318086e+07,2.90711289e+07,2.28217695e+07,9.14924512e+06,4.11411035e+06,2.32818896e+06,1.52029260e+06,7.93477661e+05,3.66202789e+05,1.83885239e+05,7.55757904e+04,2.95147343e+04,9.73118305e+03,2.72972178e+03,6.57634139e+02,1.32375568e+02,2.09931396e+01,3.44113656e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,3.78876680e+07,2.97415039e+07,2.33468066e+07,9.39313867e+06,4.22591504e+06,2.38951221e+06,1.56176929e+06,8.10245300e+05,3.74932556e+05,1.88383759e+05,7.70395966e+04,2.99733047e+04,9.83321571e+03,2.75497460e+03,6.59607172e+02,1.32044375e+02,2.09104232e+01,3.36494856e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,3.87248555e+07,3.03971191e+07,2.38602539e+07,9.63395703e+06,4.33646143e+06,2.45002563e+06,1.60278577e+06,8.26548401e+05,3.83489594e+05,1.92801117e+05,7.84539261e+04,3.04088688e+04,9.92649460e+03,2.77771473e+03,6.60934567e+02,1.31584719e+02,2.08077058e+01,3.28934798e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,3.95598164e+07,3.10509551e+07,2.43722520e+07,9.87577637e+06,4.44756494e+06,2.51075366e+06,1.64401831e+06,8.42737915e+05,3.92036133e+05,1.97218491e+05,7.98524017e+04,3.08346443e+04,1.00154266e+04,2.79918122e+03,6.61920428e+02,1.31059095e+02,2.06948910e+01,3.21393949e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,4.03825312e+07,3.16950078e+07,2.48764668e+07,1.01179414e+07,4.55905127e+06,2.57148730e+06,1.68541003e+06,8.58515686e+05,4.00488983e+05,2.01600235e+05,8.11994476e+04,3.12308369e+04,1.00910263e+04,2.81668949e+03,6.61723852e+02,1.30264968e+02,2.05385704e+01,3.13067436e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02013889,1.44645844,2.40271786,-0.86049017,4.11819102e+07,3.23207852e+07,2.53663105e+07,1.03539648e+07,4.66777393e+06,2.63066699e+06,1.72577722e+06,8.73818054e+05,4.08706970e+05,2.05862473e+05,8.25039597e+04,3.16134052e+04,1.01638699e+04,2.83356380e+03,6.61570966e+02,1.29522085e+02,2.03923453e+01,3.05389287e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02083333,1.43685460,2.44106636,-0.85146738,4.19852227e+07,3.29494727e+07,2.58583320e+07,1.05944238e+07,4.77872217e+06,2.69089258e+06,1.76698718e+06,8.89050537e+05,4.16991028e+05,2.10169815e+05,8.37896042e+04,3.19791279e+04,1.02276783e+04,2.84769392e+03,6.60542846e+02,1.28576159e+02,2.02131607e+01,2.97129271e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02152778,1.42694265,2.47889157,-0.84226174,4.27625352e+07,3.35578047e+07,2.63344141e+07,1.08279414e+07,4.88653027e+06,2.74935864e+06,1.80703113e+06,9.03762268e+05,4.25012573e+05,2.14343811e+05,8.50289612e+04,3.23302956e+04,1.02886000e+04,2.86116552e+03,6.59564793e+02,1.27683818e+02,2.00444404e+01,2.89502903e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02222222,1.41673201,2.51619773,-0.83287968,4.35222109e+07,3.41521953e+07,2.67995078e+07,1.10584561e+07,4.99309131e+06,2.80703247e+06,1.84662573e+06,9.18040894e+05,4.32870270e+05,2.18439728e+05,8.62230988e+04,3.26612167e+04,1.03422737e+04,2.87258840e+03,6.58105791e+02,1.26704842e+02,1.98626500e+01,2.81874160e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02291667,1.40623164,2.55298955,-0.82332732,4.42830859e+07,3.47474297e+07,2.72651211e+07,1.12927988e+07,5.10162305e+06,2.86559204e+06,1.88696777e+06,9.32190857e+05,4.40766846e+05,2.22567474e+05,8.73929367e+04,3.29735794e+04,1.03865862e+04,2.88119745e+03,6.55784667e+02,1.25531778e+02,1.96495336e+01,2.73736846e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02361111,1.39545046,2.58927141,-0.81361047,4.50243203e+07,3.53272656e+07,2.77186992e+07,1.15215908e+07,5.20761719e+06,2.92275024e+06,1.92636694e+06,9.45963623e+05,4.48462616e+05,2.26591782e+05,8.85310059e+04,3.32775993e+04,1.04302750e+04,2.88979411e+03,6.53677702e+02,1.24445044e+02,1.94519851e+01,2.66273972e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02430556,1.38439666,2.62504771,-0.80373478,4.57551484e+07,3.58988398e+07,2.81656895e+07,1.17491348e+07,5.31316406e+06,2.97955981e+06,1.96560657e+06,9.59461426e+05,4.56065369e+05,2.30573395e+05,8.96390991e+04,3.35676460e+04,1.04689283e+04,2.89697075e+03,6.51253045e+02,1.23306312e+02,1.92469098e+01,2.58893240e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02500000,1.37307870,2.66032286,-0.79370542,4.64641094e+07,3.64532344e+07,2.85992168e+07,1.19725059e+07,5.41691797e+06,3.03527637e+06,2.00419714e+06,9.72446960e+05,4.63461548e+05,2.34455521e+05,9.06955185e+04,3.38357315e+04,1.05001249e+04,2.90206766e+03,6.48369610e+02,1.22090019e+02,1.90303158e+01,2.51540379e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02569444,1.36150411,2.69510108,-0.78352791,4.72030156e+07,3.70307461e+07,2.90506426e+07,1.22116768e+07,5.52837598e+06,3.09481323e+06,2.04567346e+06,9.85703430e+05,4.71219238e+05,2.38548309e+05,9.17481613e+04,3.40797157e+04,1.05150537e+04,2.90209627e+03,6.43741131e+02,1.20452620e+02,1.87446345e+01,2.42789695e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02638889,1.34968075,2.72938677,-0.77320693,4.78873281e+07,3.75658203e+07,2.94689473e+07,1.24293271e+07,5.62961572e+06,3.14906299e+06,2.08333423e+06,9.98162598e+05,4.78370911e+05,2.42308899e+05,9.27558746e+04,3.43315315e+04,1.05429020e+04,2.90642834e+03,6.40929699e+02,1.19306467e+02,1.85416713e+01,2.36228853e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02708333,1.33761568,2.76318386,-0.76274752,4.85578281e+07,3.80899648e+07,2.98786758e+07,1.26447041e+07,5.72991504e+06,3.20269507e+06,2.12065454e+06,1.01028772e+06,4.85395477e+05,2.46009094e+05,9.37289505e+04,3.45683517e+04,1.05656729e+04,2.90934968e+03,6.37820125e+02,1.18113808e+02,1.83320194e+01,2.29737628e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02777778,1.32531611,2.79649642,-0.75215438,4.92260430e+07,3.86120078e+07,3.02865840e+07,1.28610879e+07,5.83015137e+06,3.25621777e+06,2.15740845e+06,1.02288013e+06,4.92277740e+05,2.49502655e+05,9.46126633e+04,3.47865562e+04,1.05850754e+04,2.91095686e+03,6.34642780e+02,1.16891488e+02,1.80917662e+01,2.23155413e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02847222,1.31278896,2.82932870,-0.74143207,4.98978633e+07,3.91333438e+07,3.06910625e+07,1.30857002e+07,5.92673096e+06,3.30761206e+06,2.18830298e+06,1.03992517e+06,4.98080963e+05,2.51329941e+05,9.48576279e+04,3.49000969e+04,1.05941324e+04,2.90673280e+03,6.31834567e+02,1.15537874e+02,1.76245552e+01,2.14981148e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02916667,1.30004065,2.86168446,-0.73058466,5.05561484e+07,3.96438672e+07,3.10869434e+07,1.33082568e+07,6.02220605e+06,3.35830908e+06,2.21864331e+06,1.05677844e+06,5.03725281e+05,2.53056671e+05,9.50604172e+04,3.49982567e+04,1.05984259e+04,2.90120888e+03,6.28755748e+02,1.14148527e+02,1.71616971e+01,2.07009283e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02986111,1.28707747,2.89356762,-0.71961671,5.12231172e+07,4.01610977e+07,3.14879688e+07,1.35345986e+07,6.11921143e+06,3.40977954e+06,2.24940405e+06,1.07390601e+06,5.09434082e+05,2.54795273e+05,9.52637329e+04,3.50967255e+04,1.06027203e+04,2.89569712e+03,6.25692189e+02,1.12775967e+02,1.67109817e+01,1.99333113e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03055556,1.27390601,2.92498195,-0.70853199,5.18638477e+07,4.06575625e+07,3.18726348e+07,1.37555146e+07,6.21358984e+06,3.45971289e+06,2.27905200e+06,1.09057336e+06,5.14860352e+05,2.56372620e+05,9.54030533e+04,3.51717186e+04,1.05998688e+04,2.88824487e+03,6.22223258e+02,1.11344799e+02,1.62611362e+01,1.91806711e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03125000,1.26053177,2.95593122,-0.69733473,5.24999688e+07,4.11505938e+07,3.22547422e+07,1.39737285e+07,6.30690234e+06,3.50911401e+06,2.30844678e+06,1.10705078e+06,5.20271912e+05,2.57987518e+05,9.55778275e+04,3.52585602e+04,1.06019411e+04,2.88252163e+03,6.19243562e+02,1.10059224e+02,1.58545375e+01,1.85046217e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03194444,1.24696101,2.98641920,-0.68602853,5.31328086e+07,4.16406328e+07,3.26341172e+07,1.41954199e+07,6.40128662e+06,3.55889233e+06,2.33782300e+06,1.12372778e+06,5.25577026e+05,2.59468079e+05,9.56744232e+04,3.53179588e+04,1.05943193e+04,2.87381077e+03,6.15533650e+02,1.08613640e+02,1.54208038e+01,1.77975930e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03263889,1.23319893,3.01644949,-0.67461718,5.37611758e+07,4.21269844e+07,3.30105273e+07,1.44173994e+07,6.49563428e+06,3.60856812e+06,2.36704004e+06,1.14039929e+06,5.30816711e+05,2.60898438e+05,9.57497711e+04,3.53695717e+04,1.05843325e+04,2.86448312e+03,6.11708581e+02,1.07162923e+02,1.49955768e+01,1.71135680e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03333333,1.21925132,3.04602571,-0.66310412,5.43716523e+07,4.25995508e+07,3.33762461e+07,1.46329482e+07,6.58724951e+06,3.65680884e+06,2.39541479e+06,1.15658887e+06,5.35913269e+05,2.62305847e+05,9.58389587e+04,3.54249878e+04,1.05768862e+04,2.85623598e+03,6.08231664e+02,1.05830424e+02,1.46074696e+01,1.64949172e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03402778,1.20512321,3.07515099,-0.65149297,5.49775977e+07,4.30680547e+07,3.37384648e+07,1.48517373e+07,6.67983398e+06,3.70535254e+06,2.42371704e+06,1.17295557e+06,5.40891235e+05,2.63574097e+05,9.58496933e+04,3.54528465e+04,1.05597811e+04,2.84504509e+03,6.04044318e+02,1.04346454e+02,1.41950846e+01,1.58498168e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03472222,1.19081978,3.10382911,-0.63978701,5.55768633e+07,4.35315781e+07,3.40968945e+07,1.50670293e+07,6.77099854e+06,3.75319727e+06,2.45167261e+06,1.18907214e+06,5.45839966e+05,2.64876678e+05,9.58958054e+04,3.54924622e+04,1.05476036e+04,2.83557892e+03,6.00341082e+02,1.03002697e+02,1.38214873e+01,1.52696983e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03541667,1.17634606,3.13206335,-0.62798955,5.61700781e+07,4.39902383e+07,3.44514219e+07,1.52819688e+07,6.86186182e+06,3.80080396e+06,2.47938965e+06,1.20514001e+06,5.50709351e+05,2.66125824e+05,9.59203339e+04,3.55240784e+04,1.05330791e+04,2.82550955e+03,5.96526206e+02,1.01653375e+02,1.34546859e+01,1.47073693e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03611111,1.16170690,3.15985701,-0.61610356,5.67567930e+07,4.44436758e+07,3.48017969e+07,1.54965195e+07,6.95238818e+06,3.84814819e+06,2.50685596e+06,1.22114893e+06,5.55497131e+05,2.67320892e+05,9.59232864e+04,3.55477600e+04,1.05161963e+04,2.81484079e+03,5.92602193e+02,1.00299090e+02,1.30946822e+01,1.41624291e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03680556,1.14690686,3.18721324,-0.60413250,5.73367852e+07,4.48916836e+07,3.51478242e+07,1.57105469e+07,7.04252246e+06,3.89520996e+06,2.53406177e+06,1.23709326e+06,5.60201050e+05,2.68460693e+05,9.59047470e+04,3.55634918e+04,1.04969893e+04,2.80358267e+03,5.88571846e+02,9.89406556e+01,1.27414437e+01,1.36344857e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03750000,1.13195050,3.21413533,-0.59207889,5.78957461e+07,4.53235000e+07,3.54813164e+07,1.59167959e+07,7.12936230e+06,3.94054053e+06,2.56027197e+06,1.25245483e+06,5.64739563e+05,2.69573639e+05,9.58999100e+04,3.55829468e+04,1.04803247e+04,2.79339838e+03,5.84880948e+02,9.76918638e+01,1.24193383e+01,1.31574075e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03819444,1.11684235,3.24062626,-0.57994601,5.84892422e+07,4.57811289e+07,3.58341406e+07,1.61438760e+07,7.22433740e+06,3.98979175e+06,2.58832446e+06,1.26926782e+06,5.69423645e+05,2.70543823e+05,9.57676468e+04,3.55591202e+04,1.04467678e+04,2.77767992e+03,5.79761863e+02,9.61023197e+01,1.20314891e+01,1.25951623e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03888889,1.10158683,3.26668916,-0.56773638,5.90328633e+07,4.62006953e+07,3.61578984e+07,1.63484531e+07,7.31013623e+06,4.03441968e+06,2.61392163e+06,1.28445215e+06,5.73778442e+05,2.71543152e+05,9.57197113e+04,3.55626335e+04,1.04255009e+04,2.76634574e+03,5.75866878e+02,9.48466882e+01,1.17220562e+01,1.21487537e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03958333,1.08618785,3.29232703,-0.55545298,5.95671445e+07,4.66132617e+07,3.64763789e+07,1.65481719e+07,7.39398145e+06,4.07808228e+06,2.63903931e+06,1.29928857e+06,5.78085999e+05,2.72575500e+05,9.57070999e+04,3.55779076e+04,1.04091101e+04,2.75669026e+03,5.72432816e+02,9.37160328e+01,1.14430562e+01,1.17487554e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.04027778,1.07064964,3.31754285,-0.54309832,6.00937891e+07,4.70193359e+07,3.67894219e+07,1.67503281e+07,7.47843604e+06,4.12184180e+06,2.66393872e+06,1.31424158e+06,5.82245544e+05,2.73459198e+05,9.56163483e+04,3.55654068e+04,1.03832455e+04,2.74420595e+03,5.68331480e+02,9.24499929e+01,1.11437514e+01,1.13491283e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
