# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Intg.CRRESPRO.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Quiet
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.02083333,1.43685460,2.44106636,-0.85146738,2.23258125e+04,2.19689087e+03,7.35222046e+02,1.82467361e+02,4.31931343e+01,4.31931343e+01,3.38536978e+00,3.15920830e+00,6.77798450e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02152778,1.42694265,2.47889157,-0.84226174,2.23258125e+04,2.19689087e+03,7.35222046e+02,1.82467361e+02,4.31931343e+01,4.31931343e+01,3.38536978e+00,3.15920830e+00,6.77798450e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02222222,1.41673201,2.51619773,-0.83287968,3.41254492e+04,3.32181543e+03,1.08965356e+03,2.63611084e+02,6.02546730e+01,6.02546730e+01,5.32205582e+00,4.77263069e+00,1.05552483e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02291667,1.40623164,2.55298955,-0.82332732,3.41254492e+04,3.32181543e+03,1.08965356e+03,2.63611084e+02,6.02546730e+01,6.02546730e+01,5.32205582e+00,4.77263069e+00,1.05552483e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02361111,1.39545046,2.58927141,-0.81361047,3.41254492e+04,3.32181543e+03,1.08965356e+03,2.63611084e+02,6.02546730e+01,6.02546730e+01,5.32205582e+00,4.77263069e+00,1.05552483e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02430556,1.38439666,2.62504771,-0.80373478,3.41254492e+04,3.32181543e+03,1.08965356e+03,2.63611084e+02,6.02546730e+01,6.02546730e+01,5.32205582e+00,4.77263069e+00,1.05552483e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02500000,1.37307870,2.66032286,-0.79370542,2.78924453e+04,2.55657642e+03,8.25939392e+02,1.90794495e+02,4.09175186e+01,4.09175186e+01,4.59649658e+00,4.27755260e+00,1.03135359e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02569444,1.36150411,2.69510108,-0.78352791,2.78924453e+04,2.55657642e+03,8.25939392e+02,1.90794495e+02,4.09175186e+01,4.09175186e+01,4.59649658e+00,4.27755260e+00,1.03135359e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02638889,1.34968075,2.72938677,-0.77320693,3.48206992e+04,3.18510352e+03,1.01468402e+03,2.34375717e+02,5.32387733e+01,5.32387733e+01,5.36610842e+00,4.95243597e+00,1.19453442e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02708333,1.33761568,2.76318386,-0.76274752,3.48206992e+04,3.18510352e+03,1.01468402e+03,2.34375717e+02,5.32387733e+01,5.32387733e+01,5.36610842e+00,4.95243597e+00,1.19453442e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02777778,1.32531611,2.79649642,-0.75215438,3.48206992e+04,3.18510352e+03,1.01468402e+03,2.34375717e+02,5.32387733e+01,5.32387733e+01,5.36610842e+00,4.95243597e+00,1.19453442e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02847222,1.31278896,2.82932870,-0.74143207,3.48206992e+04,3.18510352e+03,1.01468402e+03,2.34375717e+02,5.32387733e+01,5.32387733e+01,5.36610842e+00,4.95243597e+00,1.19453442e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02916667,1.30004065,2.86168446,-0.73058466,2.86202363e+04,2.51157617e+03,7.69215820e+02,1.65904022e+02,3.70505219e+01,3.70505219e+01,5.67687082e+00,5.37876129e+00,1.26935041e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02986111,1.28707747,2.89356762,-0.71961671,2.86202363e+04,2.51157617e+03,7.69215820e+02,1.65904022e+02,3.70505219e+01,3.70505219e+01,5.67687082e+00,5.37876129e+00,1.26935041e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03055556,1.27390601,2.92498195,-0.70853199,2.86202363e+04,2.51157617e+03,7.69215820e+02,1.65904022e+02,3.70505219e+01,3.70505219e+01,5.67687082e+00,5.37876129e+00,1.26935041e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03125000,1.26053177,2.95593122,-0.69733473,2.86202363e+04,2.51157617e+03,7.69215820e+02,1.65904022e+02,3.70505219e+01,3.70505219e+01,5.67687082e+00,5.37876129e+00,1.26935041e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03194444,1.24696101,2.98641920,-0.68602853,4.48792148e+04,3.92198242e+03,1.19614783e+03,2.65300476e+02,5.61097107e+01,5.61097107e+01,6.46190786e+00,5.92435551e+00,1.30892003e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03263889,1.23319893,3.01644949,-0.67461718,4.48792148e+04,3.92198242e+03,1.19614783e+03,2.65300476e+02,5.61097107e+01,5.61097107e+01,6.46190786e+00,5.92435551e+00,1.30892003e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03333333,1.21925132,3.04602571,-0.66310412,4.48792148e+04,3.92198242e+03,1.19614783e+03,2.65300476e+02,5.61097107e+01,5.61097107e+01,6.46190786e+00,5.92435551e+00,1.30892003e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
