# Irene Model output file: ../../unitTests/Legacy/Ax8max_NatEpoch_Intg.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.01527778,1.50418085,2.11922432,-0.91794984,3.50479550e+10,2.72742857e+10,2.12258470e+10,8.07248826e+09,3.68915703e+09,2.11207469e+09,1.35758734e+09,6.95781840e+08,3.31952512e+08,1.64063349e+08,7.25316316e+07,2.97909760e+07,1.04175374e+07,3.05169128e+06,8.11663944e+05,1.76098193e+05,3.10279682e+04,5.69321391e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,3.72392478e+10,2.89946990e+10,2.25765659e+10,8.61005717e+09,3.93063198e+09,2.24895401e+09,1.44680139e+09,7.42920689e+08,3.53590274e+08,1.74914975e+08,7.70373731e+07,3.15642403e+07,1.10082028e+07,3.21779669e+06,8.52195095e+05,1.84349515e+05,3.23404459e+04,5.91633569e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,3.94815840e+10,3.07551032e+10,2.39586153e+10,9.16195394e+09,4.17866218e+09,2.38944096e+09,1.53844617e+09,7.91069268e+08,3.75747001e+08,1.86033297e+08,8.16320930e+07,3.33660836e+07,1.16055580e+07,3.38558902e+06,8.92897489e+05,1.92592587e+05,3.36498094e+04,6.13519047e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,4.17738848e+10,3.25546455e+10,2.53713228e+10,9.72800068e+09,4.43317364e+09,2.53348781e+09,1.63249480e+09,8.40200558e+08,3.98412692e+08,1.97413601e+08,8.63129133e+07,3.51951564e+07,1.22090823e+07,3.55491801e+06,9.33731542e+05,2.00819320e+05,3.49547880e+04,6.34965836e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,4.41154937e+10,3.43928077e+10,2.68142786e+10,1.03081214e+10,4.69413849e+09,2.68107318e+09,1.72893732e+09,8.90296756e+08,4.21581526e+08,2.09053256e+08,9.10778512e+07,3.70504700e+07,1.28183802e+07,3.72566910e+06,9.74666967e+05,2.09023623e+05,3.62544311e+04,6.55967977e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,4.65053932e+10,3.62687883e+10,2.82868508e+10,1.09021490e+10,4.96148781e+09,2.83215268e+09,1.82774880e+09,9.41332519e+08,4.45244109e+08,2.20947842e+08,9.59242105e+07,3.89307695e+07,1.34329745e+07,3.89770528e+06,1.01566861e+06,2.17198524e+05,3.75476537e+04,6.76517859e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,4.89424772e+10,3.81817168e+10,2.97883556e+10,1.15098363e+10,5.23511252e+09,2.98666256e+09,1.92888919e+09,9.93283281e+08,4.69389645e+08,2.33092017e+08,1.00849611e+08,4.08351232e+07,1.40525808e+07,4.07094935e+06,1.05672271e+06,2.25342563e+05,3.88342933e+04,6.96632139e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02013889,1.44645844,2.40271786,-0.86049017,5.14258303e+10,4.01308720e+10,3.13182243e+10,1.21310365e+10,5.51495231e+09,3.14456366e+09,2.03233663e+09,1.04612613e+09,4.94009688e+08,2.45481813e+08,1.05851617e+08,4.27624026e+07,1.46767749e+07,4.24528016e+06,1.09779893e+06,2.33449898e+05,4.01134498e+04,7.16306733e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02083333,1.43685460,2.44106636,-0.85146738,5.39547541e+10,4.21156991e+10,3.28760172e+10,1.27657117e+10,5.80099971e+09,3.30584309e+09,2.13808899e+09,1.09984015e+09,5.19098399e+08,2.58114768e+08,1.10927768e+08,4.47112912e+07,1.53049946e+07,4.42053273e+06,1.13885034e+06,2.41510311e+05,4.13834859e+04,7.35517080e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02152778,1.42694265,2.47889157,-0.84226174,5.65284818e+10,4.41355921e+10,3.44612557e+10,1.34137502e+10,6.09321040e+09,3.47047041e+09,2.24613023e+09,1.15440571e+09,5.44648784e+08,2.70987628e+08,1.16075959e+08,4.66808053e+07,1.59368738e+07,4.59660265e+06,1.17985156e+06,2.49519140e+05,4.26436933e+04,7.54263191e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02222222,1.41673201,2.51619773,-0.83287968,5.91458837e+10,4.61896631e+10,3.60732395e+10,1.40749478e+10,6.39149795e+09,3.63839188e+09,2.35642885e+09,1.20979573e+09,5.70650230e+08,2.84095317e+08,1.21293380e+08,4.86697049e+07,1.65719682e+07,4.77336410e+06,1.22077272e+06,2.57470906e+05,4.38932398e+04,7.72543435e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02291667,1.40623164,2.55298955,-0.82332732,6.18063730e+10,4.82774482e+10,3.77116023e+10,1.47492349e+10,6.69583644e+09,3.80958785e+09,2.46897582e+09,1.26599452e+09,5.97097487e+08,2.97435447e+08,1.26578321e+08,5.06771759e+07,1.72099752e+07,4.95073112e+06,1.26159358e+06,2.65362083e+05,4.51316015e+04,7.90360994e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02361111,1.39545046,2.58927141,-0.81361047,6.45093042e+10,5.03984367e+10,3.93759406e+10,1.54365252e+10,7.00619294e+09,3.98403458e+09,2.58375944e+09,1.32298533e+09,6.23984707e+08,3.11005345e+08,1.31928977e+08,5.27023795e+07,1.78505886e+07,5.12861713e+06,1.30229418e+06,2.73189266e+05,4.63582752e+04,8.07719493e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02430556,1.38439666,2.62504771,-0.80373478,6.72533708e+10,5.25516039e+10,4.10654497e+10,1.61364989e+10,7.32242474e+09,4.16165064e+09,2.70072693e+09,1.38074060e+09,6.51298951e+08,3.24798509e+08,1.37342779e+08,5.47443996e+07,1.84935648e+07,5.30695907e+06,1.34286675e+06,2.80952539e+05,4.75733501e+04,8.24638540e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02500000,1.37307870,2.66032286,-0.79370542,7.00378288e+10,5.47363613e+10,4.27796666e+10,1.68490410e+10,7.64448512e+09,4.34240487e+09,2.81986134e+09,1.43924170e+09,6.79033376e+08,3.38811717e+08,1.42817769e+08,5.68023581e+07,1.91385941e+07,5.48566989e+06,1.38329184e+06,2.88648677e+05,4.87763548e+04,8.41121986e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
