# Irene Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.02777778,1.32531611,2.79649642,-0.75215438,5.44511277e+07,3.94796561e+07,1.29631709e+07,2.71910855e+06,7.78322362e+05,2.22651366e+05,6.99519330e+04,1.82622921e+04,4.31354554e+03,7.84005744e+02
53219.02847222,1.31278896,2.82932870,-0.74143207,5.70080345e+07,4.11499692e+07,1.34397653e+07,2.81704673e+06,8.06323047e+05,2.30349312e+05,7.21669590e+04,1.88059220e+04,4.43026953e+03,8.12022742e+02
53219.02916667,1.30004065,2.86168446,-0.73058466,5.98439977e+07,4.29477918e+07,1.39365018e+07,2.91607229e+06,8.34848600e+05,2.38156112e+05,7.43612087e+04,1.93372056e+04,4.54237130e+03,8.39940744e+02
53219.02986111,1.28707747,2.89356762,-0.71961671,6.29590166e+07,4.48731233e+07,1.44533803e+07,3.01618519e+06,8.63899012e+05,2.46071764e+05,7.65346817e+04,1.98561426e+04,4.64985079e+03,8.67759741e+02
53219.03055556,1.27390601,2.92498195,-0.70853199,6.60740359e+07,4.67984550e+07,1.49702589e+07,3.11629812e+06,8.92949428e+05,2.53987418e+05,7.87081549e+04,2.03750797e+04,4.75733030e+03,8.95578742e+02
53219.03125000,1.26053177,2.95593122,-0.69733473,6.91890548e+07,4.87237864e+07,1.54871374e+07,3.21641103e+06,9.21999840e+05,2.61903070e+05,8.08816279e+04,2.08940167e+04,4.86480980e+03,9.23397739e+02
53219.03194444,1.24696101,2.98641920,-0.68602853,7.23697111e+07,5.06931459e+07,1.60176923e+07,3.31958320e+06,9.52035297e+05,2.70118213e+05,8.31458448e+04,2.14374157e+04,4.97838079e+03,9.52949235e+02
53219.03263889,1.23319893,3.01644949,-0.67461718,7.56160054e+07,5.27065338e+07,1.65619238e+07,3.42581466e+06,9.83055801e+05,2.78632847e+05,8.55008059e+04,2.20052767e+04,5.09804329e+03,9.84233235e+02
53219.03333333,1.21925132,3.04602571,-0.66310412,7.88622992e+07,5.47199213e+07,1.71061552e+07,3.53204610e+06,1.01407630e+06,2.87147479e+05,8.78557667e+04,2.25731376e+04,5.21770578e+03,1.01551723e+03
53219.03402778,1.20512321,3.07515099,-0.65149297,8.25195560e+07,5.69072248e+07,1.76715835e+07,3.64208375e+06,1.04555143e+06,2.95715374e+05,9.01819564e+04,2.31305332e+04,5.33391604e+03,1.04675173e+03
53219.03472222,1.19081978,3.10382911,-0.63978701,8.65877747e+07,5.92684436e+07,1.82582085e+07,3.75592756e+06,1.07748118e+06,3.04336528e+05,9.24793742e+04,2.36774632e+04,5.44667403e+03,1.07793673e+03
53219.03541667,1.17634606,3.13206335,-0.62798955,9.06559941e+07,6.16296628e+07,1.88448337e+07,3.86977139e+06,1.10941094e+06,3.12957683e+05,9.47767924e+04,2.42243932e+04,5.55943204e+03,1.10912173e+03
53219.03611111,1.16170690,3.15985701,-0.61610356,9.47945743e+07,6.40352742e+07,1.94441639e+07,3.98642982e+06,1.14222171e+06,3.21838766e+05,9.71510372e+04,2.47921222e+04,5.67735003e+03,1.14184123e+03
53219.03680556,1.14690686,3.18721324,-0.60413250,9.90035166e+07,6.64852787e+07,2.00561996e+07,4.10590288e+06,1.17591350e+06,3.30979779e+05,9.96021096e+04,2.53806503e+04,5.80042803e+03,1.17609523e+03
53219.03750000,1.13195050,3.21413533,-0.59207889,1.03212458e+08,6.89352828e+07,2.06682351e+07,4.22537592e+06,1.20960528e+06,3.40120790e+05,1.02053182e+05,2.59691782e+04,5.92350602e+03,1.21034923e+03
53219.03819444,1.11684235,3.24062626,-0.57994601,1.07421400e+08,7.13852869e+07,2.12802706e+07,4.34484896e+06,1.24329707e+06,3.49261802e+05,1.04504253e+05,2.65577062e+04,6.04658400e+03,1.24460322e+03
53219.03888889,1.10158683,3.26668916,-0.56773638,1.12161669e+08,7.40638994e+07,2.19113361e+07,4.46666440e+06,1.27712812e+06,3.58298899e+05,1.06910732e+05,2.71316648e+04,6.16671976e+03,1.27880773e+03
53219.03958333,1.08618785,3.29232703,-0.55545298,1.17433264e+08,7.69711194e+07,2.25614314e+07,4.59082218e+06,1.31109841e+06,3.67232080e+05,1.09272617e+05,2.76910538e+04,6.28391326e+03,1.31296273e+03
53219.04027778,1.07064964,3.31754285,-0.54309832,1.22704860e+08,7.98783399e+07,2.32115268e+07,4.71497999e+06,1.34506871e+06,3.76165261e+05,1.11634502e+05,2.82504429e+04,6.40110678e+03,1.34711773e+03
53219.04097222,1.05497614,3.34233943,-0.53067491,1.27976455e+08,8.27855599e+07,2.38616220e+07,4.83913778e+06,1.37903900e+06,3.85098442e+05,1.13996387e+05,2.88098319e+04,6.51830028e+03,1.38127273e+03
53219.04166667,1.03917111,3.36671961,-0.51818543,1.33316633e+08,8.57334250e+07,2.45225026e+07,4.96564328e+06,1.41370465e+06,3.94231865e+05,1.16417160e+05,2.93849020e+04,6.63944779e+03,1.41666523e+03
53219.04236111,1.02323848,3.39068621,-0.50563222,1.38725393e+08,8.87219342e+07,2.51941683e+07,5.09449647e+06,1.44906565e+06,4.03565527e+05,1.18896818e+05,2.99756529e+04,6.76454928e+03,1.45329523e+03
53219.04305556,1.00718185,3.41424190,-0.49301780,1.44134153e+08,9.17104439e+07,2.58658340e+07,5.22334967e+06,1.48442666e+06,4.12899190e+05,1.21376477e+05,3.05664040e+04,6.88965079e+03,1.48992523e+03
