# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpochSaa_Intg.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.01458333,1.51093106,2.07651714,-0.92525113,9.13766016e+06,6.48408398e+06,4.60110156e+06,2.27932471e+06,1.05648022e+06,6.89311707e+05,4.71494049e+05,2.25536896e+05,1.20510300e+05,5.96248550e+04,3.14340115e+04,1.61502228e+04,6.91053820e+03,2.39966464e+03,6.35526597e+02,1.29065320e+02,2.05372181e+01,3.48605518e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,9.41060547e+06,6.68607861e+06,4.75034766e+06,2.35486938e+06,1.09290002e+06,7.06201172e+05,4.87789459e+05,2.33732498e+05,1.24376549e+05,6.16699219e+04,3.24064217e+04,1.65644226e+04,7.06228733e+03,2.43851924e+03,6.41288996e+02,1.29609138e+02,2.05762144e+01,3.43577773e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,9.68929883e+06,6.89531934e+06,4.90700928e+06,2.43472168e+06,1.13186816e+06,7.22143494e+05,5.05239624e+05,2.42638763e+05,1.28420807e+05,6.38544998e+04,3.34112282e+04,1.69631500e+04,7.19819736e+03,2.46705580e+03,6.42831802e+02,1.29133016e+02,2.04678178e+01,3.34574794e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,9.95190527e+06,7.09045605e+06,5.05175293e+06,2.50814990e+06,1.16741162e+06,7.38090637e+05,5.21146118e+05,2.50680634e+05,1.32166367e+05,6.58490677e+04,3.43498955e+04,1.73558426e+04,7.34003019e+03,2.50236392e+03,6.47748411e+02,1.29557133e+02,2.05117073e+01,3.29926447e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,1.02187549e+07,7.28962549e+06,5.20011523e+06,2.58358008e+06,1.20406616e+06,7.53930359e+05,5.37555664e+05,2.59017212e+05,1.36001434e+05,6.79050369e+04,3.53072166e+04,1.77480946e+04,7.47895718e+03,2.53534889e+03,6.51690841e+02,1.29743755e+02,2.05164440e+01,3.24538676e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,1.04775762e+07,7.48296973e+06,5.34424902e+06,2.65689893e+06,1.23972852e+06,7.69248962e+05,5.53520874e+05,2.67139008e+05,1.39726089e+05,6.99050598e+04,3.62363548e+04,1.81276207e+04,7.61315823e+03,2.56720066e+03,6.55546010e+02,1.29946545e+02,2.05253046e+01,3.19908303e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,1.07375039e+07,7.67813623e+06,5.49045459e+06,2.73144995e+06,1.27615417e+06,7.84223267e+05,5.69833862e+05,2.75483093e+05,1.43499329e+05,7.19466171e+04,3.71734924e+04,1.85010815e+04,7.74210453e+03,2.59596610e+03,6.58251405e+02,1.29881084e+02,2.04902962e+01,3.14642815e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,1.09931807e+07,7.87073291e+06,5.63516895e+06,2.80536865e+06,1.31237439e+06,7.98712524e+05,5.86055908e+05,2.83811584e+05,1.47231155e+05,7.39758682e+04,3.80977440e+04,1.88639183e+04,7.86559725e+03,2.62250853e+03,6.60328209e+02,1.29690066e+02,2.04356220e+01,3.09174205e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02013889,1.44645844,2.40271786,-0.86049017,1.12440156e+07,8.05969580e+06,5.77718018e+06,2.87791431e+06,1.34793274e+06,8.12946228e+05,6.01984558e+05,2.91993408e+05,1.50892960e+05,7.59680481e+04,3.90045662e+04,1.92201271e+04,7.98714685e+03,2.64896607e+03,6.62613750e+02,1.29576549e+02,2.03948487e+01,3.04302946e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02083333,1.43685460,2.44106636,-0.85146738,1.14948037e+07,8.24969922e+06,5.92072803e+06,2.95144434e+06,1.38414758e+06,8.26748962e+05,6.18210327e+05,3.00378113e+05,1.54589294e+05,7.79957199e+04,3.99154892e+04,1.95682106e+04,8.10260868e+03,2.67211914e+03,6.63729250e+02,1.29196689e+02,2.03107707e+01,2.98594171e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
