# Irene Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_Ions_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         Ions
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.02430556,1.38439666,2.62504771,-0.80373478,5.12048130e+08,2.69096979e+08,2.03191501e+08,9.17379584e+07,2.94987809e+07,1.18053314e+07,6.72581180e+06,6.90463933e+06,7.25058065e+06,1.11863826e+07,1.76380225e+07,2.74549846e+07
53219.02500000,1.37307870,2.66032286,-0.79370542,5.34617882e+08,2.81283487e+08,2.12434207e+08,9.59929602e+07,3.07161046e+07,1.23356164e+07,7.02848294e+06,7.22936813e+06,7.61584661e+06,1.17952029e+07,1.86369759e+07,2.90027850e+07
53219.02569444,1.36150411,2.69510108,-0.78352791,5.57534125e+08,2.93624547e+08,2.21799336e+08,1.00310406e+08,3.19520754e+07,1.28756229e+07,7.33671679e+06,7.56143926e+06,7.99096719e+06,1.24211897e+07,1.96649606e+07,3.06018205e+07
53219.02638889,1.34968075,2.72938677,-0.77320693,5.80796465e+08,3.06115959e+08,2.31283299e+08,1.04688263e+08,3.32065225e+07,1.34253167e+07,7.65056217e+06,7.90098421e+06,8.37614354e+06,1.30645331e+07,2.07222391e+07,3.22531395e+07
53219.02708333,1.33761568,2.76318386,-0.76274752,6.04404168e+08,3.18757402e+08,2.40885845e+08,1.09126403e+08,3.44794066e+07,1.39846773e+07,7.97000719e+06,8.24798721e+06,8.77135447e+06,1.37251964e+07,2.18087497e+07,3.39566318e+07
53219.02777778,1.32531611,2.79649642,-0.75215438,6.28356510e+08,3.31548563e+08,2.50606724e+08,1.13624699e+08,3.57706891e+07,1.45536843e+07,8.29504010e+06,8.60243256e+06,9.17657883e+06,1.44031432e+07,2.29244307e+07,3.57121874e+07
53219.02847222,1.31278896,2.82932870,-0.74143207,6.52652753e+08,3.44489120e+08,2.60445683e+08,1.18183022e+08,3.70803305e+07,1.51323172e+07,8.62564893e+06,8.96430434e+06,9.59179523e+06,1.50983364e+07,2.40692198e+07,3.75196951e+07
53219.02916667,1.30004065,2.86168446,-0.73058466,6.77292170e+08,3.57578758e+08,2.70402473e+08,1.22801246e+08,3.84082922e+07,1.57205556e+07,8.96182190e+06,9.33358686e+06,1.00169825e+07,1.58107397e+07,2.52430554e+07,3.93790450e+07
53219.02986111,1.28707747,2.89356762,-0.71961671,7.02274021e+08,3.70817156e+08,2.80476839e+08,1.27479242e+08,3.97545346e+07,1.63183789e+07,9.30354703e+06,9.71026416e+06,1.04521193e+07,1.65403160e+07,2.64458751e+07,4.12901257e+07
53219.03055556,1.27390601,2.92498195,-0.70853199,7.27597581e+08,3.84203997e+08,2.90668532e+08,1.32216882e+08,4.11190189e+07,1.69257665e+07,9.65081252e+06,1.00943205e+07,1.08971843e+07,1.72870288e+07,2.76776172e+07,4.32528269e+07
53219.03125000,1.26053177,2.95593122,-0.69733473,7.53262105e+08,3.97738960e+08,3.00977297e+08,1.37014038e+08,4.25017055e+07,1.75426979e+07,1.00036063e+07,1.04857399e+07,1.13521561e+07,1.80508409e+07,2.89382190e+07,4.52670369e+07
53219.03194444,1.24696101,2.98641920,-0.68602853,7.79266862e+08,4.11421726e+08,3.11402883e+08,1.41870581e+08,4.39025552e+07,1.81691524e+07,1.03619166e+07,1.08845066e+07,1.18170133e+07,1.88317155e+07,3.02276183e+07,4.73326447e+07
53219.03263889,1.23319893,3.01644949,-0.67461718,8.05611119e+08,4.25251976e+08,3.21945038e+08,1.46786383e+08,4.53215289e+07,1.88051095e+07,1.07257314e+07,1.12906046e+07,1.22917347e+07,1.96296158e+07,3.15457531e+07,4.94495394e+07
53219.03333333,1.21925132,3.04602571,-0.66310412,8.32294128e+08,4.39229387e+08,3.32603505e+08,1.51761313e+08,4.67585869e+07,1.94505484e+07,1.10950387e+07,1.17040178e+07,1.27762985e+07,2.04445045e+07,3.28925604e+07,5.16176088e+07
53219.03402778,1.20512321,3.07515099,-0.65149297,8.59315156e+08,4.53353639e+08,3.43378032e+08,1.56795245e+08,4.82136898e+07,2.01054485e+07,1.14698266e+07,1.21247305e+07,1.32706834e+07,2.12763447e+07,3.42679777e+07,5.38367413e+07
53219.03472222,1.19081978,3.10382911,-0.63978701,8.86673446e+08,4.67624403e+08,3.54268360e+08,1.61888045e+08,4.96867973e+07,2.07697886e+07,1.18500827e+07,1.25527263e+07,1.37748675e+07,2.21250985e+07,3.56719414e+07,5.61068233e+07
53219.03541667,1.17634606,3.13206335,-0.62798955,9.14368255e+08,4.82041358e+08,3.65274234e+08,1.67039585e+08,5.11778697e+07,2.14435480e+07,1.22357951e+07,1.29879890e+07,1.42888291e+07,2.29907285e+07,3.71043882e+07,5.84277420e+07
53219.03611111,1.16170690,3.15985701,-0.61610356,9.42398821e+08,4.96604170e+08,3.76395391e+08,1.72249730e+08,5.26868664e+07,2.21267052e+07,1.26269513e+07,1.34305024e+07,1.48125462e+07,2.38731967e+07,3.85652539e+07,6.07993826e+07
53219.03680556,1.14690686,3.18721324,-0.60413250,9.70764387e+08,5.11312514e+08,3.87631573e+08,1.77518350e+08,5.42137468e+07,2.28192391e+07,1.30235391e+07,1.38802499e+07,1.53459966e+07,2.47724649e+07,4.00544742e+07,6.32216304e+07
53219.03750000,1.13195050,3.21413533,-0.59207889,1.05977543e+09,5.56283114e+08,4.16223392e+08,1.91240336e+08,5.99034730e+07,2.58860468e+07,1.47808767e+07,1.53298461e+07,1.69417144e+07,2.69774659e+07,4.30626032e+07,6.72368552e+07
53219.03819444,1.11684235,3.24062626,-0.57994601,1.21015310e+09,6.31911608e+08,4.62409430e+08,2.13525511e+08,6.98095221e+07,3.13570650e+07,1.79165742e+07,1.77939696e+07,1.96161329e+07,3.05110398e+07,4.76189278e+07,7.28755064e+07
53219.03888889,1.10158683,3.26668916,-0.56773638,1.36230560e+09,7.08475627e+08,5.09186816e+08,2.36088403e+08,7.98402405e+07,3.68972406e+07,2.10928690e+07,2.02946333e+07,2.23330895e+07,3.41070000e+07,5.22620449e+07,7.86254723e+07
53219.03958333,1.08618785,3.29232703,-0.55545298,1.51622348e+09,7.85980715e+08,5.56558950e+08,2.58924998e+08,8.99955536e+07,4.25087516e+07,2.43098449e+07,2.28345136e+07,2.50977448e+07,3.77722819e+07,5.70016803e+07,8.44993742e+07
53219.04027778,1.07064964,3.31754285,-0.54309832,1.67190012e+09,8.64435731e+08,6.04531310e+08,2.82031272e+08,1.00275685e+08,4.81943309e+07,2.75677017e+07,2.54168480e+07,2.79162713e+07,4.15151933e+07,6.18494829e+07,9.05123246e+07
53219.04097222,1.05497614,3.34233943,-0.53067491,1.82932143e+09,9.43834901e+08,6.53100227e+08,3.05404626e+08,1.10679739e+08,5.39538274e+07,3.08661642e+07,2.80417944e+07,3.07891721e+07,4.53363733e+07,6.68063539e+07,9.66655025e+07
53219.04166667,1.03917111,3.36671961,-0.51818543,1.98847063e+09,1.02416914e+09,7.02259962e+08,3.29042493e+08,1.21206522e+08,5.97865298e+07,3.42048419e+07,3.07089428e+07,3.37159236e+07,4.92350681e+07,7.18712427e+07,1.02957557e+08
53219.04236111,1.02323848,3.39068621,-0.50563222,2.14934336e+09,1.10543609e+09,7.52009025e+08,3.52944204e+08,1.31855726e+08,6.56922534e+07,3.75836333e+07,3.34181870e+07,3.66963904e+07,5.32110830e+07,7.70438782e+07,1.09388140e+08
53219.04305556,1.00718185,3.41424190,-0.49301780,2.31193551e+09,1.18763352e+09,8.02346006e+08,3.77109128e+08,1.42627057e+08,7.16708236e+07,4.10024424e+07,3.61694258e+07,3.97304435e+07,5.72642320e+07,8.23240012e+07,1.15956918e+08
53219.04375000,0.99100483,3.43738935,-0.48034436,2.47624298e+09,1.27075922e+09,8.53269510e+08,4.01536641e+08,1.53520226e+08,7.77220676e+07,4.44611743e+07,3.89625601e+07,4.28179563e+07,6.13943333e+07,8.77113582e+07,1.22663565e+08
53219.04444444,0.97471073,3.46013122,-0.46761426,2.64226192e+09,1.35481110e+09,9.04778216e+08,4.26226151e+08,1.64534958e+08,8.38458217e+07,4.79597390e+07,4.17974953e+07,4.59588081e+07,6.56012127e+07,9.32057067e+07,1.29507769e+08
53219.04513889,0.95830315,3.48246986,-0.45482970,2.82505968e+09,1.45261755e+09,9.64017147e+08,4.53570054e+08,1.77540151e+08,9.16972347e+07,5.27441141e+07,4.59510951e+07,5.04930215e+07,7.18054218e+07,1.00477365e+08,1.36995660e+08
53219.04583333,0.94178538,3.50440812,-0.44199272,3.02498492e+09,1.56436467e+09,1.03110903e+09,4.83624281e+08,1.92571742e+08,1.01300399e+08,5.88310920e+07,5.14425176e+07,5.64394983e+07,8.00369898e+07,1.09550781e+08,1.45135788e+08
