# GPS_1DAY_SPMO test orbit
# System: GSE
# Units: Re
# Data Delimiter: Comma
# Time format: YrMoDaHrMnSc
# Year,Month,Day,Hour,Minute,Second,X,Y,Z
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,4.400000000000e+01,5.999990000001e+01,6.920782406155e-01,-4.013970915488e+00,-8.885975949829e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,4.500000000000e+01,5.999990000001e+01,7.227087325852e-01,-4.004670362862e+00,-9.059950547434e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,4.600000000000e+01,5.999990000001e+01,7.532841245333e-01,-3.995063922084e+00,-9.233231440610e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,4.700000000000e+01,5.999990000001e+01,7.838020725601e-01,-3.985152330561e+00,-9.405805302893e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,4.800000000000e+01,5.999990000001e+01,8.142602525278e-01,-3.974936344204e+00,-9.577658949162e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,4.900000000000e+01,5.999990000001e+01,8.446563448155e-01,-3.964416741969e+00,-9.748779248960e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,5.000000000000e+01,5.999990000001e+01,8.749880192559e-01,-3.953594331320e+00,-9.919153041988e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,5.100000000000e+01,5.999990000001e+01,9.052529658862e-01,-3.942469937583e+00,-1.008876731123e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,5.200000000000e+01,5.999990000001e+01,9.354488797871e-01,-3.931044408949e+00,-1.025760909731e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,5.300000000000e+01,5.999990000001e+01,9.655734461242e-01,-3.919318622383e+00,-1.042566541517e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,5.400000000000e+01,5.999990000001e+01,9.956243757274e-01,-3.907293470019e+00,-1.059292345284e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,5.500000000000e+01,5.999990000001e+01,1.025599364869e+00,-3.894969874822e+00,-1.075937034704e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,5.600000000000e+01,5.999990000001e+01,1.055496130730e+00,-3.882348776531e+00,-1.092499338081e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,5.700000000000e+01,5.999990000001e+01,1.085312396408e+00,-3.869431137406e+00,-1.108977989971e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,5.800000000000e+01,5.999990000001e+01,1.115045876151e+00,-3.856217948882e+00,-1.125371723055e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000000e+01,5.900000000000e+01,5.999990000001e+01,1.144694305522e+00,-3.842710218495e+00,-1.141679284810e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.900000000000e+01,4.000000000000e+00,5.999990000001e+01,1.291581739913e+00,-3.770790342596e+00,-1.221881060973e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.900000000000e+01,9.000000000000e+00,5.999990000001e+01,1.436006430752e+00,-3.691671211226e+00,-1.299744165337e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.900000000000e+01,1.400000000000e+01,5.999990000001e+01,1.577692826071e+00,-3.605503939216e+00,-1.375119565982e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.900000000000e+01,1.900000000000e+01,5.999990000001e+01,1.716370609665e+00,-3.512453088957e+00,-1.447862999971e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.900000000000e+01,2.400000000000e+01,5.999990000001e+01,1.851775188343e+00,-3.412696373439e+00,-1.517835234311e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.900000000000e+01,2.900000000000e+01,5.999990000001e+01,1.983648215844e+00,-3.306424305526e+00,-1.584902342637e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.900000000000e+01,3.400000000000e+01,5.999990000001e+01,2.111738076727e+00,-3.193839840773e+00,-1.648935956876e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.900000000000e+01,3.900000000000e+01,5.999990000001e+01,2.235800383487e+00,-3.075157974523e+00,-1.709813521433e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.900000000000e+01,4.400000000000e+01,5.999990000001e+01,2.355598417088e+00,-2.950605353981e+00,-1.767418514877e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.900000000000e+01,4.900000000000e+01,5.999990000001e+01,2.470903595935e+00,-2.820419830493e+00,-1.821640681653e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.900000000000e+01,5.400000000000e+01,5.999990000001e+01,2.581495907659e+00,-2.684850009011e+00,-1.872376240914e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.900000000000e+01,5.900000000000e+01,5.999990000001e+01,2.687164325462e+00,-2.544154778146e+00,-1.919528083634e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,0.000000000000e+00,5.999990000001e+01,2.707689228249e+00,-2.515424159598e+00,-1.928520341543e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,1.000000000000e+00,5.999990000001e+01,2.728007515430e+00,-2.486501431554e+00,-1.937364931352e+00
