# GPS_1DAY_AE9 test orbit
# System: GEI
# Units: RE
# MJD, X, Y, Z
5.702314583333e+04,-1.099217617485e+00,2.306646328719e+00,3.294232356619e+00
5.702314930556e+04,-1.274061659799e+00,2.276862245245e+00,3.251696277173e+00
5.702315277778e+04,-1.446467162913e+00,2.242720262445e+00,3.202936472491e+00
5.702315625000e+04,-1.616104138000e+00,2.204285728759e+00,3.148046269817e+00
5.702315972222e+04,-1.782647901079e+00,2.161632207615e+00,3.087130728615e+00
5.702316319444e+04,-1.945779688551e+00,2.114841337555e+00,3.020306440805e+00
5.702316666667e+04,-2.105187262039e+00,2.064002677748e+00,2.947701310136e+00
5.702317013889e+04,-2.260565527250e+00,2.009213529624e+00,2.869454297451e+00
5.702317361111e+04,-2.411617085863e+00,1.950578760866e+00,2.785715169325e+00
5.702317708333e+04,-2.558052826253e+00,1.888210598012e+00,2.696644201861e+00
5.702318055556e+04,-2.699592466776e+00,1.822228415561e+00,2.602411879512e+00
5.702318402778e+04,-2.835965111041e+00,1.752758498523e+00,2.503198555966e+00
5.702318750000e+04,-2.966909737932e+00,1.679933813986e+00,2.399194127903e+00
5.702319097222e+04,-3.092175720350e+00,1.603893747887e+00,2.290597659071e+00
5.702319444444e+04,-3.211523300081e+00,1.524783840380e+00,2.177617002351e+00
5.702319791667e+04,-3.324724043002e+00,1.442755510072e+00,2.060468405925e+00
5.702320138889e+04,-3.431561291275e+00,1.357965753113e+00,1.939376083532e+00
5.702320486111e+04,-3.531830555252e+00,1.270576859206e+00,1.814571808888e+00
5.702320833333e+04,-3.625339920266e+00,1.180756090084e+00,1.686294456502e+00
5.702321180556e+04,-3.711910407262e+00,1.088675365193e+00,1.554789552789e+00
5.702321527778e+04,-3.791376326737e+00,9.945109202212e-01,1.420308788397e+00
5.702321875000e+04,-3.863585578458e+00,8.984429883090e-01,1.283109562925e+00
5.702322222222e+04,-3.928399954422e+00,8.006554428053e-01,1.143454474730e+00
5.702322569444e+04,-3.985695400368e+00,7.013354483877e-01,1.001610822672e+00
5.702322916667e+04,-4.035362251677e+00,6.006731062258e-01,8.578500993600e-01
5.702323263889e+04,-4.077305449673e+00,4.988610765891e-01,7.124474521719e-01
5.702323611111e+04,-4.111444713575e+00,3.960942303432e-01,5.656811855467e-01
5.702323958333e+04,-4.137714701071e+00,2.925692625127e-01,4.178322090915e-01
5.702324305556e+04,-4.156065131105e+00,1.884843226583e-01,2.691835097066e-01
5.702324652778e+04,-4.166460882316e+00,8.403862164804e-02,1.200195899960e-01
5.702325000000e+04,-4.168882056557e+00,-2.056792869587e-02,-2.937404636982e-02
5.702325347222e+04,-4.163324019720e+00,-1.251351121682e-01,-1.787114610165e-01
5.702325694444e+04,-4.149797409848e+00,-2.294627879117e-01,-3.277068231775e-01
5.702326041667e+04,-4.128328117630e+00,-3.333512700115e-01,-4.760749518119e-01
5.702326388889e+04,-4.098957233702e+00,-4.366017236052e-01,-6.235318813070e-01
5.702326736111e+04,-4.061740974316e+00,-5.390165245557e-01,-7.697953751453e-01
5.702327083333e+04,-4.016750571133e+00,-6.403996516506e-01,-9.145854860232e-01
5.702327430556e+04,-3.964072137364e+00,-7.405570549591e-01,-1.057625081919e+00
5.702327777778e+04,-3.903806495630e+00,-8.392970406271e-01,-1.198640395636e+00
5.702328125000e+04,-3.836068995585e+00,-9.364306176334e-01,-1.337361520025e+00
5.702328472222e+04,-3.760989286331e+00,-1.031771872992e+00,-1.473522943826e+00
5.702328819444e+04,-3.678711069906e+00,-1.125138324206e+00,-1.606864055024e+00
5.702329166667e+04,-3.589391829351e+00,-1.216351265523e+00,-1.737129635354e+00
5.702329513889e+04,-3.493202515078e+00,-1.305236122125e+00,-1.864070366141e+00
5.702329861111e+04,-3.390327235641e+00,-1.391622765926e+00,-1.987443279293e+00
5.702330208333e+04,-3.280962893602e+00,-1.475345853491e+00,-2.107012239919e+00
5.702330555556e+04,-3.165318815528e+00,-1.556245136756e+00,-2.222548390061e+00
5.702330902778e+04,-3.043616335622e+00,-1.634165780482e+00,-2.333830602081e+00
5.702331250000e+04,-2.916088395352e+00,-1.708958642341e+00,-2.440645878664e+00
5.702331597222e+04,-2.782979082302e+00,-1.780480569320e+00,-2.542789776117e+00
5.702331944444e+04,-2.644543166766e+00,-1.848594668950e+00,-2.640066791735e+00
5.702332291667e+04,-2.501045619011e+00,-1.913170569217e+00,-2.732290734985e+00
5.702332638889e+04,-2.352761082717e+00,-1.974084676630e+00,-2.819285096070e+00
5.702332986111e+04,-2.199973378178e+00,-2.031220399789e+00,-2.900883365212e+00
5.702333333333e+04,-2.042974939991e+00,-2.084468381318e+00,-2.976929363897e+00
5.702333680556e+04,-1.882066267524e+00,-2.133726703371e+00,-3.047277538352e+00
5.702334027778e+04,-1.717555328062e+00,-2.178901089167e+00,-3.111793247382e+00
5.702334375000e+04,-1.549756999723e+00,-2.219905073527e+00,-3.170353005915e+00
5.702334722222e+04,-1.378992447334e+00,-2.256660175114e+00,-3.222844730983e+00
5.702335069444e+04,-1.205588513051e+00,-2.289096044920e+00,-3.269167953793e+00
5.702335416667e+04,-1.029877096719e+00,-2.317150600050e+00,-3.309234010782e+00
5.702335763889e+04,-8.521944969768e-01,-2.340770146163e+00,-3.342966218485e+00
5.702336111111e+04,-6.728808029319e-01,-2.359909474600e+00,-3.370300012242e+00
5.702336458333e+04,-4.922792197396e-01,-2.374531952819e+00,-3.391183075364e+00
5.702336805556e+04,-3.107354236648e-01,-2.384609593237e+00,-3.405575437440e+00
5.702337152778e+04,-1.285968760910e-01,-2.390123107999e+00,-3.413449552556e+00
