# GPS_1DAY_SPMHE test orbit
# System: MAG
# Data Delimiter: Comma
# Time format: MJD
# MJD,X,Y,Z
5.702339930556e+04,-1.054956170830e+00,2.056616552145e+00,-3.469619476376e+00
5.702340277778e+04,-1.182518949164e+00,2.035702636076e+00,-3.440701554643e+00
5.702340625000e+04,-1.309492683492e+00,2.017119524190e+00,-3.405483990975e+00
5.702340972222e+04,-1.435591114702e+00,2.000816144263e+00,-3.364026810836e+00
5.702341319444e+04,-1.560531285198e+00,1.986726361181e+00,-3.316402259902e+00
5.702341666667e+04,-1.684034592815e+00,1.974769327305e+00,-3.262694755860e+00
5.702342013889e+04,-1.805827843487e+00,1.964849896761e+00,-3.203000805286e+00
5.702342361111e+04,-1.925644236373e+00,1.956859107670e+00,-3.137428912889e+00
5.702342708333e+04,-2.043224360085e+00,1.950674722210e+00,-3.066099446897e+00
5.702343055556e+04,-2.158317129913e+00,1.946161828449e+00,-2.989144489648e+00
5.702343402778e+04,-2.270680710062e+00,1.943173497983e+00,-2.906707647058e+00
5.702343750000e+04,-2.380083355351e+00,1.941551499068e+00,-2.818943857871e+00
5.702344097222e+04,-2.486304246035e+00,1.941127059129e+00,-2.726019151115e+00
5.702344444444e+04,-2.589134254306e+00,1.941721675718e+00,-2.628110390186e+00
5.702344791667e+04,-2.688376659418e+00,1.943147971322e+00,-2.525404992158e+00
5.702345138889e+04,-2.783847824372e+00,1.945210588799e+00,-2.418100604140e+00
5.702345486111e+04,-2.875377781900e+00,1.947707122769e+00,-2.306404789071e+00
5.702345833333e+04,-2.962810793929e+00,1.950429083881e+00,-2.190534652523e+00
5.702346180556e+04,-3.046005829456e+00,1.953162890992e+00,-2.070716466335e+00
5.702346527778e+04,-3.124836995615e+00,1.955690887736e+00,-1.947185244972e+00
5.702346875000e+04,-3.199193875519e+00,1.957792377641e+00,-1.820184339199e+00
5.702347222222e+04,-3.268981827353e+00,1.959244675145e+00,-1.689964967428e+00
5.702347569444e+04,-3.334122201529e+00,1.959824166539e+00,-1.556785745471e+00
