# GPS_1DAY_SPMH test orbit
# System: GDZ
# Units: km
# Data Delimiter: Comma
# Time format: YrMoDaGmt
# Year,Month,Day,Gmt,X,Y,Z
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,3.749999999776e+04,2.019121286100e+04,-3.660034892340e+01,7.190673268027e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,3.780000000000e+04,2.019058531131e+04,-3.482440841668e+01,7.283252802538e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,3.810000000224e+04,2.018995941671e+04,-3.301109239483e+01,7.366557008041e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,3.840000000447e+04,2.018933996669e+04,-3.116429883564e+01,7.441395687297e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,3.869999999665e+04,2.018873170139e+04,-2.928755257783e+01,7.508534977042e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,3.899999999888e+04,2.018813927524e+04,-2.738404535921e+01,7.568696228728e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,3.930000000112e+04,2.018756722147e+04,-2.545667390645e+01,7.622556591564e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,3.960000000335e+04,2.018701991738e+04,-2.350807448733e+01,7.670750799610e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,3.989999999553e+04,2.018650155084e+04,-2.154065484929e+01,7.713873721195e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.019999999776e+04,2.018601608820e+04,-1.955662284726e+01,7.752483396255e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.050000000000e+04,2.018556724407e+04,-1.755801298952e+01,7.787104326309e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.080000000224e+04,2.018515845280e+04,-1.554670981377e+01,7.818230899135e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.110000000447e+04,2.018479284226e+04,-1.352446934178e+01,7.846330828093e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.139999999665e+04,2.018447320992e+04,-1.149293855589e+01,7.871848552339e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.169999999888e+04,2.018420200139e+04,-9.453672821481e+00,7.895208565841e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.200000000112e+04,2.018398129178e+04,-7.408152537482e+00,7.916818646174e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.230000000335e+04,2.018381276983e+04,-5.357797900339e+00,7.937072997285e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.259999999553e+04,2.018369772494e+04,-3.303983107222e+00,7.956355299373e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.289999999776e+04,2.018363703734e+04,-1.248049401217e+00,7.975041688322e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.320000000000e+04,2.018363117138e+04,8.086817257986e-01,7.993503672030e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.350000000224e+04,2.018368017193e+04,2.864896342942e+00,8.012111017120e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.380000000447e+04,2.018378366409e+04,4.919275667634e+00,8.031234618567e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.409999999665e+04,2.018394085599e+04,6.970483574195e+00,8.051249378263e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.439999999888e+04,2.018415054494e+04,9.017154165605e+00,8.072537118401e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.470000000112e+04,2.018441112652e+04,1.105787817124e+01,8.095489540629e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.500000000335e+04,2.018472060695e+04,1.309118933353e+01,8.120511262871e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.529999999553e+04,2.018507661825e+04,1.511554946183e+01,8.148022937381e+01
