# GTO_1DAY_TOTALDOSE test orbit
# System: GEI
# Data Delimiter: Space
# Year Doy x1 x2 x3
2.015000000000e+03 1.263888888876e+00 2.239445465675e+00 2.107848113290e+00 0.000000000000e+00
2.015000000000e+03 1.267361111124e+00 2.239591661138e+00 2.335718697241e+00 0.000000000000e+00
2.015000000000e+03 1.270833333372e+00 2.230546591701e+00 2.554026343837e+00 0.000000000000e+00
2.015000000000e+03 1.274305555504e+00 2.213548160558e+00 2.763245546625e+00 0.000000000000e+00
2.015000000000e+03 1.277777777752e+00 2.189617353540e+00 2.963825847943e+00 0.000000000000e+00
2.015000000000e+03 1.281250000000e+00 2.159605287077e+00 3.156187142413e+00 0.000000000000e+00
2.015000000000e+03 1.284722222248e+00 2.124228440358e+00 3.340718520105e+00 0.000000000000e+00
2.015000000000e+03 1.291666666628e+00 2.039727299844e+00 3.687698712698e+00 0.000000000000e+00
2.015000000000e+03 1.302083333372e+00 1.885425536685e+00 4.157532823228e+00 0.000000000000e+00
2.015000000000e+03 1.312500000000e+00 1.706147503303e+00 4.572685213536e+00 0.000000000000e+00
2.015000000000e+03 1.322916666628e+00 1.508402240960e+00 4.938641209366e+00 0.000000000000e+00
2.015000000000e+03 1.333333333372e+00 1.296886018962e+00 5.259750554903e+00 0.000000000000e+00
2.015000000000e+03 1.343750000000e+00 1.075121547517e+00 5.539502303596e+00 0.000000000000e+00
2.015000000000e+03 1.354166666628e+00 8.458425034639e-01 5.780722744985e+00 0.000000000000e+00
2.015000000000e+03 1.364583333372e+00 6.112363634920e-01 5.985718344105e+00 0.000000000000e+00
2.015000000000e+03 1.375000000000e+00 3.731043136513e-01 6.156380047232e+00 0.000000000000e+00
2.015000000000e+03 1.385416666628e+00 1.329705652809e-01 6.294260280008e+00 0.000000000000e+00
2.015000000000e+03 1.395833333372e+00 -1.078401872556e-01 6.400630326026e+00 0.000000000000e+00
2.015000000000e+03 1.406250000000e+00 -3.481459228479e-01 6.476523401452e+00 0.000000000000e+00
2.015000000000e+03 1.416666666628e+00 -5.868640170094e-01 6.522767069139e+00 0.000000000000e+00
2.015000000000e+03 1.427083333372e+00 -8.229768616621e-01 6.540007495954e+00 0.000000000000e+00
2.015000000000e+03 1.437500000000e+00 -1.055503245080e+00 6.528727327447e+00 0.000000000000e+00
2.015000000000e+03 1.447916666628e+00 -1.283473229087e+00 6.489258388229e+00 0.000000000000e+00
2.015000000000e+03 1.458333333372e+00 -1.505904695811e+00 6.421790024884e+00 0.000000000000e+00
2.015000000000e+03 1.468750000000e+00 -1.721780064073e+00 6.326373622012e+00 0.000000000000e+00
2.015000000000e+03 1.479166666628e+00 -1.930021733396e+00 6.202923560236e+00 0.000000000000e+00
2.015000000000e+03 1.489583333372e+00 -2.129464631689e+00 6.051214707413e+00 0.000000000000e+00
2.015000000000e+03 1.500000000000e+00 -2.318823999856e+00 5.870876330828e+00 0.000000000000e+00
2.015000000000e+03 1.510416666628e+00 -2.496655972425e+00 5.661382106371e+00 0.000000000000e+00
2.015000000000e+03 1.520833333372e+00 -2.661307513452e+00 5.422035756374e+00 0.000000000000e+00
2.015000000000e+03 1.531250000000e+00 -2.810850802301e+00 5.151951605357e+00 0.000000000000e+00
2.015000000000e+03 1.541666666628e+00 -2.942994655731e+00 4.850029132244e+00 0.000000000000e+00
2.015000000000e+03 1.552083333372e+00 -3.054961349495e+00 4.514920589394e+00 0.000000000000e+00
2.015000000000e+03 1.562500000000e+00 -3.143310060377e+00 4.144990941953e+00 0.000000000000e+00
2.015000000000e+03 1.572916666628e+00 -3.203675254422e+00 3.738270579034e+00 0.000000000000e+00
2.015000000000e+03 1.583333333372e+00 -3.230364203327e+00 3.292405324971e+00 0.000000000000e+00
2.015000000000e+03 1.593750000000e+00 -3.215710281381e+00 2.804619961456e+00 0.000000000000e+00
2.015000000000e+03 1.604166666628e+00 -3.148978933433e+00 2.271746454285e+00 0.000000000000e+00
2.015000000000e+03 1.607638888876e+00 -3.112639662801e+00 2.083522880364e+00 0.000000000000e+00
2.015000000000e+03 1.611111111124e+00 -3.068073699841e+00 1.889800659933e+00 0.000000000000e+00
2.015000000000e+03 1.614583333372e+00 -3.014399012125e+00 1.690477795031e+00 0.000000000000e+00
2.015000000000e+03 1.618055555504e+00 -2.950579238504e+00 1.485477948017e+00 0.000000000000e+00
2.015000000000e+03 1.621527777752e+00 -2.875385900847e+00 1.274767753109e+00 0.000000000000e+00
2.015000000000e+03 1.625000000000e+00 -2.787348979847e+00 1.058383843931e+00 0.000000000000e+00
2.015000000000e+03 1.628472222248e+00 -2.684691710376e+00 8.364753647947e-01 0.000000000000e+00
2.015000000000e+03 1.631944444496e+00 -2.565244201202e+00 6.093720996323e-01 0.000000000000e+00
2.015000000000e+03 1.635416666628e+00 -2.426329198375e+00 3.776956043123e-01 0.000000000000e+00
2.015000000000e+03 1.638888888876e+00 -2.264613338111e+00 1.425441717969e-01 0.000000000000e+00
2.015000000000e+03 1.642361111124e+00 -2.075922605400e+00 -9.419273301861e-02 0.000000000000e+00
2.015000000000e+03 1.644444444450e+00 -1.947639490271e+00 -2.357345681826e-01 0.000000000000e+00
2.015000000000e+03 1.645138888853e+00 -1.902083376178e+00 -2.826232118347e-01 0.000000000000e+00
2.015000000000e+03 1.645833333372e+00 -1.855042904753e+00 -3.292908857267e-01 0.000000000000e+00
2.015000000000e+03 1.646527777775e+00 -1.806463229261e+00 -3.756848525671e-01 0.000000000000e+00
2.015000000000e+03 1.647222222178e+00 -1.756287785303e+00 -4.217464255131e-01 0.000000000000e+00
2.015000000000e+03 1.647916666698e+00 -1.704458504487e+00 -4.674102747212e-01 0.000000000000e+00
