# GTO_1DAY_AP9 test orbit
# System: GSM
# Data Delimiter: Space
# Year Doy x1 x2 x3
2.015000000000e+03 1.227777777822e+00 8.701001654333e-01 7.668262300076e-01 3.476633179428e-01
2.015000000000e+03 1.228472222225e+00 8.381982185166e-01 8.468419769153e-01 3.310553811419e-01
2.015000000000e+03 1.229166666628e+00 8.038384026119e-01 9.243480037944e-01 3.133421594063e-01
2.015000000000e+03 1.229861111147e+00 7.672731086618e-01 9.992896523415e-01 2.946392475613e-01
2.015000000000e+03 1.230555555550e+00 7.287429879178e-01 1.071642406570e+00 2.750564593260e-01
2.015000000000e+03 1.231249999953e+00 6.884743241166e-01 1.141407198835e+00 2.546967355477e-01
2.015000000000e+03 1.231944444473e+00 6.466775007455e-01 1.208605807766e+00 2.336555403754e-01
2.015000000000e+03 1.232638888876e+00 6.035463146481e-01 1.273276640247e+00 2.120206278098e-01
2.015000000000e+03 1.233333333279e+00 5.592578717710e-01 1.335471081295e+00 1.898720556427e-01
2.015000000000e+03 1.234027777798e+00 5.139730174471e-01 1.395250243117e+00 1.672824323543e-01
2.015000000000e+03 1.234722222202e+00 4.678370953732e-01 1.452682217471e+00 1.443173018128e-01
2.015000000000e+03 1.235416666721e+00 4.209808361800e-01 1.507839889035e+00 1.210355736918e-01
2.015000000000e+03 1.236111111124e+00 3.735214764713e-01 1.560799019770e+00 9.749005554445e-02
2.015000000000e+03 1.236805555527e+00 3.255638085628e-01 1.611636840940e+00 7.372794183264e-02
2.015000000000e+03 1.237500000047e+00 2.772013065881e-01 1.660430862149e+00 4.979133586214e-02
2.015000000000e+03 1.238194444450e+00 2.285172194412e-01 1.707257948879e+00 2.571775265713e-02
2.015000000000e+03 1.238888888853e+00 1.795855343576e-01 1.752193688843e+00 1.540557117464e-03
2.015000000000e+03 1.239583333372e+00 1.304719448265e-01 1.795311860419e+00 -2.271059508535e-02
2.015000000000e+03 1.240277777775e+00 8.123474472159e-02 1.836684049740e+00 -4.700935173231e-02
2.015000000000e+03 1.240972222178e+00 3.192557200909e-02 1.876379445575e+00 -7.133233062186e-02
2.015000000000e+03 1.241666666698e+00 -1.740984815886e-02 1.914464658132e+00 -9.565878419180e-02
2.015000000000e+03 1.242361111101e+00 -6.673103141047e-02 1.951003613442e+00 -1.199702968743e-01
2.015000000000e+03 1.243055555504e+00 -1.160022033555e-01 1.986057558400e+00 -1.442505497081e-01
2.015000000000e+03 1.246527777752e+00 -3.606226381754e-01 2.141010034017e+00 -2.647303674014e-01
2.015000000000e+03 1.250000000000e+00 -6.005537418806e-01 2.266551155034e+00 -3.828374006330e-01
2.015000000000e+03 1.253472222248e+00 -8.343195826135e-01 2.367680410652e+00 -4.978637881109e-01
2.015000000000e+03 1.256944444496e+00 -1.061204459162e+00 2.448312477699e+00 -6.094411975940e-01
2.015000000000e+03 1.260416666628e+00 -1.280921213096e+00 2.511537603920e+00 -7.173945265875e-01
2.015000000000e+03 1.263888888876e+00 -1.493425157814e+00 2.559823416790e+00 -8.216599267894e-01
2.015000000000e+03 1.267361111124e+00 -1.698807763951e+00 2.595165127378e+00 -9.222379216150e-01
2.015000000000e+03 1.270833333372e+00 -1.897234999151e+00 2.619196139397e+00 -1.019166131760e+00
2.015000000000e+03 1.274305555504e+00 -2.088911043565e+00 2.633269613131e+00 -1.112503126596e+00
2.015000000000e+03 1.277777777752e+00 -2.274056834153e+00 2.638519068742e+00 -1.202318780850e+00
