# GPS_1DAY_SPMHE directions
# System: MAG
# Data Delimiter: Comma
# d1,d2,d3,d1,d2,d3
2.827224439629e-02,4.583079617925e-01,8.883436791887e-01,4.268248118678e-01,5.660487064838e-01,7.052726010998e-01
2.969945859680e-02,4.588566353205e-01,8.880138120443e-01,4.269572683350e-01,5.660673591454e-01,7.051774499558e-01
3.112077755617e-02,4.594019544007e-01,8.876831312451e-01,4.270894969547e-01,5.660859661213e-01,7.050824352879e-01
3.253622743549e-02,4.599439423835e-01,8.873516573315e-01,4.272214983023e-01,5.661045275591e-01,7.049875568160e-01
3.394583434820e-02,4.604826224626e-01,8.870194105770e-01,4.273532729510e-01,5.661230436059e-01,7.048928142608e-01
3.534962435846e-02,4.610180176749e-01,8.866864109914e-01,4.274848214724e-01,5.661415144079e-01,7.047982073435e-01
3.674762347942e-02,4.615501509015e-01,8.863526783236e-01,4.276161444362e-01,5.661599401111e-01,7.047037357861e-01
3.813985767165e-02,4.620790448681e-01,8.860182320645e-01,4.277472424100e-01,5.661783208607e-01,7.046093993114e-01
3.952635284155e-02,4.626047221456e-01,8.856830914496e-01,4.278781159597e-01,5.661966568013e-01,7.045151976429e-01
4.090713483983e-02,4.631272051510e-01,8.853472754621e-01,4.280087656494e-01,5.662149480770e-01,7.044211305046e-01
4.228222946002e-02,4.636465161479e-01,8.850108028357e-01,4.281391920413e-01,5.662331948314e-01,7.043271976215e-01
4.365166243701e-02,4.641626772469e-01,8.846736920568e-01,4.282693956956e-01,5.662513972073e-01,7.042333987190e-01
4.501545944566e-02,4.646757104069e-01,8.843359613681e-01,4.283993771708e-01,5.662695553472e-01,7.041397335235e-01
4.637364609943e-02,4.651856374349e-01,8.839976287704e-01,4.285291370237e-01,5.662876693928e-01,7.040462017619e-01
4.772624794904e-02,4.656924799876e-01,8.836587120261e-01,4.286586758090e-01,5.663057394855e-01,7.039528031619e-01
4.907329048119e-02,4.661962595713e-01,8.833192286614e-01,4.287879940798e-01,5.663237657658e-01,7.038595374518e-01
5.041479911732e-02,4.666969975432e-01,8.829791959690e-01,4.289170923874e-01,5.663417483740e-01,7.037664043606e-01
5.175079921236e-02,4.671947151116e-01,8.826386310108e-01,4.290459712810e-01,5.663596874496e-01,7.036734036181e-01
5.308131605359e-02,4.676894333370e-01,8.822975506205e-01,4.291746313084e-01,5.663775831316e-01,7.035805349548e-01
5.440637485946e-02,4.681811731327e-01,8.819559714060e-01,4.293030730155e-01,5.663954355586e-01,7.034877981016e-01
5.572600077851e-02,4.686699552654e-01,8.816139097523e-01,4.294312969462e-01,5.664132448684e-01,7.033951927905e-01
5.704021888827e-02,4.691558003560e-01,8.812713818237e-01,4.295593036429e-01,5.664310111984e-01,7.033027187539e-01
5.834905419423e-02,4.696387288804e-01,8.809284035665e-01,4.296870936462e-01,5.664487346855e-01,7.032103757249e-01
5.965253162884e-02,4.701187611701e-01,8.805849907114e-01,4.298146674947e-01,5.664664154660e-01,7.031181634374e-01
6.095067605050e-02,4.705959174132e-01,8.802411587758e-01,4.299420257255e-01,5.664840536757e-01,7.030260816259e-01
6.224351224267e-02,4.710702176547e-01,8.798969230668e-01,4.300691688739e-01,5.665016494497e-01,7.029341300256e-01
6.353106491289e-02,4.715416817979e-01,8.795522986828e-01,4.301960974735e-01,5.665192029229e-01,7.028423083723e-01
6.481335869194e-02,4.720103296043e-01,8.792073005167e-01,4.303228120561e-01,5.665367142294e-01,7.027506164027e-01
6.609041813297e-02,4.724761806953e-01,8.788619432576e-01,4.304493131517e-01,5.665541835028e-01,7.026590538538e-01
6.736226771070e-02,4.729392545522e-01,8.785162413937e-01,4.305756012888e-01,5.665716108762e-01,7.025676204636e-01
6.862893182056e-02,4.733995705173e-01,8.781702092141e-01,4.307016769940e-01,5.665889964823e-01,7.024763159706e-01
6.989043477800e-02,4.738571477948e-01,8.778238608117e-01,4.308275407924e-01,5.666063404532e-01,7.023851401140e-01
7.114680081769e-02,4.743120054512e-01,8.774772100848e-01,4.309531932071e-01,5.666236429204e-01,7.022940926337e-01
7.239805409283e-02,4.747641624165e-01,8.771302707401e-01,4.310786347597e-01,5.666409040150e-01,7.022031732702e-01
