# File: Run/ephem_molinya.dat
#
# Ephemeris generated from specified elements
# Propagator: SGP4 (improved,WGS84)
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
57040.60763889,2.69650787,1.02309265,0.55230840
57040.60833333,2.66556027,1.02944796,0.51394570
57040.60902778,2.63400810,1.03556988,0.47546640
57040.60972222,2.60183744,1.04144874,0.43687543
57040.61041667,2.56903389,1.04707437,0.39817818
57040.61111111,2.53558259,1.05243610,0.35938051
57040.61180556,2.50146820,1.05752269,0.32048885
57040.61250000,2.46667486,1.06232235,0.28151020
57040.61319444,2.43118621,1.06682267,0.24245219
57040.61388889,2.39498536,1.07101056,0.20332315
57040.61458333,2.35805488,1.07487227,0.16413219
57040.61527778,2.32037678,1.07839329,0.12488920
57040.61597222,2.28193252,1.08155833,0.08560500
57040.61666667,2.24270300,1.08435128,0.04629137
57040.61736111,2.20266852,1.08675512,0.00696118
57040.61805556,2.16180883,1.08875190,-0.03237157
57040.61875000,2.12010310,1.09032267,-0.07169158
57040.61944444,2.07752994,1.09144742,-0.11098217
57040.62013889,2.03406741,1.09210499,-0.15022515
57040.62083333,1.98969304,1.09227305,-0.18940066
57040.62152778,1.94438385,1.09192799,-0.22848704
57040.62222222,1.89811641,1.09104483,-0.26746065
57040.62291667,1.85086689,1.08959719,-0.30629567
57040.62361111,1.80261110,1.08755717,-0.34496392
57040.62430556,1.75332461,1.08489531,-0.38343466
57040.62500000,1.70298284,1.08158045,-0.42167431
57040.62569444,1.65156119,1.07757969,-0.45964619
57040.62638889,1.59903521,1.07285832,-0.49731030
57040.62708333,1.54538076,1.06737970,-0.53462295
57040.62777778,1.49057429,1.06110524,-0.57153649
57040.62847222,1.43459311,1.05399432,-0.60799894
57040.62916667,1.37741569,1.04600428,-0.64395365
57040.62986111,1.31902210,1.03709036,-0.67933890
57040.63055556,1.25939441,1.02720575,-0.71408753
57040.63125000,1.19851732,1.01630160,-0.74812656
57040.63194444,1.13637870,1.00432714,-0.78137676
57040.63263889,1.07297037,0.99122984,-0.81375234
57040.63333333,1.00828893,0.97695559,-0.84516054
57040.63402778,0.94233665,0.96144901,-0.87550140
57040.63472222,0.87512257,0.94465389,-0.90466751
57040.63541667,0.80666368,0.92651367,-0.93254394
57040.63611111,0.73698614,0.90697211,-0.95900825
57040.63680556,0.66612667,0.88597408,-0.98393074
57040.63750000,0.59413402,0.86346657,-1.00717492
57040.63819444,0.52107033,0.83939981,-1.02859825
57040.63888889,0.44701265,0.81372857,-1.04805326
57040.63958333,0.37205421,0.78641371,-1.06538900
57040.64027778,0.29630552,0.75742377,-1.08045301
57040.64097222,0.21989524,0.72673671,-1.09309360
57040.64166667,0.14297053,0.69434173,-1.10316275
57040.64236111,0.06569693,0.66024098,-1.11051924
57040.64305556,-0.01174250,0.62445115,-1.11503226
57040.64375000,-0.08914871,0.58700484,-1.11658510
57040.64444444,-0.16630904,0.54795148,-1.11507897
57040.64513889,-0.24300042,0.50735779,-1.11043652
57040.64583333,-0.31899329,0.46530764,-1.10260502
