# File: Run/ephem_cnofs_tle.dat
#
# Ephemeris generated from TLE input file: ../../samples/cnofs_tle.dat
# Propagator: Kepler with J2
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
55711.80930556,0.80597315,-0.77596750,-0.15088137
55711.81277778,0.99389420,-0.49309496,-0.20536456
55711.81625000,1.08653954,-0.16298298,-0.24010551
55711.81972222,1.07401507,0.18282770,-0.25153840
55711.82319444,0.95577076,0.51051657,-0.23813841
55711.82666667,0.74130719,0.78662661,-0.20069249
55711.83013889,0.45025210,0.98119111,-0.14244537
55711.83361111,0.11143719,1.07122265,-0.06903131
55711.83708333,-0.23938940,1.04415222,0.01190846
55711.84055556,-0.56335700,0.90049373,0.09148433
55711.84402778,-0.82345125,0.65485861,0.16065511
55711.84750000,-0.98979670,0.33465997,0.21148826
55711.85097222,-1.04401576,-0.02352974,0.23830464
55711.85444444,-0.98158620,-0.37922171,0.23843082
55711.85791667,-0.81175422,-0.69359786,0.21240656
55711.86138889,-0.55533634,-0.93422492,0.16367402
55711.86486111,-0.24125192,-1.07817542,0.09791165
55711.86833333,0.09730382,-1.11344850,0.02221649
55711.87180556,0.42639249,-1.03901193,-0.05570263
55711.87527778,0.71426915,-0.86393317,-0.12823285
55711.87875000,0.93369901,-0.60600189,-0.18844380
55711.88222222,1.06377444,-0.29008430,-0.23057058
55711.88569444,1.09137513,0.05371909,-0.25042237
55711.88916667,1.01235002,0.39216858,-0.24573684
55711.89263889,0.83237819,0.69135359,-0.21647497
55711.89611111,0.56731525,0.91963121,-0.16501572
55711.89958333,0.24269304,1.05099830,-0.09617335
55711.90305556,-0.10801288,1.06860783,-0.01693771
55711.90652778,-0.44660513,0.96782032,0.06414460
55711.91000000,-0.73475736,0.75794212,0.13795415
55711.91347222,-0.93930897,0.46185683,0.19602496
55711.91694444,-1.03712272,0.11323382,0.23176492
55711.92041667,-1.01830358,-0.24823505,0.24137750
55711.92388889,-0.88704875,-0.58245400,0.22427435
55711.92736111,-0.66017348,-0.85409618,0.18293845
55711.93083333,-0.36400881,-1.03638218,0.12236020
55711.93430556,-0.03060635,-1.11312902,0.04924748
55711.93777778,0.30597072,-1.07925936,-0.02880456
55711.94125000,0.61283347,-0.94021541,-0.10406655
55711.94472222,0.86081292,-0.71072519,-0.16930654
55711.94819444,1.02644682,-0.41323016,-0.21830659
55711.95166667,1.09355476,-0.07610947,-0.24629239
55711.95513889,1.05451399,0.26831229,-0.25030198
55711.95861111,0.91124624,0.58607742,-0.22949945
55711.96208333,0.67578256,0.84434500,-0.18540750
55711.96555556,0.37012432,1.01460725,-0.12199538
55711.96902778,0.02502083,1.07619397,-0.04552869
55711.97250000,-0.32266882,1.01958154,0.03591301
55711.97597222,-0.63408518,0.84873037,0.11329174
55711.97944444,-0.87350206,0.58159084,0.17776924
55711.98291667,-1.01349741,0.24822943,0.22196151
55711.98638889,-1.03892153,-0.11328386,0.24100021
55711.98986111,-0.94869355,-0.46232676,0.23314575
55711.99333333,-0.75516153,-0.76121481,0.19984312
55711.99680556,-0.48150980,-0.97959262,0.14528936
55712.00027778,-0.15811234,-1.09714642,0.07569721
55712.00375000,0.18129083,-1.10465209,-0.00154349
55712.00722222,0.50301614,-1.00374115,-0.07866002
55712.01069444,0.77622824,-0.80585646,-0.14817625
55712.01416667,0.97512243,-0.53077151,-0.20346848
55712.01763889,1.08063442,-0.20487620,-0.23922098
55712.02111111,1.08181357,0.14073143,-0.25181093
55712.02458333,0.97691658,0.47242347,-0.23963801
55712.02805556,0.77414810,0.75661266,-0.20338627
55712.03152778,0.49182296,0.96279123,-0.14616896
55712.03500000,0.15759885,1.06695411,-0.07347303
55712.03847222,-0.19359318,1.05504892,0.00719468
55712.04194444,-0.52311195,0.92577905,0.08702704
55712.04541667,-0.79343040,0.69189598,0.15697863
55712.04888889,-0.97342913,0.37926107,0.20901367
55712.05236111,-1.04296442,0.02352096,0.23727093
55712.05583333,-0.99557233,-0.33497724,0.23886240
55712.05930556,-0.83874074,-0.65682129,0.21413302
55712.06277778,-0.59196653,-0.90845482,0.16638680
55712.06625000,-0.28339069,-1.06556227,0.10123254
55712.06972222,0.05405570,-1.11471927,0.02575626
55712.07319444,0.38628106,-1.05358448,-0.05230606
55712.07666667,0.68107943,-0.89010128,-0.12529668
55712.08013889,0.91053336,-0.64113744,-0.18623617
55712.08361111,1.05288184,-0.33083582,-0.22931040
55712.08708333,1.09400181,0.01122467,-0.25027504
55712.09055556,1.02859915,0.35209545,-0.24680015
55712.09402778,0.86109122,0.65786552,-0.21875476
55712.09750000,0.60601588,0.89651532,-0.16839684
